Systematic Name,Transcriptional Plasticity
YAL064W-B,0.130480428
YGL174W,0.130494647
YMR119W,0.130572262
YMR207C,0.130593321
YDR004W,0.130623851
YEL068C,0.130636073
YBR153W,0.130706661
YCR067C,0.130716157
YLL005C,0.130736814
YOR189W,0.130797267
YPL073C,0.130900943
YAL001C,0.13093883
YHL017W,0.131103771
YGR278W,0.131164149
YER134C,0.131310897
YER176W,0.131381284
YBR200W,0.131455626
YLR140W,0.131464648
YNL029C,0.131806925
YPR161C,0.131840869
YDR163W,0.131860763
YGR062C,0.131892718
YNL027W,0.131967999
YLR085C,0.132110134
YDR376W,0.132163548
YCR024C,0.132199068
YJL054W,0.132211991
YLR021W,0.132631832
YAL027W,0.13284355
YMR281W,0.132865079
YGL058W,0.132916394
YLR169W,0.132981607
YGL218W,0.133072652
YBL010C,0.133080606
YNL038W,0.133157201
YDR288W,0.133158999
YNL250W,0.133159584
YLR071C,0.133305302
YKR054C,0.133309962
YOR017W,0.133525838
YLL015W,0.133592154
YDR164C,0.133614604
YJR087W,0.133635652
YOL078W,0.133722782
YPL022W,0.133732866
YGR016W,0.133755213
YPR146C,0.13376356
YPL253C,0.133766707
YLR007W,0.133806956
YEL056W,0.133891136
YOR218C,0.134096184
YKR021W,0.134115944
YGL064C,0.134117801
YKR031C,0.13412692
YPR066W,0.134175071
YDR362C,0.134318096
YFL033C,0.134356265
YGR263C,0.134445391
YLR242C,0.134463576
YKR083C,0.134578659
YKR088C,0.134614017
YMR167W,0.13462597
YLR436C,0.134733769
YHR078W,0.134740845
YGL094C,0.134767744
YJR040W,0.134811348
YPR133C,0.134880209
YNL086W,0.134974025
YDR114C,0.134997046
YDR307W,0.135015929
YDL013W,0.135132082
YBL080C,0.135202277
YJR102C,0.135215462
YLR046C,0.135530001
YML020W,0.13555601
YAL045C,0.135596227
YHL004W,0.135740642
YLL007C,0.135750914
YBL036C,0.135813114
YGR033C,0.135954642
YNL152W,0.135993371
YGR005C,0.136024799
YLR078C,0.136115703
YBR220C,0.136126933
YDR498C,0.13618315
YKL017C,0.136203725
YLR127C,0.136204042
YNL271C,0.136255869
YFL034W,0.136329286
YKL011C,0.136344023
YIL001W,0.136348755
YJR136C,0.13654123
YCR027C,0.136544084
YNL047C,0.136698961
YDR026C,0.136733885
YKR051W,0.136769042
YLR360W,0.137025061
YER068W,0.137049169
YML095C,0.137118129
YGL155W,0.137141198
YPL099C,0.137146823
YHR192W,0.137215939
YJR013W,0.137373471
YDR428C,0.137429435
YHR076W,0.137465091
YER099C,0.137466505
YJL178C,0.137475781
YOR057W,0.137523031
YDL165W,0.137602391
YKL149C,0.137615118
YJL147C,0.137677967
YIL095W,0.137682495
YNL091W,0.137713631
YLR245C,0.137721394
YML011C,0.13772836
YEL016C,0.137752199
YGL252C,0.137844449
YMR052C-A,0.137871331
YOR200W,0.1380213
YHR109W,0.138033528
YKL111C,0.138107824
YMR061W,0.138143182
YGL133W,0.138168389
YGR215W,0.138197459
YGL132W,0.138322643
YLR386W,0.138350429
YBR113W,0.13835169
YDR459C,0.138413245
YHR186C,0.138456462
YOL146W,0.138505449
YDR466W,0.138546909
YPL205C,0.138567814
YAL047C,0.138632138
YDR241W,0.138633252
YOR110W,0.138642668
YPR188C,0.1386884
YHR091C,0.1387246
YMR192W,0.138796418
YJR006W,0.138884409
YBR193C,0.138922028
YMR126C,0.138997677
YPL139C,0.139070947
YHR165C,0.13907769
YEL006W,0.139112271
YOR076C,0.139197989
YOR353C,0.139307753
YKR078W,0.139462227
YBR192W,0.139491055
YPL072W,0.139515869
YHR003C,0.139551153
YKL019W,0.139661145
YGR093W,0.139700529
YNL235C,0.139918577
YML067C,0.139942376
YCR095C,0.139956103
YCR026C,0.139964922
YOR090C,0.140060592
