Systematic Name,mRNA Level_D1
YNL203C,0.0
YDR344C,0.0
YIL150C,0.0
YCR025C,0.0
YOL019W-A,0.0
YDR525W,0.0
YNL146W,0.0
YDR523C,0.0
YCR010C,0.0
YBL066C,0.0
YGL146C,0.5849625007211561
YKL131W,0.5849625007211561
YJR131W,0.5849625007211561
YGR236C,0.5849625007211561
YDL222C,0.5849625007211561
YJR098C,0.5849625007211561
YDL211C,0.5849625007211561
YML054C-A,0.5849625007211561
YDR326C,0.5849625007211561
YLR116W,0.5849625007211561
YJL007C,0.5849625007211561
YFR056C,0.5849625007211561
YGL158W,0.5849625007211561
YOR337W,0.5849625007211561
YGL204C,0.5849625007211561
YOR235W,0.5849625007211561
YDR274C,1.0
YDR076W,1.0
YIL089W,1.0
YEL019C,1.0
YGL237C,1.0
YEL023C,1.0
YFL003C,1.0
YGL259W,1.0
YFL052W,1.0
YFL055W,1.0
YCL026C-A,1.0
YIL058W,1.0
YDL152W,1.0
YFL019C,1.0
YCL001W-B,1.0
YCR065W,1.0
YGL074C,1.0
YGL075C,1.0
YDL210W,1.0
YDL196W,1.0
Q0255,1.0
YBR250W,1.0
YDR246W-A,1.0
YDL071C,1.0
YDR218C,1.0
YDR419W,1.0
YIR020C,1.0
YDL044C,1.0
YPR201W,1.0
YGR066C,1.0
YNL328C,1.0
YMR274C,1.0
YMR206W,1.0
YMR133W,1.0
YMR085W,1.0
YBR021W,1.0
YGR051C,1.0
YLR392C,1.0
YBR045C,1.0
YLR363C,1.0
YNL279W,1.0
YLR349W,1.0
YLR308W,1.0
YLR273C,1.0
YLR174W,1.0
YLR173W,1.0
YKR086W,1.0
YKR015C,1.0
YKL093W,1.0
YKL102C,1.0
YKL178C,1.0
YKL222C,1.0
YLR339C,1.0
YJR153W,1.0
YNL277W-A,1.0
YNL196C,1.0
YPR193C,1.0
YPR192W,1.0
YPR170C,1.0
YPR146C,1.0
YPR027C,1.0
YAL037W,1.0
YPR005C,1.0
YPL021W,1.0
YPL119C,1.0
YPL205C,1.0
YNL242W,1.0
YOR381W-A,1.0
YOR190W,1.0
YBL100W-C,1.0
YOR161C-C,1.0
YOR082C,1.0
YOR072W-B,1.0
YOR011W-A,1.0
YOL024W,1.0
YOL084W,1.0
YNL133C,1.0
YNL143C,1.0
YOR263C,1.0
YJR149W,1.0
YBR033W,1.0
YJR071W,1.0
YJL136W-A,1.0
YJL153C,1.0
YJL194W,1.0
YHR205W,1.0
YHR185C,1.0
YHR109W,1.0
YHR048W,1.0
YJR128W,1.0
YHR007C-A,1.0
YHL024W,1.0
YBR182C-A,1.0
YGR289C,1.0
YGR204C-A,1.0
YGR121W-A,1.0
YGR068C,1.0
YJL120W,1.0
YJL116C,1.0
YCR099C,1.0
YJL051W,1.0
YIL134C-A,1.32192809488736
YOR213C,1.32192809488736
YLR457C,1.32192809488736
YOR192C,1.32192809488736
YGL263W,1.32192809488736
YGR224W,1.32192809488736
YBR203W,1.32192809488736
YOR071C,1.32192809488736
YGL197W,1.32192809488736
YGL107C,1.32192809488736
YDR317W,1.32192809488736
YBR144C,1.32192809488736
YLR004C,1.32192809488736
YPR186C,1.32192809488736
YOR334W,1.58496250072116
YDR110W,1.58496250072116
YDR114C,1.58496250072116
YOR324C,1.58496250072116
YGR238C,1.58496250072116
YOR233W,1.58496250072116
YDR403W,1.58496250072116
YJR004C,1.58496250072116
YOR028C,1.58496250072116
YHL037C,1.58496250072116
YGR251W,1.58496250072116
YER188W,1.58496250072116
YOR343C,1.58496250072116
YOR100C,1.58496250072116
YER185W,1.58496250072116
YHL042W,1.58496250072116
YER180C-A,1.58496250072116
YGL149W,1.58496250072116
YPL222W,1.58496250072116
YPL257W,1.58496250072116
YPR196W,1.58496250072116
YPR194C,1.58496250072116
YCR106W,1.58496250072116
YJR061W,1.58496250072116
YGR096W,1.58496250072116
YDL223C,1.58496250072116
YGR107W,1.58496250072116
YPR159C-A,1.58496250072116
YFL054C,1.58496250072116
YPR042C,1.58496250072116
YDL199C,1.58496250072116
YGR140W,1.58496250072116
YKL221W,1.58496250072116
YPR002W,1.58496250072116
YPL033C,1.58496250072116
YDL114W,1.58496250072116
YDL079C,1.58496250072116
YGL081W,1.58496250072116
YPL157W,1.58496250072116
YPL185W,1.58496250072116
YPL201C,1.58496250072116
YGR230W,1.58496250072116
YPL209C,1.58496250072116
YNR071C,1.58496250072116
YDR029W,1.58496250072116
YDR065W,1.58496250072116
YNR063W,1.58496250072116
YER088C-A,1.58496250072116
YNR020C,1.58496250072116
YIR042C,1.58496250072116
YML087C,1.58496250072116
YML100W-A,1.58496250072116
Q0143,1.58496250072116
YKL070W,1.58496250072116
YLR446W,1.58496250072116
YJL187C,1.58496250072116
YJL157C,1.58496250072116
YJL089W,1.58496250072116
YJL108C,1.58496250072116
YEL064C,1.58496250072116
YML006C,1.58496250072116
YFR027W,1.58496250072116
YLR239C,1.58496250072116
YLR215C,1.58496250072116
YLR213C,1.58496250072116
YLR190W,1.58496250072116
YLL013C,1.58496250072116
YLR131C,1.58496250072116
YLR124W,1.58496250072116
YER075C,1.58496250072116
YLR087C,1.58496250072116
YLR047C,1.58496250072116
YLR035C,1.58496250072116
YKR097W,1.58496250072116
YJL214W,1.58496250072116
YIR028W,1.58496250072116
YGL258W-A,1.58496250072116
YDR501W,1.58496250072116
YDR509W,1.58496250072116
YNL117W,1.58496250072116
YNL128W,1.58496250072116
YNL130C-A,1.58496250072116
YGL194C,1.58496250072116
YDR535C,1.58496250072116
YHR014W,1.58496250072116
YKL108W,1.58496250072116
YER179W,1.58496250072116
YIL099W,1.58496250072116
YHR096C,1.58496250072116
YJL047C-A,1.58496250072116
YIL066C,1.58496250072116
YNL309W,1.58496250072116
YHR151C,1.58496250072116
YMR326C,1.58496250072116
YMR317W,1.58496250072116
YKL071W,1.58496250072116
YMR190C,1.58496250072116
YMR182W-A,1.58496250072116
YGL258W,1.58496250072116
YMR117C,1.58496250072116
YMR107W,1.58496250072116
YMR101C,1.58496250072116
YDR430C,1.58496250072116
YNL093W,1.58496250072116
YAL067C,1.58496250072116
YBR285W,1.58496250072116
YBR019C,1.58496250072116
YAL051W,1.58496250072116
YCR085W,1.58496250072116
YBR065C,1.58496250072116
YBR050C,1.58496250072116
