Systematic Name,Translational Efficiency_D4
YCR024C-B,0.000803658269936893
YPR121W,0.00156121045392022
YLR046C,0.00255290409725349
YJL213W,0.00415271966527197
YFL050C,0.00443864229765013
YOL104C,0.00467525773195876
YBR020W,0.00475192173305381
YJR152W,0.0061449864498645
YJR107W,0.00643435980551053
YCR014C,0.00714349977507872
YBR063C,0.00991942909760589
YOR084W,0.0102443531827515
YER180C,0.0106703910614525
YDL239C,0.0107539118065434
YBR298C,0.0117542561065877
YLR263W,0.0139986282578875
YER186C,0.0149097775912715
YEL023C,0.0158532323820617
YBR008C,0.0166950794265788
YHR033W,0.0169578518014956
YFL031W,0.0188365577178303
YGR289C,0.0198251748251748
YLR174W,0.0214093054619016
YJL216C,0.024317738791423
YLR394W,0.0247490178961152
YKL050C,0.0251006036217304
YBL075C,0.027463083284111
YCL021W-A,0.0278141957890167
YML002W,0.0296341463414634
YKR103W,0.0299811142587346
YJR149W,0.0302302332626477
YNR069C,0.0308319738988581
YIR016W,0.0329852169766333
YOR381W,0.0333537581699346
YPR117W,0.033624810892587
YKR050W,0.0345757843570482
YOR328W,0.0440399137001079
YEL009C,0.0448626171626821
YDL231C,0.0498771021992238
YPL258C,0.0516118836915297
YGR154C,0.05221103117506
YKL161C,0.0590240728692258
YOR180C,0.0612207896857373
YKL187C,0.0623648029330889
YPL167C,0.0726833242802825
YMR096W,0.0763481885219622
YMR306W,0.0778755364806867
YIR031C,0.0845370741482966
YDR263C,0.0881878209831255
YDL154W,0.0990005743825388
YAL054C,0.103087121212121
YML051W,0.104047865150672
YDR242W,0.109899307740717
YHL035C,0.110210772833724
YDR082W,0.110346479911537
YKL132C,0.112199807877041
YPR194C,0.11307619943556
YDL109C,0.113399038461539
YBL088C,0.113724049824337
YJR004C,0.115475658776239
YMR065W,0.120103163686382
YMR232W,0.126442477876106
YKL222C,0.129339356295878
YOL113W,0.133466494845361
YLR320W,0.135385266723116
YNL187W,0.135568839182414
YKR053C,0.137451437451438
YLR087C,0.137918082632803
YDR275W,0.139624867644834
YLR233C,0.141342776203966
YEL030W,0.145066497783407
YHL032C,0.146117448246726
YER024W,0.153709180529883
YBR295W,0.156261895698515
YGR070W,0.15909604519774
YER065C,0.159215832710978
YLR227C,0.159561034275406
YHR080C,0.163119796484736
YBR276C,0.163230416188589
YKR054C,0.163761731759007
YKL176C,0.165015611694579
YMR257C,0.168208673790069
YEL072W,0.169140726329442
YER041W,0.17201996007984
YJR120W,0.175614171912428
YCR089W,0.175785207700101
YLR318W,0.17710386656558
YDR459C,0.178491359177954
YLL055W,0.180560916767189
YOR019W,0.180913294797688
YKL220C,0.183458038422649
YPL174C,0.185452732349422
YJL129C,0.18667924019938
YHR071W,0.187624598548828
YOL164W,0.188468720821662
YMR207C,0.189495798319328
YOR137C,0.19233307751343
YBR045C,0.192748344370861
YML104C,0.202339304531085
YAL034C,0.202623988744284
YBL052C,0.203031536113937
YBR293W,0.205046819502745
YOL081W,0.205906963684014
YIL151C,0.206078114912847
YER184C,0.208015058179329
YKR058W,0.208653333333333
YPL075W,0.212234420744458
YKR061W,0.216139184397163
YDL138W,0.216307803468208
YHL016C,0.221084337349398
YBL014C,0.222121101586723
YPL269W,0.222334111370457
YGL251C,0.223735244519393
YBR163W,0.226326446280992
YOR011W,0.226464441219158
YDR160W,0.227446275071633
YEL025C,0.228154739602847
YLR266C,0.229004514136374
YLR454W,0.22926211001642
YDL197C,0.231136363636364
YBR136W,0.231153262518968
YJR147W,0.232578223910291
YKL015W,0.233876543209877
YCR032W,0.233902932254803
YGL215W,0.234749931568451
YGR168C,0.234947145877378
YER132C,0.235024424284717
YGL131C,0.239024870721497
YGL176C,0.239234478601567
YFR022W,0.24368315842079
YER115C,0.246918594972532
YIL031W,0.248287944807553
YJL093C,0.249983016304348
YOR305W,0.251958791591257
YCR073C,0.25226826608506
YGR098C,0.253628444084279
YDR314C,0.253762924667651
YPL034W,0.256565632458234
YNL294C,0.257801459293395
YNL094W,0.259625017687845
YDR334W,0.259637325761487
YGL090W,0.260631720430107
YJL025W,0.260825103536158
YLL003W,0.263092431761786
YMR190C,0.264453358208955
YDL206W,0.266243411595592
YNR059W,0.266563981042654
YMR176W,0.267993190466653
YPL149W,0.26913266311847
YGL229C,0.270274306613837
YCR106W,0.271291345718169
YOL011W,0.271958319550116
YDL223C,0.272520252025202
YMR053C,0.274168278529981
YJL209W,0.274523124585085
YBR043C,0.276069827789573
YOR380W,0.276634071024189
YDL204W,0.278734693877551
YBR259W,0.279158776402039
YML081W,0.281443832955649
YHR194W,0.282363373145132
YBR140C,0.284509362529418
YOR030W,0.285530324805979
YDR350C,0.286088235294118
YAR035W,0.286204588910134
YIL013C,0.286312056737589
YPR115W,0.286673623793373
YKL133C,0.287386483632524
YIL120W,0.288834080717489
YGL136C,0.291815068493151
YER153C,0.292182315049775
YOL105C,0.294062668827661
YBL095W,0.294664536741214
YDL073W,0.295287392823118
YOR205C,0.2955633968478
YOR208W,0.296076091010817
YOR227W,0.296577777777778
YHR079C,0.296773132017034
YPL022W,0.297631459996987
YIL147C,0.300919724770642
YAL056W,0.301784274193548
YKL171W,0.302394366197183
YNL257C,0.30326455534229
YOR172W,0.304821954484605
YPL066W,0.305887328198157
YGL113W,0.306041108132261
YBR203W,0.306712158808933
YCR079W,0.307092119866815
YLR224W,0.307863804921901
YOL103W,0.310498539841468
YGR257C,0.310546949703576
YDR332W,0.311127156036903
YER129W,0.31169148302561
YNL329C,0.312521786492375
YHR165C,0.313152343074529
YLR152C,0.313161094224924
YPL008W,0.313172768143866
YML023C,0.315682607534064
YCR037C,0.315825884876654
YJL092W,0.316967711745438
YLR422W,0.317998641996265
YER173W,0.318846286701209
YGL256W,0.318879613929829
YJL187C,0.320344592289321
YLR014C,0.320551470588235
YLR067C,0.32169621749409
YJR127C,0.324659114315139
YGL094C,0.326907303033937
YMR126C,0.326922444505344
YDR387C,0.328191916075285
YNR066C,0.330329387545033
YOR080W,0.330547199170124
YHR204W,0.330675675675676
YGR201C,0.330998998998999
YHR155W,0.331194223592406
YKR098C,0.331662024141133
YOR060C,0.333148688046647
YJL095W,0.333193865959864
YJR039W,0.333268503511615
YOR334W,0.33377358490566
YLR024C,0.335109694355897
YDR078C,0.33590788601723
YPL082C,0.336578907435508
YPL164C,0.336621061359867
YHR131C,0.336760497302369
YCL002C,0.337064029151484
YHR151C,0.337178156146179
YKR064W,0.338920983528288
YPL268W,0.339114030184461
YHL026C,0.340575270825551
YPR021C,0.340615671641791
YGR170W,0.343168639560817
YMR064W,0.343617237869019
YJL090C,0.344595046854083
YKL203C,0.344791362707908
YLL049W,0.344859717386852
YPR005C,0.345391818629867
YNL172W,0.345650623885918
YNL271C,0.346058110483946
YLR246W,0.346062670299727
YDL238C,0.34643768115942
YPL072W,0.346531055900621
YKR069W,0.348365498227649
YNR031C,0.348768348944499
YJR061W,0.349244213509683
YGL063W,0.350146316851665
YPR095C,0.351187672262591
YMR034C,0.351555323590814
YPR138C,0.351620524178664
YDR421W,0.352027207850134
YPR085C,0.352571160462934
YIL149C,0.352583579444773
YJL016W,0.353251864125932
YJR066W,0.354842618200975
YLR047C,0.354926181102362
YDR128W,0.355028655641068
YKL038W,0.355812682215744
YGR217W,0.355877551020408
YGR238C,0.35703300330033
YOL043C,0.35716712580349
YOR033C,0.357363566487317
YMR270C,0.357443341727151
YLR313C,0.357650912494151
YIL129C,0.358235294117647
YOL001W,0.358593619972261
YLR368W,0.358645581844519
YDL194W,0.359657960199005
YHR091C,0.360556918547596
YPR164W,0.363626781472684
YOR073W,0.364594100160073
YEL016C,0.364775224775225
