Systematic Name,Protein Abundance_D2
YMR191W,3.359783478
YJL093C,3.8042278
YER184C,4.725729622
YGL063W,5.497247283
YPL159C,6.922928984
YDR106W,8.009892768
YIR025W,8.405220024
YDR082W,13.85543871
YLR443W,13.88987485
YNL038W,15.24110205
YMR187C,15.34657126
YJR106W,16.4629641
YNR063W,17.75506186
YBR297W,19.35830251
YDR126W,35.65229796
YJL213W,58.410894243
YJR126C,59.883489719
YHR176W,80.6437517847206
YOL043C,89.800423195
YLR210W,98.9
YHR015W,98.9
YDR314C,114.307632099468
YKR041W,116.76634269
YMR190C,120.18724135159
YOL152W,120.3475218
YBR004C,122.722789506546
YCR073C,122.95
YEL070W,125.0
YIR039C,125.4903748
Q0065,127.841590515
YPL202C,139.343380353548
YOR033C,140.0
YHR173C,149.0
YLR087C,153.2032352
YGR110W,160.201427227288
YDR104C,162.0
YJR161C,162.896830054653
YIL172C,166.0
YBR203W,173.827197678778
YCR096C,175.7768994
YOL158C,176.420671540249
YFL054C,181.86443658
Q0115,183.0
YPL268W,188.480635046678
YMR100W,192.625557773714
YDL109C,195.0
YFL060C,195.0
YGL113W,195.500328133092
YOR137C,206.029389222579
YJL083W,206.973771995
YNL172W,209.0
YPL230W,210.033593706353
YFR027W,210.03568688
YLR288C,212.88016687
YLL054C,216.223416647534
YHR184W,216.355596481
YDR332W,218.0
YPL164C,219.605834047189
YKR098C,220.329496155
YFL062W,223.735135710492
YBR136W,224.0
YBL005W,225.0
YOR208W,230.985268370839
YCR032W,233.712663915541
YOR129C,235.004584715585
YBL014C,237.0
YMR111C,238.0
YDR522C,238.0
YPL158C,238.0
YFL053W,246.47928188
YDL194W,249.0
YML099C,250.89325265
YNR059W,252.1472279
YCL058W-A,255.499843267985
YDR179W-A,259.0
YLR049C,259.107822187926
YKL072W,261.0
YKR009C,266.000656266185
YOR172W,266.762648028173
YHR079C,267.0
YPL174C,267.62612254106
YLR067C,270.875087102838
YLR368W,271.0
Q0055,271.0
YER038C,272.5608392253
YMR176W,275.5
YPR095C,279.0
YJL222W,279.0
YKR101W,281.0
YPL034W,285.534184587282
YPL242C,288.568632544663
YNL008C,289.495085203628
YBL089W,293.504768849986
YIR029W,297.25224508212
YLR224W,298.775457251918
YLR451W,299.210238431957
YLR024C,300.68125194682
YBR156C,301.5
YOL001W,301.541553661544
YGR288W,301.724554111903
YHR150W,307.516696596688
YHR178W,310.037211175039
YDL013W,312.0
YCL004W,312.970536741678
YLR014C,317.0
YOL119C,317.111307560218
YMR001C,318.502292357792
YMR179W,318.72055875133
YDL220C,319.0
YLR381W,319.0
YGR096W,319.0
YHL028W,320.483368295048
YLR352W,322.0
YKR064W,325.926531398424
YDR085C,328.782625175497
YCR039C,333.319187619475
YKL125W,333.815540403906
YOL122C,337.985268370839
YPR119W,339.0
YDL176W,339.0
YDR282C,339.018505262756
YDR421W,344.587788344382
YOR071C,344.587788344382
YPR026W,344.765424052785
YNL294C,347.935922121711
YPL280W,349.66788153416
YOR391C,349.66788153416
YNL325C,349.742860575031
YBR114W,353.0
Q0050,353.115264921127
YMR322C,359.02875091708
YLR446W,361.440094312609
YJR021C,361.98167530146
YBR138C,365.5
YDL073W,368.228794707357
YFR029W,370.565416692878
YPR204W,370.898318338465
YOL063C,374.0
YPR021C,376.386393901608
YLL033W,376.991680760003
YKR051W,377.103639971597
YPL179W,377.222181260683
YMR180C,378.50259044882
YLR127C,387.65319549774
YCL067C,388.071699624492
YDR285W,391.0
YMR019W,392.454788390256
YPL008W,394.486098720273
YBL019W,395.22055875133
YKL098W,395.67536887422
YPL060W,396.0
YKR061W,400.0
YLR098C,401.5
YDR540C,402.566353289678
YLR320W,406.0
YOR348C,407.173253658661
YMR119W,410.883274232921
YHR131C,413.0
YPR061C,414.0
YGR188C,414.0
YLR035C,420.0
YOR249C,423.5
YJL157C,425.732343040445
YDL231C,425.8393447615
YDR253C,431.907264107089
YMR154C,432.0
YMR207C,433.0
YFL025C,434.362593697895
YDR501W,435.5986673155
YDR369C,436.863974673716
YPR117W,437.0935447
YJL193W,438.584625473721
YHR124W,440.83448987673
YOR003W,442.031867455068
YBL066C,442.3260322301
YLR142W,443.49364005979
YLL003W,444.49315664
YGL144C,445.652220299689
YKL176C,445.981833428854
YOR296W,448.0
YNR045W,450.0
YHR035W,450.0
YOR193W,450.5
YNL275W,451.055379533821
YGL136C,453.245296431444
YIL031W,453.5
YLR238W,453.72055875133
YHR031C,455.0
YPL103C,457.072878625126
YJL057C,457.072878625126
YGL090W,462.861622175
