Systematic Name,mRNA Level_D2
YJR162C,0.1
YBR190W,0.1
YIR030C,0.1
YJL047C,0.1
YML118W,0.1
YLR453C,0.1
YPL060W,0.1
YIR032C,0.1
YBR128C,0.1
YML084W,0.1
YGL052W,0.1
YBR089W,0.1
YMR007W,0.1
YPL077C,0.1
YCL007C,0.1
YML037C,0.1
YGR088W,0.1
YGL059W,0.1
YBR033W,0.1
YLR465C,0.1
YPL018W,0.1
YMR094W,0.1
YBR027C,0.1
YGL075C,0.1
YJL075C,0.1
YML050W,0.1
YJL045W,0.1
YMR018W,0.1
YPL035C,0.1
YCL023C,0.1
YCL014W,0.1
YJL015C,0.1
YMR137C,0.1
YOR318C,0.1
YOR333C,0.1
YMR084W,0.1
YJL032W,0.1
YBR065C,0.1
YML095C,0.1
YOR379C,0.1
YEL030W,0.1
YHL016C,0.1
YPL014W,0.1
YBR226C,0.1
YGL158W,0.1
YHR044C,0.1
YBR223C,0.1
YMR025W,0.1
YER179W,0.1
YDR403W,0.1
YFR035C,0.1
YLR329W,0.1
YHR157W,0.1
YDR263C,0.1
YJL083W,0.1
YER184C,0.1
YGL081W,0.1
YLR358C,0.1
YPL230W,0.1
YGL175C,0.1
YER047C,0.1
YMR159C,0.1
YJL120W,0.1
YDL220C,0.1
YAL048C,0.1
YHR048W,0.1
YPL251W,0.1
YAL032C,0.1
YDR369C,0.1
YLR047C,0.1
YJL150W,0.1
YLL063C,0.1
YML042W,0.1
YPL277C,0.1
YLL033W,0.1
YAL067C,0.1
YIL099W,0.1
YER096W,0.1
YBL031W,0.1
YCR038C,0.1
YGR188C,0.1
YGR016W,0.1
YJL160C,0.1
YGL214W,0.1
YPL222W,0.1
YAR029W,0.1
YLR334C,0.1
YGL263W,0.1
YNR075W,0.1
YLR269C,0.1
YLR230W,0.1
YPL166W,0.1
YLR217W,0.1
YLR213C,0.1
YLR156W,0.1
YLR149C,0.1
YPR001W,0.1
YGL146C,0.1
YPL191C,0.1
YDR022C,0.1
YEL061C,0.1
YLR122C,0.1
YPL197C,0.1
YDR254W,0.1
YJL103C,0.1
YJL107C,0.1
YLR080W,0.1
YAR060C,0.1
YLR054C,0.1
YAR053W,0.1
