Systematic Name,mRNA Level_D3
YDR426C,0.0
YIL028W,0.1
YLL052C,0.1
YKL086W,0.1
YPL123C,0.1
YOR178C,0.1
YPL005W,0.1
YGL052W,0.1
YLR334C,0.1
YDR403W,0.1
YCR024C,0.1
YNL230C,0.1
YNL093W,0.1
YDR250C,0.1
YDR043C,0.1
YCL007C,0.1
YIL054W,0.1
YDR254W,0.1
YGR127W,0.1
YIL071C,0.1
YJL075C,0.1
YKR091W,0.1
YGR114C,0.1
YCL023C,0.1
YPR158W,0.1
YKR005C,0.1
YIR030C,0.1
YEL011W,0.1
YER135C,0.1
YJL032W,0.1
YML084W,0.1
YNL057W,0.1
YLR217W,0.1
YML118W,0.1
YER184C,0.1
YBL049W,0.1
YNR077C,0.1
YPL166W,0.1
YJR036C,0.1
YMR018W,0.1
YDL243C,0.1
YNR069C,0.1
YKR102W,0.1
YPL191C,0.1
YIL160C,0.1
YDR173C,0.1
YOR379C,0.1
YBR148W,0.1
YDR070C,0.1
YCR033W,0.2
YCR081W,0.2
YDR082W,0.2
YCL044C,0.2
YPR077C,0.2
YPR087W,0.2
YJL155C,0.2
YNL025C,0.2
YCR068W,0.2
YDL094C,0.2
YOR333C,0.2
YLR453C,0.2
YCR006C,0.2
YBL088C,0.2
YPL119C,0.2
YGR043C,0.2
YGL158W,0.2
YLR269C,0.2
YOL116W,0.2
YPL194W,0.2
YHR137W,0.2
YKR097W,0.2
YIL082W,0.2
YBR102C,0.2
YBR089W,0.2
YGR006W,0.2
YHR004C,0.2
YLR431C,0.2
YBR027C,0.2
YHL042W,0.2
YMR041C,0.2
YCR038C,0.2
YMR025W,0.2
YPL264C,0.2
YHR101C,0.2
YMR007W,0.2
YHL021C,0.2
YGR188C,0.2
YAR060C,0.2
YHL012W,0.2
YMR137C,0.2
YCL039W,0.2
YPR002W,0.2
YLR142W,0.2
YOR137C,0.2
YIL144W,0.2
YOR318C,0.2
YIL055C,0.2
YMR196W,0.2
YGL227W,0.2
YMR191W,0.2
YBR212W,0.2
YBR226C,0.2
YBR225W,0.2
YHR173C,0.2
YML095C,0.2
YHR156C,0.2
YHR155W,0.2
YNR007C,0.2
YOR173W,0.2
YMR114C,0.2
YLR365W,0.2
YKL124W,0.2
YLR213C,0.2
YDR425W,0.2
YDR221W,0.2
YIL099W,0.2
YNR065C,0.2
YDR255C,0.2
YNR002C,0.2
YPL110C,0.2
YJL082W,0.2
YJR162C,0.2
YPL035C,0.2
YLL033W,0.2
YKR103W,0.2
YNL195C,0.2
YNL203C,0.2
YPR184W,0.2
YJL103C,0.2
YNL218W,0.2
YPL152W,0.2
YDL204W,0.2
YBR132C,0.2
YKR019C,0.2
YDR085C,0.2
YJL120W,0.2
YKL224C,0.2
YNL260C,0.2
YEL072W,0.2
YDR216W,0.2
YOL023W,0.2
YLR011W,0.2
YNL127W,0.2
YOR062C,0.2
YLR054C,0.2
YJL015C,0.2
YDL214C,0.2
YDL234C,0.2
YPL159C,0.2
YDR008C,0.2
YBR297W,0.2
YNL210W,0.2
YNL077W,0.2
YIR032C,0.2
YOL114C,0.2
YLR156W,0.2
YGL175C,0.2
YNL295W,0.2
YDR185C,0.2
YPL109C,0.2
YJL066C,0.2
YPL070W,0.2
YDR132C,0.2
YMR159C,0.3
YKR098C,0.3
YAL032C,0.3
YAL028W,0.3
YJL163C,0.3
YOR195W,0.3
YGR170W,0.3
YDR515W,0.3
YER047C,0.3
YHR075C,0.3
YEL030W,0.3
YJR053W,0.3
YDL021W,0.3
YKL071W,0.3
YBL031W,0.3
YMR197C,0.3
YDR484W,0.3
YJL222W,0.3
YHR048W,0.3
YHR035W,0.3
YKL026C,0.3
YOL096C,0.3
YJR160C,0.3
YHL016C,0.3
YCR014C,0.3
YLR006C,0.3
YKL133C,0.3
YMR104C,0.3
YLR108C,0.3
YCR018C,0.3
YLR238W,0.3
YOR366W,0.3
YIR031C,0.3
YOR380W,0.3
YLL063C,0.3
YJL048C,0.3
YIR042C,0.3
YMR053C,0.3
YJL045W,0.3
YHR184W,0.3
YPR111W,0.3
YCR094W,0.3
YML034W,0.3
YLR173W,0.3
YCR036W,0.3
YHR139C,0.3
YNL250W,0.3
YKL161C,0.3
YBR289W,0.3
YHR168W,0.3
YHR099W,0.3
YER179W,0.3
YPL197C,0.3
YMR060C,0.3
YJR035W,0.3
YGR248W,0.3
YPR001W,0.3
YKR023W,0.3
YKL042W,0.3
YGR088W,0.3
YDR480W,0.3
YPL153C,0.3
YLL056C,0.3
YFL058W,0.3
YDR069C,0.3
YAL048C,0.3
YLR234W,0.3
YIL045W,0.3
YBR065C,0.3
YPR099C,0.3
YDL176W,0.3
YLR121C,0.3
YNL013C,0.3
YDL146W,0.3
YEL005C,0.3
YDL057W,0.3
YGL045W,0.3
YER037W,0.3
YDL025C,0.3
YDL079C,0.3
YOR162C,0.3
YCR106W,0.3
YNR004W,0.3
YKR058W,0.3
YLR207W,0.3
YGR045C,0.3
YMR245W,0.3
YNL179C,0.3
YCR026C,0.3
YCR013C,0.3
YOR058C,0.3
YDL209C,0.3
YER121W,0.3
YNL063W,0.3
YDL223C,0.3
YKR053C,0.3
YDR358W,0.3
YDR330W,0.3
YOR019W,0.3
YOR120W,0.3
YDR317W,0.3
YDR295C,0.3
YDR242W,0.3
YPR152C,0.3
YNL140C,0.3
YGR289C,0.3
YBR018C,0.3
YOR072W,0.3
