Systematic Name,mRNA Half-life
YPR083W,3.009505579
YGR239C,3.01097312
YCR063W,3.012604447
YML005W,3.013942745
YOR283W,3.021544198
YFL034C-A,3.024366092
YMR239C,3.0293852
YFL034C-B,3.032919923
YPL157W,3.035279797
YER159C,3.037221483
YNL110C,3.041947595
YLR431C,3.042497927
YNL151C,3.055408943
YLR413W,3.060690644
YDR525W-A,3.061425601
YLR175W,3.069820585
YDL070W,3.074570195
YLR196W,3.07498369
YPL175W,3.078012065
YDR367W,3.084790042
YJL072C,3.095184362
YDR120C,3.103271038
YLR018C,3.108163572
YDL059C,3.110512118
YBR061C,3.110571115
YPL082C,3.111459907
YCL054W,3.1140611
YCR106W,3.114513382
YPL211W,3.115511234
YOR279C,3.118985633
YMR171C,3.127654884
YJL134W,3.130977752
YLR020C,3.131756124
YCR072C,3.132461962
YHL009C,3.13537323
YJL025W,3.144651275
YHR089C,3.146992475
YAR008W,3.148116737
YGL144C,3.148862205
YPL156C,3.150706989
YNR015W,3.154237641
YNR039C,3.166354728
YHR118C,3.168402443
YML123C,3.172025382
YBR028C,3.173453928
YDL201W,3.175253262
YER128W,3.180495365
YFR028C,3.183604449
YMR227C,3.184147695
YOR342C,3.184171265
YJL110C,3.186500274
YDR021W,3.188127145
YPL072W,3.190328785
YKL113C,3.190579763
YBR088C,3.190954819
YER173W,3.196641144
YOR073W,3.19901877
YKL155C,3.203961416
YLR090W,3.207142089
YDL189W,3.209563058
YOL058W,3.220262305
YDR300C,3.222957943
YLR040C,3.223145856
YDR363W,3.223399941
YKR080W,3.228828794
YDR045C,3.230043604
YBL069W,3.23224314
YGR120C,3.234613937
YDR181C,3.236730603
YNL254C,3.237342563
YDR049W,3.247327609
YGL050W,3.252164316
YML050W,3.254146805
YLR319C,3.259257811
YEL029C,3.260233635
YOR079C,3.26128792
YML087C,3.2701174
YPL183W-A,3.270823936
YIL005W,3.271287927
YFR026C,3.271778319
YLR226W,3.272742738
YJR144W,3.272938867
YIL016W,3.279297322
YMR044W,3.279598018
YNR017W,3.283885772
YPL177C,3.284019754
YKL032C,3.284027305
YGR075C,3.285902459
YIR008C,3.291826766
YPL029W,3.292686489
YKL170W,3.296380974
YER064C,3.296777319
YFR043C,3.298905776
YLL003W,3.300403175
YKL062W,3.301276039
YKR026C,3.302112878
YKL106W,3.305112787
YDL207W,3.308129657
YDR308C,3.321698131
YDR302W,3.325189871
YNL022C,3.327118161
YIL122W,3.328669398
YKR091W,3.329248223
YDR361C,3.329723751
YNR032W,3.330420849
YBL032W,3.333641266
YIL090W,3.337249507
YBR192W,3.339187695
YBR030W,3.341770421
YPL066W,3.349417011
YDR267C,3.350113294
YHR069C,3.350644222
YER169W,3.361891721
YOR243C,3.363325836
YJR155W,3.368985657
YGR076C,3.37357303
YML088W,3.375342208
YDR493W,3.380744937
YDR312W,3.381126109
YDR465C,3.382940991
YOL149W,3.38449583
YDR104C,3.385868862
YDL203C,3.386118006
YAL040C,3.387866039
YFR038W,3.388527038
YJL118W,3.391041008
YKL120W,3.391830021
YBR194W,3.392249977
YCL032W,3.39242285
YNL311C,3.393417918
YKL021C,3.39368673
YOL022C,3.394028699
YAL034W-A,3.395524021
YOR303W,3.397340691
YCL029C,3.399293133
YJL203W,3.400220042
YBR247C,3.405128978
YDR240C,3.405856061
YFR034C,3.409854951
YPR125W,3.410542095
YKL061W,3.412627543
YDR113C,3.415870122
YGR004W,3.420225701
YIR021W,3.42095471
YDR108W,3.422010332
YDL117W,3.426408718
YML108W,3.42643348
YBR213W,3.431519681
YER002W,3.43279193
YPR120C,3.43477736
YOR129C,3.435702132
YMR063W,3.44008341
YGR122W,3.440398939
YKR010C,3.44435714
YOL112W,3.444419078
YJL180C,3.44659219
YJL090C,3.448201996
YGR110W,3.450984032
YKL052C,3.453184045
YFR005C,3.4618687
YNL001W,3.463547431
YGR191W,3.464065173
YDL074C,3.464568983
YLR275W,3.464839783
YBR295W,3.465338955
YIL009W,3.467236649
YOR149C,3.468139129
YDL182W,3.471099045
YML023C,3.472366438
YNR020C,3.47332686
YLR401C,3.475730495
YLR099C,3.477195673
YJR110W,3.48068392
YKL122C,3.482635609
YKR079C,3.488532069
YGL017W,3.489560415
YGR056W,3.490646855
YNL328C,3.492880489
YBR153W,3.493806271
YML009C,3.499768092
YLR022C,3.500037804
YPR065W,3.505111471
YBR068C,3.505804618
YPR190C,3.506601205
YPL008W,3.510807119
YMR117C,3.510864154
YER112W,3.51229022
YGR072W,3.5124989
YDR245W,3.516167688
YLR277C,3.518352993
YMR172W,3.522379649
YDL030W,3.525807158
YJL133W,3.52768384
YLR439W,3.530921657
YPL047W,3.530941867
YLR003C,3.534182825
YDR339C,3.538431321
YHR062C,3.5405622
YLR103C,3.543165066
YML031W,3.551806839
YFR048W,3.556528656
YCR035C,3.559650472
YBR002C,3.562538906
YPL101W,3.566203688
YPL057C,3.57120247
YLR253W,3.573379647
YPR194C,3.574860136
YDL176W,3.575567625
YNL221C,3.580462682
YAL047C,3.58512363
YPR048W,3.585240466
YJR070C,3.586022263
YBL107C,3.594312365
YPL158C,3.594322981
YOL140W,3.595781216
YIL037C,3.597001299
YMR036C,3.598747101
YBR154C,3.601437038
YJR135C,3.601761141
YGR260W,3.604308761
YHR170W,3.604488937
YCR005C,3.604773441
YOR094W,3.60492302
YBR010W,3.607575836
YMR002W,3.608525839
YPL050C,3.608734286
YDR176W,3.61203364
YBL104C,3.612539533
YLR312W-A,3.614516035
YGR177C,3.615523998
YDR322W,3.616310222
YOL108C,3.618575681
YPR144C,3.619256769
YLR385C,3.619374381
YJR067C,3.619639312
YGR208W,3.620396262
YER032W,3.62260373
YLR127C,3.624027121
YGR187C,3.624214905
YKL055C,3.62507669
YHR094C,3.626138343
YOR311C,3.629334797
YIL118W,3.63215987
YCL018W,3.632179757
YLL002W,3.632922091
YPL096C-A,3.634167053
YPL254W,3.634775451
YGR014W,3.640333986
YNL213C,3.640950651
YCL024W,3.641043502
YOR281C,3.642782291
YDR389W,3.642817386
YMR177W,3.645154449
YBL009W,3.653456886
YPR156C,3.653825335
YMR313C,3.655999374
YGL246C,3.66170444
YPR104C,3.661807834
YBL090W,3.66231404
YOL012C,3.662814891
YKL176C,3.663276526
YDL003W,3.66541254
YDR014W,3.668314778
YLR403W,3.668390868
YPR134W,3.668470709
YKR022C,3.66935273
YKL004W,3.670340001
YDL076C,3.671193817
YGR165W,3.677541955
YHR168W,3.679355063
YBL002W,3.679875559
YBR105C,3.681109249
YDR144C,3.68299572
YDR356W,3.687128676
YMR285C,3.687129024
YNL256W,3.688516381
YCR047C,3.696654211
YDR528W,3.69672024
YGL107C,3.700127765
YPL051W,3.708286261
YOR232W,3.712993727
YMR056C,3.713558494
YCR065W,3.718180304
YBL093C,3.72335368
YJL198W,3.724072225
YCR054C,3.72500497
YBL025W,3.730797073
YOR127W,3.73387536
YNL153C,3.735806834
YPR187W,3.739608681
YJL183W,3.741226966
YBL005W,3.742500252
YDR369C,3.744178914
YMR066W,3.747637002
YNL278W,3.751188031
YOL011W,3.752116263
YDR224C,3.756169393
YNL066W,3.761534304
YLR056W,3.761796165
YDR299W,3.763038629
YML061C,3.76764565
YLR079W,3.768125845
YKL017C,3.768608835
YFR027W,3.771035858
YLR381W,3.772856554
YGR128C,3.778533078
YOR104W,3.778652884
YKL068W,3.780217601
YDR524C,3.78103359
YER107C,3.783618839
YHR059W,3.787665967
YOL093W,3.796075106
YLR320W,3.800742863
YGR058W,3.803146809
YPL243W,3.804011751
YEL016C,3.807318386
YOL158C,3.808137864
YPL268W,3.811308144
YOR188W,3.812185046
YPL075W,3.812702945
YNL080C,3.813012324
YDR034C,3.81902504
YGR040W,3.822548424
YPL070W,3.824784655
YMR033W,3.840241531
YOL018C,3.845017175
YLR129W,3.845612419
YLR321C,3.8474877
YLR212C,3.848583176
YNL325C,3.851967313
YBR185C,3.855903919
YIL131C,3.858038658
YCL031C,3.859989424
YOL122C,3.868382238
YDR235W,3.872937006
YDR146C,3.882431877
YIL021W,3.882560975
YBR091C,3.886060454
YLR443W,3.889121545
YPR041W,3.889454008
YML076C,3.891154959
YPL011C,3.891206521
YDR527W,3.893386032
YLR105C,3.897697545
YLR026C,3.899495598
YDL039C,3.903230675
YNL169C,3.907613928
YNL231C,3.907952561
YDR088C,3.909709199
YKL164C,3.915175329
YGL025C,3.915351525
YDL001W,3.926895228
YPL246C,3.92700224
YMR223W,3.930926639
YBR087W,3.932290194
YGL256W,3.933783617
YML114C,3.936260025
YLR222C,3.939167262
YDR073W,3.944719833
YER171W,3.950553245
YLR057W,3.950923936
YMR127C,3.951440304
YGR227W,3.953483206
YDL236W,3.962260999
YNL175C,3.963006205
YGL078C,3.96317788
YLR014C,3.966389347
YDR297W,3.9664019
YLR007W,3.973198493
YDR480W,3.982884834
YJL010C,3.985311981
YBR202W,3.987767686
YDL205C,3.993897359
YMR019W,3.996494664
YLR357W,3.997156178
YKL185W,3.998948991
YMR145C,3.999168972
YKL099C,4.002708467
YBR186W,4.00403495
YHR058C,4.004147552
YBR158W,4.005824335
YMR129W,4.00586208
YJR053W,4.008329266
YLR115W,4.008633295
YMR043W,4.011855592
YGL108C,4.013395843
YPL244C,4.013501417
YPL173W,4.027755008
YLR194C,4.02822935
YGL169W,4.03125301
YFR036W,4.031682582
YNL225C,4.033996344
YGL209W,4.038006362
YDR279W,4.041454607
YMR188C,4.041982098
YHR153C,4.042572293
YGR230W,4.044531077
YMR228W,4.045168109
YNL227C,4.056961188
YLR288C,4.065419579
YML081W,4.070316751
YLR221C,4.070584905
YER170W,4.073055672
YDR441C,4.075153026
YKR072C,4.086425133
YGR047C,4.093823824
YLR223C,4.09479946
YDL150W,4.099768754
YBR089C-A,4.102333689
YBR251W,4.10634571
YGR084C,4.107619143
YFR011C,4.107749126
YGR074W,4.112205518
YNL252C,4.115676921
YPR034W,4.117450907
YBR262C,4.132195686
YDL217C,4.133247465
YBR187W,4.133784213
YBL016W,4.146327073
YKL033W,4.146503647
YOR319W,4.147511404
YKR086W,4.155995149
YHR150W,4.156541383
YKL008C,4.157338197
YOR001W,4.163865742
YOR087W,4.167345228
YEL018W,4.168533344
YLR276C,4.177076877
YKR055W,4.178724001
YBR143C,4.184871332
YCR018C,4.185365971
YNR054C,4.194191507
YMR016C,4.199615733
YNL232W,4.204379715
YMR001C,4.210322917
YAR014C,4.212149894
YKL214C,4.216872952
YKL138C,4.216946479
YPR111W,4.218210058
YOR064C,4.219313636
YKL018W,4.225645974
YAL033W,4.225888978
YMR138W,4.227611484
YLR412W,4.228208108
YPL132W,4.229506058
YKL048C,4.233431724
YGL145W,4.237147623
YGL124C,4.238185112
YML093W,4.239305675
YGR095C,4.242892909
YJL209W,4.247152101
YIR023W,4.247975835
YEL063C,4.248190179
YDR458C,4.249465337
YGL171W,4.25000825
YDR026C,4.250662171
YDR232W,4.252461957
YER149C,4.255558384
YOR092W,4.257224337
YOR310C,4.258812661
YLR015W,4.263001594
YNL283C,4.265545116
YDR052C,4.271181882
YKR037C,4.271447429
YEL036C,4.272057821
YLR083C,4.277900745
YOR337W,4.28818681
YNL199C,4.289487252
YKL194C,4.289774218
YKL134C,4.292372098
YLR139C,4.293404575
YBL003C,4.302978355
YKR044W,4.307871459
YAL013W,4.318126143
YGL211W,4.321142897
YPR035W,4.322541675
YDR508C,4.324757556
YDR165W,4.327667015
YLR266C,4.329391754
YLR376C,4.330589799
YOL102C,4.336506051
YJR022W,4.337312832
YMR224C,4.342508634
YDR147W,4.350503912
YKR083C,4.356678241
YNR051C,4.358441768
YMR163C,4.360706294
YER124C,4.363302188
YDL008W,4.366097211
YBL026W,4.368760753
YJR080C,4.370231593
YHL004W,4.373260618
YLR332W,4.374370645
YJL208C,4.374876728
YMR024W,4.378015552
YAL009W,4.378069031
YJR002W,4.378293711
YLR289W,4.378431652
YHR061C,4.379283961
YJL088W,4.380016643
YDL111C,4.382163391
YKL119C,4.382352018
YBR009C,4.384999496
YOR174W,4.385409385
YDL128W,4.386020722
YOL164W,4.387332555
YOR056C,4.38852597
YPL133C,4.389048285
YNL075W,4.389720335
YDR354W,4.389739194
YHR204W,4.391319059
YOL094C,4.393711691
YNR023W,4.397936514
YNL051W,4.399819249
YDR331W,4.401179754
YAR018C,4.403522241
YJR069C,4.405980597
YFR031C,4.410726539
YHR119W,4.412946712
YFL041W,4.413094106
YOR107W,4.414781054
YMR316W,4.416275933
YOR368W,4.417491058
YPL141C,4.428543223
YER180C,4.429076916
YPR145W,4.430857965
YCR057C,4.432177408
YLR328W,4.432368155
YOR196C,4.434109449
YML052W,4.434333893
YBR274W,4.434650343
YDR291W,4.437961276
YDL044C,4.441162689
YHR081W,4.441525848
YHR032W,4.44338849
YLR011W,4.448390721
YDR194C,4.448811092
YPL174C,4.449501757
YFR029W,4.452839386
YCR003W,4.453108699
YMR113W,4.453843094
YML099C,4.454071375
YOR147W,4.455752751
YJR101W,4.455960642
YKR063C,4.457996398
YGR089W,4.464262667
YBL006C,4.465399378
YMR305C,4.468550439
YJR024C,4.469100275
YPL040C,4.474577838
YNL308C,4.476557605
YLR074C,4.479689509
YDL064W,4.487825845
YIL053W,4.488775259
YDR047W,4.489087426
YDL148C,4.489130045
YGL044C,4.492749817
YBL068W,4.495553133
YCR045C,4.498329878
YBR223C,4.499593156
YBR029C,4.499660797
YER049W,4.504647274
YNL038W,4.511502449
YDR268W,4.511728256
YNL248C,4.512145259
YAR033W,4.512635013
YHR065C,4.514626205
YMR238W,4.518093664
YOL119C,4.518136698
YOR130C,4.51827209
YJL054W,4.521803048
YJL073W,4.52300315
YNL185C,4.523678511
YDL105W,4.524098643
YER075C,4.526079892
YGL100W,4.528229001
YGL139W,4.533050395
YGL254W,4.534730353
YLR204W,4.538078669
YPL049C,4.539643036
YKL114C,4.542413836
YGR028W,4.544312859
YOR324C,4.549063817
YPL266W,4.551789952
YBL011W,4.552302994
YIL050W,4.552789823
YDR242W,4.555409429
YBR197C,4.556091406
YNR059W,4.557453066
YGR179C,4.559998646
YHR013C,4.562375349
YDR316W,4.562669365
YDR348C,4.566448798
YNL219C,4.566616823
YMR288W,4.567255369
YGL071W,4.568478789
YER061C,4.571638019
YDL014W,4.57295293
YPR070W,4.573710072
YOL059W,4.579990255
YNL142W,4.580764162
YDR375C,4.581997322
YDR191W,4.586825674
YOL042W,4.588355004
YPR131C,4.5917905
YPL233W,4.597306689
YOR208W,4.599051579
YMR064W,4.599357841
YKL072W,4.602432549
YML034W,4.605273011
YBR055C,4.607919488
YLR409C,4.609144314
YML125C,4.609994261
YKL175W,4.611828499
YPR085C,4.615601693
YLR078C,4.617311157
YNL133C,4.61813093
YHR030C,4.619149708
YEL032W,4.620596707
YHR036W,4.621838754
YGR172C,4.621971955
YGR123C,4.624163036
YPR020W,4.625337136
YMR277W,4.6258137
YMR283C,4.627396045
YDR126W,4.629813894
YIL020C,4.631047956
YBR129C,4.631181647
YPL153C,4.631345343
YGR062C,4.636985388
YML019W,4.640103764
YBR122C,4.644480896
YDR381C-A,4.646099471
YLR051C,4.64761008
YLR291C,4.650427766
YJR050W,4.652088334
YIL040W,4.652810086
YGL077C,4.653160066
YDR494W,4.655338931
YJL096W,4.657707241
YGR041W,4.659628253
YGL028C,4.6615045
YBR165W,4.662432385
YDR438W,4.664575862
YOR241W,4.665801189
YOR126C,4.666205945
YOR179C,4.666506315
YNR026C,4.666509435
YNR027W,4.667518757
YMR134W,4.66903145
YJL127C,4.672078912
YLR010C,4.676815786
YGL223C,4.678825815
YHR073W,4.680286019
YMR282C,4.680890482
YGR007W,4.684194003
YNL148C,4.690043556
YBR123C,4.691746494
YNL032W,4.692570715
YOR350C,4.693452158
YEL006W,4.696923736
YFL026W,4.697245517
YLR021W,4.697407044
YGL216W,4.698113438
YGR162W,4.698131842
YGR280C,4.70203325
YDR101C,4.704192468
YER051W,4.70635461
YML105C,4.708439929
YIL044C,4.709639025
YBR015C,4.714086246
YER129W,4.715803005
YBL024W,4.720127756
YNL141W,4.723349083
YPR166C,4.725073144
YNL096C,4.725139531
YPR067W,4.726989163
YHR038W,4.73056639
YDR337W,4.731088088
YBR260C,4.733858314
YDR482C,4.736168947
YBR077C,4.736493858
YNR011C,4.737070103
YGL143C,4.738068026
YOR038C,4.740862035
YOR360C,4.741902986
YOR066W,4.742192603
YIR004W,4.744531823
YPL024W,4.745943774
YNL003C,4.747624137
YNL183C,4.749516086
YDR192C,4.750070083
YDL156W,4.750538092
YKL137W,4.752512266
YIL027C,4.753790336
YML102W,4.754386034
YCR107W,4.755198825
YCR073C,4.756885602
YPL209C,4.761700324
YJR052W,4.762881822
YKL165C,4.76344371
YOL095C,4.76760882
YMR270C,4.768728746
YPL274W,4.769329488
YAL011W,4.771557303
YDR416W,4.774872422
YDR365C,4.775131
YLR141W,4.775517871
YLR355C,4.779047824
YKL208W,4.780835615
YFR041C,4.780946222
YML055W,4.785671425
YBR142W,4.7861815
YIL093C,4.786508202
YGR096W,4.787734309
YBL008W,4.788725764
YLR004C,4.790597659
YJL013C,4.79241281
YBR042C,4.795212451
YDR115W,4.79556702
YKR036C,4.796105763
YHR090C,4.796919875
YBR268W,4.797660943
YOR080W,4.802336928
YCR019W,4.80260941
YPL038W,4.805322091
YLR233C,4.809568009
YDR091C,4.813293113
YHR197W,4.814369172
YBR110W,4.81546239
YEL040W,4.818016173
YDR017C,4.818466249
YAL024C,4.818653102
YOR206W,4.819363791
YOL034W,4.819400828
YLR399C,4.820952296
YNL268W,4.822356688
YDR167W,4.825545688
YHR080C,4.825709287
YAL027W,4.826108832
YAL048C,4.827165725
YKR085C,4.827286581
YER145C,4.827844966
YJL077C,4.833931586
YKR038C,4.837895945
YMR199W,4.837942766
YGR257C,4.838052533
YGR278W,4.838599263
YGL263W,4.838868775
YDL179W,4.839108893
YDL170W,4.846571174
YMR193W,4.849070878
YPL074W,4.8502588
YGR063C,4.851555711
YDR507C,4.851781772
YLR359W,4.852496314
YHR124W,4.853539342
YEL046C,4.854602462
YPL094C,4.854946955
YHR091C,4.85559041
YHR182W,4.858022828
YDL043C,4.863365099
YJL176C,4.866121712
YKL022C,4.866390603
YCR044C,4.866432735
YLR058C,4.868560281
YOL113W,4.872388072
YDR429C,4.872632389
YOR067C,4.88137236
YLR077W,4.883025088
YER065C,4.884544263
YJR084W,4.88696054
YPL215W,4.887047835
YBR166C,4.888420057
YER070W,4.889390019
YDR175C,4.890264013
YJR048W,4.893036556
YKL006C-A,4.893357558
YEL053C,4.896822915
YBR146W,4.898862926
YAL056W,4.900809727
YNL206C,4.901268475
YJL063C,4.902044225
YKL001C,4.90280456
YLR387C,4.904183548
YLR375W,4.904968302
YDR309C,4.905745745
YAR003W,4.907564957
YGR283C,4.908185319
YDR484W,4.915986213
YBR264C,4.916126475
YOR355W,4.916631565
YIL047C,4.917711508
YPL178W,4.918594351
YOR115C,4.918844132
YER029C,4.919757227
YBR043C,4.920180494
YGR195W,4.920523148
YKL053C-A,4.92056002
YML030W,4.92138541
YPL013C,4.923935469
YKL029C,4.924378069
YNL284C,4.926437714
YPR008W,4.929051223
YGR042W,4.930795732
YGL112C,4.934663124
YEL007W,4.9348755
YGR202C,4.935657024
YNL207W,4.939603422
YMR100W,4.943572967
YOR262W,4.94395719
YMR289W,4.945866585
YHR172W,4.946847742
YPR095C,4.947178928
YDR059C,4.947942802
YJL124C,4.948563939
YBL089W,4.948914487
YMR039C,4.949277235
YLR081W,4.952617389
YBR179C,4.953642474
YBR005W,4.954414619
YNL292W,4.956047818
YPL193W,4.956173628
YDR323C,4.957609645
YDR162C,4.962711747
YMR052W,4.963888801
YML041C,4.967106234
YDR404C,4.967196247
YKL108W,4.969104839
YPR140W,4.971647356
YPL022W,4.971662536
YOR091W,4.971987187
YDL047W,4.974970703
YDL060W,4.975158765
YDL212W,4.978027042
YPR016C,4.981524806
YBL060W,4.984249528
YLR238W,4.984451466
YNL201C,4.984921891
YMR023C,4.985432653
YNL229C,4.985539763
YJR013W,4.992436013
YGL213C,4.993282311
YLR145W,4.9944354
YNL103W,4.996972638
YML007W,5.001563113
YOR061W,5.005461142
YLR418C,5.005676415
YJL071W,5.008531643
YIL022W,5.010950597
YPL135W,5.012050018
YHR151C,5.014027365
YEL042W,5.015143927
YNL062C,5.016042181
YKL079W,5.01864344
YDR252W,5.021653236
YLL013C,5.02537871
YGR229C,5.028699567
YLR316C,5.033100387
YDL098C,5.0336691
YDL198C,5.033966927
YGR038W,5.03777396
YBL103C,5.039669326
YLR382C,5.04003981
YGL142C,5.040155721
YLR055C,5.040544331
YOR108W,5.041168464
YMR225C,5.046492612
YMR212C,5.051046637
YGL084C,5.052522501
YKR028W,5.053544595
YDL133W,5.054374022
YGR233C,5.055756821
YGR274C,5.057179006
YGL035C,5.057509588
YBR188C,5.060954223
YER146W,5.062134769
YDL080C,5.066755883
YKL058W,5.067638995
YNL317W,5.072048475
YGR262C,5.076085653
YDL037C,5.077127102
YPL183C,5.078842357
YPR138C,5.079281058
YLR002C,5.083135138
YCL005W,5.084843155
YDR270W,5.086713572
YIR009W,5.092202015
YIL003W,5.094774712
YCR071C,5.100342433
YER040W,5.101303463
YJR054W,5.106486623
YKL059C,5.116325288
YGR083C,5.116665778
YDR381W,5.117153252
YLR107W,5.118065603
YKL167C,5.126446201
YPL060W,5.128256808
YPL161C,5.129529724
YGL070C,5.130486429
YOL048C,5.133524969
