Systematic Name,Protein Abundance_D1
YOL158C,677.211521345124
YOR100C,679.202505401659
YPL158C,680.690576887593
YDR259C,681.76242486
YKL176C,684.351142936688
YOR162C,684.378690524799
YER093C,686.227475349604
YPL071C,687.123714885303
YDR369C,687.224400042726
YCR076C,691.967909003924
YPR068C,692.507587352596
YPL022W,692.735375771099
YGL258W,693.507444376387
YMR164C,693.731183358456
YOR067C,695.467936282597
YCL067C,696.980074662246
YGR070W,697.792221325277
YDR132C,699.433960614426
YNR064C,699.548444663312
YDL220C,702.285828426178
YOR256C,703.785602049225
YDL200C,704.386017567229
YML043C,706.516381776384
YLR392C,707.41012833197
YJL181W,708.003732908373
YCR066W,710.125484177008
YKR096W,710.176366814076
YBR294W,710.99908111946
YPL148C,711.604232551482
YMR055C,711.731559196682
YKL038W,712.023206882366
YGR141W,712.136283430728
YHR079C,715.551456248545
YEL041W,717.126102248164
YMR119W,718.452152678408
YCL036W,718.737239417011
YDL216C,718.842300783841
YDL176W,718.909838805002
YDL028C,718.990963976061
YER158C,719.484929463419
YNR069C,719.900641999
YOR047C,720.862323475889
YJL023C,721.0
YOR066W,721.06499613924
YPL194W,722.596007422592
YJR141W,723.069459992955
YJR061W,725.999387412973
YPR085C,727.237326614832
YLR047C,727.629108545842
YOL053W,730.022430045005
YLR281C,731.077476412036
YLR424W,731.843909458555
YDR128W,733.219515621361
YIL049W,733.882660824954
YNL025C,734.512666802352
YOR012W,736.984404614426
YDL149W,737.024304522705
YNL249C,739.80515381233
YDR524C,742.719132193806
YDL142C,743.582915571258
YBR243C,744.005143489136
YMR066W,744.396522891545
YMR201C,748.079623439366
YCR081W,750.55627465421
YBR183W,750.834613628696
YJR156C,752.0
YGR143W,754.785071421659
YPL248C,755.464520001298
YBR021W,755.764881370528
YOR296W,755.816938008438
YER032W,757.786886423506
YHR210C,757.883011381094
YEL064C,758.536255574538
YJL156C,759.59914571388
YPL034W,760.897610520234
YLL061W,762.22968149747
YDL104C,763.206054671123
YDL183C,763.7253789
YKR015C,766.060793379456
YMR299C,766.179199966734
YLR183C,766.27268364176
YOR396W,767.681759823309
YJL157C,769.147426264505
YDR520C,769.243723662851
YPL149W,769.510202018508
YGR042W,770.555644133499
YOL116W,772.565629199096
YOR149C,773.233471983019
YOR334W,774.323769823876
YMR025W,774.7742162809
YBR097W,775.144967230473
YKL219W,775.726996477669
YML088W,776.809100981652
YDR393W,778.615961393429
YGL163C,781.935080549679
YHR131C,783.772807338191
YBL106C,785.548661441909
YOL001W,785.908009817181
YIR018W,786.322874611774
YKL198C,786.460764683613
YOR129C,786.505413455611
YKL132C,787.0
YER147C,787.126915323101
YOL128C,789.177543677623
YKL109W,789.616371547715
YBR210W,790.981946037855
YOR092W,791.92060367633
YDR545W,793.344731627558
YEL004W,795.094752264841
YMR199W,796.471474541187
YPL224C,797.559769775253
YBL060W,798.333899655167
YER144C,798.846278123281
YLR234W,799.164700229756
YPL095C,799.740757507848
YLR247C,800.001841489778
YPL176C,803.173733138701
YMR252C,803.460642588855
YBR141C,803.607909906418
YCR091W,807.349994597496
YNL033W,807.443093733306
YER007W,807.979642875238
YAL020C,809.913484566358
YBL031W,810.620969902261
YLR141W,810.981193445438
YLR151C,811.127282083238
YGR062C,811.410590553059
YDR540C,814.961026051406
YPR193C,817.531021930998
YOR178C,822.207535270033
YHL040C,823.0
YOL047C,823.369307063692
YJL149W,824.694549989926
YOR193W,829.750061581747
YLR451W,829.943918094779
YLR107W,831.414078633416
YDR409W,831.451755301129
YKR086W,832.99838862395
YNR061C,833.207472953481
YHR080C,834.926358630537
YJR124C,835.208657499709
YKL217W,835.818285214689
YPR030W,836.195637983421
YOR295W,838.423939918795
YDR200C,841.068326035504
YBR038W,842.31023858994
YHL008C,843.450988226111
YGR258C,843.565657520349
YLR312C,844.348716875913
YDR506C,847.098656271826
YLR228C,847.372203442011
