Systematic Name,Translational Efficiency_D1
YEL033W,0.00171
YCR024C-B,0.00253
YJR152W,0.00282
YDL037C,0.0033
YNR068C,0.00352
YFL050C,0.00359
YPL056C,0.00404
YER180C,0.00499
YBR008C,0.00529
YDL039C,0.0059
YJL213W,0.006
YGL192W,0.00694
YER039C,0.00723
YNL204C,0.00755
YOL029C,0.00846
YBR298C,0.00919
YOR084W,0.00936
YER186C,0.0099
YBR020W,0.01036
YJR107W,0.01082
YER187W,0.01085
YEL023C,0.01096
YFL051C,0.01116
YLR046C,0.01184
YOR034C-A,0.01186
Q0255,0.01186
YOL104C,0.01222
YLL053C,0.01228
YJL108C,0.01255
YCR095W-A,0.01265
YBR063C,0.01267
YFL041W-A,0.01408
YIR016W,0.01428
YJL106W,0.01483
YGL262W,0.01581
YHR175W-A,0.01695
YHR033W,0.01715
YCR014C,0.01726
YDR438W,0.01835
YFL031W,0.01884
YDL239C,0.01997
YMR085W,0.02045
YPR121W,0.02108
YGR154C,0.02133
YBL044W,0.02372
YJL216C,0.02373
YLR263W,0.02496
YBR196C-A,0.02515
YIL029C,0.0258
YCR100C,0.02598
YIL165C,0.02601
YKR050W,0.02986
YOR180C,0.03419
YMR018W,0.03443
YIR031C,0.03484
YFR026C,0.03845
YOL015W,0.03857
YBL075C,0.03893
YPR054W,0.03993
YKL163W,0.04252
YGL138C,0.04292
YMR303C,0.04377
YLR174W,0.04454
YOR032W-A,0.04744
YNR076W,0.04792
YOR192C,0.04869
YDL231C,0.04896
YNR058W,0.04992
YDR402C,0.05116
YNR069C,0.0512
YJL089W,0.05161
YBR018C,0.05268
YIR021W-A,0.05326
YPL258C,0.05361
YPR117W,0.05476
YKL187C,0.05496
YML002W,0.05503
YLR394W,0.05554
YKL050C,0.05784
YKL161C,0.05794
YNL331C,0.05888
YLL056C,0.05936
YGR289C,0.06026
YGL193C,0.0621
YJR149W,0.06256
YKR104W,0.06438
YNL196C,0.06572
YGR066C,0.06733
YNL097C-B,0.06943
YLL055W,0.07045
YOR298W,0.07164
YPL167C,0.07282
YNR056C,0.0748
YPR007C,0.0761
YKR102W,0.07658
YDR242W,0.07661
YOL014W,0.07939
YMR232W,0.07941
YOR351C,0.08223
YMR306W,0.08272
YDR082W,0.08343
YIL164C,0.08404
YBR270C,0.08444
YDL079C,0.08477
YEL009C,0.08511
YJR153W,0.08724
YNL270C,0.08949
YIR041W,0.08953
YKR103W,0.08968
YKL071W,0.09146
YLR031W,0.09255
YDR263C,0.09305
YNL187W,0.09329
YHL032C,0.09472
YLR164W,0.09487
YML066C,0.09519
YLR343W,0.09699
YNR072W,0.0972
YKL188C,0.09759
YER044C-A,0.09907
YOR161C-C,0.09941
YHL043W,0.09964
YDL218W,0.09974
YLR318W,0.09996
YOR186W,0.10122
YDR256C,0.10142
YOR328W,0.1055
YOR388C,0.10631
YJR154W,0.10756
YMR065W,0.10833
YJR004C,0.11059
YNL014W,0.11093
YKL132C,0.11209
YCL021W-A,0.11444
YKL222C,0.1149
YOR032C,0.11491
YBR293W,0.11504
YGL015C,0.11772
YLR037C,0.11789
YKR015C,0.11858
YML054C,0.11997
YGL158W,0.12009
YOR178C,0.12103
YOL113W,0.12218
YDL109C,0.12319
YOR348C,0.12453
YPL174C,0.12506
YDL214C,0.12525
YDL154W,0.12555
YAL034C,0.12561
YPL200W,0.126
YCR098C,0.12627
YPR194C,0.12935
YLR320W,0.1312
YKL070W,0.13262
YPL034W,0.13362
YOL084W,0.1338
YHR210C,0.13417
YMR084W,0.1354
YDR504C,0.1366
YML042W,0.13703
YIL099W,0.13755
YER065C,0.13765
YCL001W-A,0.13772
YML023C,0.13883
YLR266C,0.14278
YCR020C,0.14506
YHR139C,0.14556
YER041W,0.14614
YOL163W,0.14835
YNL294C,0.15094
YPL269W,0.15212
YLR233C,0.15294
YGR146C-A,0.15353
YFL003C,0.1554
YKR069W,0.15649
YEL067C,0.15714
YOR137C,0.15727
YOL164W,0.15767
YMR056C,0.15773
YPL121C,0.15824
YKR061W,0.15859
YIR029W,0.15977
YDR459C,0.16083
YHR080C,0.16313
YNL146C-A,0.16445
YER184C,0.16485
YLL057C,0.16554
YLR329W,0.16594
YEL072W,0.16667
YMR271C,0.16704
YAR029W,0.17043
YNL318C,0.17236
YLR227C,0.17385
YLL005C,0.17388
YBR040W,0.17445
YGL249W,0.17466
YPR196W,0.17593
YDR124W,0.17633
YFL020C,0.17698
YHL035C,0.17737
YBR163W,0.17743
YPR085C,0.17777
YLR285C-A,0.17854
YPR001W,0.17875
YGL096W,0.17949
YHR048W,0.18015
YBR043C,0.18059
YER115C,0.18092
YOR100C,0.18256
YIR042C,0.18293
YFL030W,0.18413
YBL088C,0.18451
YFL055W,0.18468
YOR306C,0.18485
YDR160W,0.18607
YJL093C,0.18641
YNR070W,0.18836
YMR096W,0.18842
YOR387C,0.189
YOR313C,0.1902
YOL024W,0.19025
YBR276C,0.19088
YDR387C,0.19218
YGL136C,0.19219
YGL251C,0.19259
YML051W,0.19482
YLL003W,0.19573
YBR117C,0.19588
YBR182C,0.19594
YOL091W,0.19624
YAL018C,0.19627
YPL148C,0.19638
YOR381W,0.19713
YPL130W,0.19742
YPL280W,0.19845
YKL026C,0.19954
Q0130,0.19986
YKR005C,0.20056
YIL160C,0.20089
YIR032C,0.20126
YDL048C,0.20259
YDR332W,0.20293
YGL176C,0.20367
YJL209W,0.20412
YCR089W,0.20492
YOR107W,0.20498
YPL171C,0.20505
YGL183C,0.2072
YLL060C,0.20773
YOR237W,0.20835
YDL204W,0.2094
YIR019C,0.20982
YDR004W,0.21014
YEL030W,0.21017
YOR120W,0.21035
YAL062W,0.21035
YOL105C,0.21068
YKR054C,0.21073
YIL120W,0.21101
YJR036C,0.21235
YMR207C,0.21294
YGL090W,0.2154
YCR021C,0.21589
YKL220C,0.21709
YGL256W,0.21729
YNL117W,0.21789
YGR168C,0.21826
YGL063W,0.21949
YLR087C,0.21971
YOR080W,0.2198
YBR076W,0.21982
YAL037W,0.22102
YLR368W,0.22118
YGR059W,0.22175
YMR175W-A,0.22177
YKR058W,0.22179
YJL105W,0.22243
YOL043C,0.22281
YKL086W,0.22345
YPL201C,0.2246
YER185W,0.22542
YPL075W,0.2257
YLR125W,0.22589
YFL040W,0.22848
YOL112W,0.22876
YBR203W,0.22876
YNL094W,0.2298
YOR242C,0.23134
YBR033W,0.23212
YDL222C,0.2322
YBL052C,0.23307
YJR150C,0.23307
YAL054C,0.23334
YCR106W,0.23339
YOR059C,0.23423
YKL133C,0.23487
YNR059W,0.23555
YJL043W,0.23568
YDL247W,0.23578
YBR250W,0.23615
YPL272C,0.23791
YOR205C,0.23818
YIL037C,0.23852
YER085C,0.23856
YML047C,0.23898
YDL176W,0.23921
YAL067C,0.23988
YPL088W,0.24029
YEL025C,0.24033
YGL134W,0.24238
YJL025W,0.24299
YBR301W,0.243
YCR104W,0.243
YPL186C,0.24421
YDR265W,0.24466
YGR087C,0.24485
YOL068C,0.24561
YDR249C,0.24579
YPL268W,0.24649
YML104C,0.24653
YBL014C,0.24754
YGR070W,0.24792
YML068W,0.2483
YKR053C,0.24906
YJL153C,0.25016
YKR097W,0.25024
YKR098C,0.25038
YLR224W,0.2504
YGR236C,0.25042
YBR180W,0.25196
YDR314C,0.2538
YPR005C,0.25417
YMR257C,0.25563
YEL016C,0.25575
YPR030W,0.25633
YGR248W,0.25669
YPL149W,0.25891
YOL154W,0.25936
YLR341W,0.2596
YOR193W,0.25991
YCR073C,0.26077
YLR012C,0.26137
YOR214C,0.26169
YLR267W,0.26181
YLR014C,0.26294
YFR022W,0.26342
YGR062C,0.26418
YLR377C,0.26592
YPR160W,0.26667
YPR193C,0.26772
YCL026C-A,0.26946
YLR130C,0.26984
YFR012W,0.27048
YER106W,0.27149
YER024W,0.27231
YJR095W,0.27277
YOR172W,0.27447
YHR204W,0.27451
YER054C,0.27502
YKL176C,0.2795
YPL147W,0.27955
YLR213C,0.28034
YGL113W,0.28126
YJL027C,0.28465
YLR177W,0.2848
YGL257C,0.28524
YLR152C,0.2854
YBR168W,0.28546
YBR128C,0.28586
YAR023C,0.28607
YGR213C,0.28626
YMR090W,0.28765
YNL142W,0.28888
YGL263W,0.28907
YBR019C,0.28961
YOR190W,0.29069
YLR246W,0.29077
YMR126C,0.29186
YER051W,0.29215
YER153C,0.29216
YEL057C,0.29256
YHR014W,0.29312
YDR223W,0.29364
YMR176W,0.29365
YPL164C,0.2939
YDR350C,0.29501
YPR200C,0.29576
YIL072W,0.2959
YHR194W,0.29692
YFL054C,0.29745
YJR005C-A,0.29775
YER173W,0.29801
YPL187W,0.29829
YOR339C,0.2989
YLR242C,0.2994
YMR118C,0.30243
YOR365C,0.30291
YBR284W,0.3032
YDL197C,0.3034
YGL243W,0.30374
YGL131C,0.30383
YKR051W,0.3057
YDL073W,0.30636
YDR275W,0.30755
YNL230C,0.30777
YDR370C,0.30862
YML099C,0.30922
YPL282C,0.30927
YBR259W,0.3094
YPL189W,0.30947
YLR067C,0.30964
YNL063W,0.31045
YHR150W,0.31109
YDR132C,0.3112
YGR131W,0.31142
YLR454W,0.31151
YDL024C,0.31151
YOR305W,0.31171
YMR180C,0.3118
YHL044W,0.31181
YOR338W,0.31204
YGL170C,0.31214
YBR295W,0.31241
YGL146C,0.31249
YDR541C,0.31269
YDR403W,0.31281
YDL080C,0.31333
YMR064W,0.31442
YNL279W,0.31454
YJR147W,0.31736
