Translation Efficiency Low,Translation Efficiency High,Translation Efficiency Mid
YFL003C,YCR051W,YLR106C
YKR069W,YCR069W,YDR329C
YEL067C,YDR091C,YMR113W
YOR137C,YLR332W,YDR538W
YOL164W,YER121W,YGL107C
YMR056C,YLR347C,YPR027C
YPL121C,YDL232W,YJR049C
YKR061W,YDR404C,YNL058C
YIR029W,YKR056W,YNR029C
YDR459C,YPR086W,YKL010C
YHR080C,YER004W,YHR041C
YNL146C-A,YOR234C,YLR345W
YER184C,YHR136C,YPL157W
YLL057C,YLR133W,YDR316W
YLR329W,YBR261C,YOL016C
YEL072W,YKL114C,YMR191W
YMR271C,YOR069W,YCL024W
YAR029W,YNL123W,YDR530C
YNL318C,YDR492W,YOR273C
YLR227C,YGL082W,YDL108W
YLL005C,YDL191W,YNL077W
YBR040W,YBR026C,YKR030W
YGL249W,YKR024C,YDL240W
YPR196W,YDL083C,YMR206W
YDR124W,YHR213W-B,YNL326C
YFL020C,YCR108C,YIL011W
YHL035C,YIL124W,YDR005C
YBR163W,YOL032W,YOL010W
YPR085C,YPL249C,YER053C
YLR285C-A,YGR118W,YKL219W
YPR001W,YJR093C,YDR333C
YGL096W,YPR046W,YGL017W
YHR048W,YDR346C,YDR236C
YBR043C,YKR084C,YMR212C
YER115C,YGR218W,YIL002W-A
YOR100C,YGL078C,YBR272C
YIR042C,YDR307W,YPL181W
YFL030W,YDL054C,YGR177C
YBL088C,YGL066W,YOR211C
YFL055W,YDL084W,YBL008W
YOR306C,YLR248W,YAL014C
YDR160W,YPL063W,YGR007W
YJL093C,YJL218W,YMR285C
YNR070W,YER146W,YKR072C
YMR096W,YDR469W,YPL116W
YOR387C,YDR382W,YGR197C
YOR313C,YDR394W,YNL139C
YOL024W,YBR092C,YML062C
YBR276C,YKL013C,YMR041C
YDR387C,YDR373W,YGL162W
YGL136C,YBR214W,YMR220W
YGL251C,YIL018W,YGR283C
YML051W,YHR068W,YPR106W
YLL003W,YDL003W,YGR113W
YBR117C,YDR447C,YOL054W
YBR182C,YOR167C,YPR006C
YOL091W,YMR128W,YDR105C
YAL018C,YKL154W,YGL236C
YPL148C,YIL109C,YDL199C
YOR381W,YLR034C,YDL042C
YPL130W,YCR020C-A,YDR379W
YPL280W,YOR163W,YGL133W
YKL026C,YDL078C,YNL238W
Q0130,YDR258C,YMR310C
YKR005C,YBR273C,YPL071C
YIL160C,YDR482C,YIR015W
YIR032C,YMR117C,YOR373W
YDL048C,YGL220W,Q0275
YDR332W,YGL120C,YGR033C
YGL176C,YML079W,YLL043W
YJL209W,YHR162W,YLR241W
YCR089W,YPL012W,YIL156W
YOR107W,YLR350W,YLR423C
YPL171C,YDL015C,YMR133W
YGL183C,YGL011C,YDL006W
YLL060C,YBL035C,YLR119W
YOR237W,YOL059W,YHR011W
YDL204W,YBR029C,YHR084W
YIR019C,YOR007C,YOL053W
YDR004W,YJR117W,YDL215C
YEL030W,YEL054C,YNL256W
YOR120W,YOR111W,YJL048C
YAL062W,YGR173W,YFL034W
YOL105C,YGL032C,YMR216C
YKR054C,YDL121C,YJL181W
YIL120W,YOR123C,YML064C
YJR036C,YOL057W,YJR040W
YMR207C,YMR222C,YGR091W
YGL090W,YCL044C,YBR125C
YCR021C,YJR053W,YNL258C
YKL220C,YKL082C,YGL128C
YGL256W,YGR185C,YPL156C
YNL117W,YNL287W,YPL245W
YGR168C,YEL019C,YPL141C
YGL063W,YBL032W,YBR003W
YLR087C,YNL027W,YKR100C
YOR080W,YGR172C,YKL079W
YBR076W,YNR017W,YGL073W
YAL037W,YGL194C-A,YLR291C
YLR368W,YLR397C,YLR071C
YGR059W,YER178W,YDL189W
YMR175W-A,YPR103W,YPL002C
YKR058W,YDL202W,YDR464W
YJL105W,YJL184W,YPL068C
YOL043C,YDR388W,YGR122W
YKL086W,YIL065C,YBR201W
YPL201C,YOL141W,YML061C
YER185W,YNL104C,YOL045W
YPL075W,YNR038W,YCR105W
YLR125W,YJL174W,YPL081W
YFL040W,YGL012W,YDR176W
YOL112W,YDR368W,YEL022W
YBR203W,YLR022C,YDL155W
YNL094W,YNL045W,YOR001W
YOR242C,YHR158C,YGL164C
YBR033W,YMR110C,YLR191W
YDL222C,YOR254C,YIR025W
YBL052C,YGR232W,YCR068W
YJR150C,YLR029C,YGR149W
YAL054C,YGL203C,YGL112C
YCR106W,YLR364W,YOR196C
YOR059C,YDR463W,YPL209C
YKL133C,YLR083C,YDR130C
YNR059W,YOR016C,YMR005W
YJL043W,YER079W,YIL097W
YDL247W,YDR516C,YLL015W
YBR250W,YIL069C,YLL004W
YPL272C,YIR012W,YBR195C
YOR205C,YLR104W,YBR148W
YIL037C,YLL011W,YJL201W
YER085C,YMR314W,YDR517W
YML047C,YFL023W,YNL065W
YDL176W,YNL069C,YPR179C
YAL067C,YFR055W,YPL172C
YPL088W,YDR121W,YOR081C
YEL025C,YDR169C,YFR018C
YGL134W,YDL168W,YDR490C
YJL025W,YGL028C,YJL131C
YBR301W,YPL218W,YNL040W
YCR104W,YJL003W,YPR162C
YPL186C,YFL013C,YLR151C
YDR265W,YMR043W,YOR311C
YGR087C,YOR185C,YCL038C
YOL068C,YPR088C,YNR041C
YDR249C,YLR321C,YGL075C
YPL268W,YOR063W,YGL023C
YML104C,YNR006W,YGL142C
YBL014C,YGR109C,YDR135C
YGR070W,YEL017C-A,YMR165C
YML068W,YPL085W,YPL120W
YKR053C,YBL058W,YBR200W
YJL153C,YDR238C,YJR129C
YKR097W,YJL008C,YNL180C
YKR098C,YGR029W,YNL048W
YLR224W,YHR061C,YGR165W
YGR236C,YPL126W,YIL049W
YBR180W,YDL099W,YPL161C
YDR314C,YJR145C,YEL011W
YPR005C,YER177W,YLR265C
YMR257C,YGR124W,YBR172C
YEL016C,YBL091C-A,YER116C
YPR030W,YJL121C,YER141W
YGR248W,YBL081W,YFL052W
YPL149W,YKL141W,YHR202W
YOL154W,YHR147C,YLR237W
YLR341W,YKL150W,YGL093W
YOR193W,YBR143C,YDL233W
YCR073C,YGL188C-A,YDR422C
YLR012C,YGR030C,YHR156C
YOR214C,YJL151C,YPL115C
YLR267W,YFL018C,YDL028C
YLR014C,YJL020C,YGR004W
YFR022W,YGL148W,YKR076W
YGR062C,YOR125C,YPL092W
YLR377C,YLL041C,YER119C
YPR160W,YFR041C,YOL101C
YPR193C,YDR358W,YCL011C
YCL026C-A,YDL081C,YDR140W
YLR130C,YOL056W,YPL006W
YFR012W,YPL093W,YKL089W
YER106W,YLR298C,YER069W
YER024W,YLR287C-A,YER008C
YJR095W,YHR060W,YGL067W
YOR172W,YDR515W,YJR042W
YHR204W,YBR221C,YER061C
YER054C,YKL042W,YOR322C
YKL176C,YOR236W,YCR028C
YPL147W,YDL226C,YPR144C
YLR213C,YBL021C,YER162C
YGL113W,YPR108W,YKL206C
YJL027C,YNL292W,YOR274W
YLR177W,YDR084C,YPR186C
YGL257C,YGL101W,YMR087W
YLR152C,YKR011C,YOR143C
YBR168W,YLR380W,YHR085W
YBR128C,YNL071W,YER142C
YAR023C,YML027W,YMR289W
YGR213C,YGR158C,YGR012W
YMR090W,YDL075W,YCL051W
YNL142W,YER134C,YDR017C
YGL263W,YMR083W,YMR093W
YBR019C,YIL038C,YNL124W
YOR190W,YNL162W,YDL019C
YLR246W,YNR061C,YHR028C
YMR126C,YLR447C,YHR184W
YER051W,YER156C,YIR011C
YER153C,YPL135W,YLR178C
YEL057C,YIL125W,YBR236C
YHR014W,YLR066W,YDR003W
YDR223W,YLR026C,YMR201C
YMR176W,YPR188C,YER018C
YPL164C,YLL001W,YHR056C
YDR350C,YJL010C,YNR014W
YPR200C,YLR197W,YOR115C
YIL072W,YFL044C,YOR057W
YHR194W,YNL215W,YNR073C
YFL054C,YMR230W,YJL049W
YJR005C-A,YDL058W,YOL152W
YER173W,YMR227C,YHR188C
YPL187W,YDR337W,YCR024C
YOR339C,YDR063W,YOL049W
YLR242C,YOR061W,YLR166C
YMR118C,YDR101C,YDR514C
YOR365C,YOL007C,YDR069C
YBR284W,YNR021W,YOL042W
YDL197C,YJR015W,YDR335W
YGL243W,YGL025C,YML071C
YGL131C,YCR084C,YGR153W
YKR051W,YBL015W,YBL074C
YDL073W,YEL012W,YDR277C
YDR275W,YDR511W,YOR315W
YNL230C,YCR009C,YOL122C
YDR370C,YBR222C,YDL074C
YML099C,YJL217W,YKL059C
YPL282C,YLR390W,YPL191C
YBR259W,YML008C,YOR108W
YPL189W,YGR145W,YML117W
YLR067C,YDR320C-A,YJL069C
YNL063W,YDL173W,YMR156C
YHR150W,YDL165W,YLL039C
YDR132C,YPL123C,YDR531W
YGR131W,YDR415C,YIL042C
YDL024C,YPL250C,YDR539W
YLR454W,YDR056C,YEL050C
YOR305W,YNL216W,YPL227C
YMR180C,YNL061W,YBR129C
YHL044W,YBL029C-A,YDL119C
YOR338W,YPL266W,YBR288C
YGL170C,YOL041C,YPL193W
YBR295W,YIL142W,YNL201C
YGL146C,YPR133C,YDR070C
YDR541C,YML106W,YML006C
YDR403W,YHR127W,YDL216C
YDL080C,YGR227W,YBR193C
YMR064W,YDR100W,YDR011W
YNL279W,YLR194C,YJR012C
YJR147W,YPR170W-B,YOR090C
YHL026C,YBR079C,YOR268C
YLR313C,YHR013C,YDR293C
YFL053W,YDR189W,YLR287C
YMR251W,YHR108W,YDR081C
YBL095W,YPR132W,YMR105C
YMR095C,YML077W,YNL250W
YMR023C,YNR018W,YKL110C
YOL081W,YFR003C,YIL149C
YDR542W,YML030W,YHR101C
YPR115W,YIL005W,YNL227C
YFR023W,YKL062W,YOL137W
YOR208W,YOR261C,YMR101C
YHR035W,YKR065C,YLR396C
