Translation Efficiency Low,Translation Efficiency High,Translation Efficiency Mid
YIL129C,YBL076C,YOR054C
YOR296W,YDR289C,YPR137W
YMR017W,YNL208W,YDR208W
YPL104W,YOR369C,YOR119C
YOL062C,YBL026W,YDL008W
YLR426W,YBR245C,YLR210W
YOL055C,YPL059W,YLR005W
YCR079W,YFR050C,YIL154C
YLR053C,YAL008W,YGR023W
YOR129C,YIL093C,YML041C
YNL165W,YMR012W,YDR485C
YOR330C,YGL008C,YGR031W
YPL040C,YPR065W,YHR066W
YLR030W,YIL033C,YDR089W
YPL024W,YMR217W,YMR107W
YJL210W,YHR191C,YMR160W
YJL071W,YMR008C,YKL091C
YER129W,YNL251C,YDR173C
YOR166C,YDR518W,YOR386W
YMR319C,YKL003C,YIL126W
YDR137W,YHR021W-A,YDL020C
YLR460C,YPR033C,YDL139C
YPL007C,YDL171C,YDR460W
YDR273W,YLR459W,YGR072W
YDR359C,YDR168W,YOR086C
YNL092W,YIL041W,YKL018W
YNL083W,YDR252W,YBR132C
YJL127C-B,YNL247W,YDR347W
YOL083W,YGR123C,YIR030C
YKR091W,YKL127W,YLR094C
YDR198C,YNL146W,YOR138C
YIL134W,YPL010W,YHR137W
YGL255W,YBR249C,YIL110W
YPL270W,YGR152C,YMR004W
YBR045C,YJR032W,YLR080W
YAL020C,YKL212W,YDR057W
YMR066W,YOL159C-A,YGR262C
YML096W,YLR208W,YLR011W
YFL012W,YER007C-A,YNL316C
YNR060W,YBR120C,YLR086W
YDR026C,YKL211C,YJR098C
YJR006W,YKL035W,YNL237W
YLL042C,YOR117W,YKL100C
YFR031C,YHR152W,YKL020C
YGR053C,YGR191W,YJR017C
YBR294W,YGR251W,YPR175W
YIL152W,YMR286W,YPR045C
YMR293C,YOR096W,YPL113C
YLR288C,YDL010W,YDR357C
YJL005W,YOR184W,YJR001W
YMR185W,YER062C,YGR006W
YGL114W,YPL131W,YPL155C
YJL147C,YKR059W,YLR099W-A
YIL147C,YNL189W,YBR192W
YGR224W,YDR035W,YDR001C
YOR255W,YFR010W,YFR029W
YJL187C,YBL092W,YDR194C
YDR334W,YJR016C,YFR014C
YMR172W,YPL190C,YKR067W
YOR183W,YMR260C,YDR483W
YGL211W,YJL190C,YCR042C
YGR067C,YJL014W,YDL179W
YOL033W,YOR145C,YLL063C
YOL011W,YGR054W,YOR109W
YBR208C,YBR121C,YGR010W
YPL244C,YBR149W,YJL180C
YHR199C-A,YLL009C,YKR055W
YGR096W,YHR107C,YMR102C
YLR004C,YCL054W,YIL026C
YKL093W,YKL060C,YLR442C
YOR093C,YBR230W-A,YLR015W
YOL048C,YFL045C,YGR271W
YMR316W,YKL088W,YLR455W
YDL211C,YOR095C,YDR164C
YPL072W,YGR129W,YDL093W
YDL210W,YBL093C,YML007W
YPR184W,YJL148W,YLR203C
YIL159W,YJL170C,YBR161W
YOR227W,YGL137W,YOL004W
YJL100W,YLR250W,YPR148C
YAR003W,YKL049C,YOL114C
YOR017W,YKL085W,YNL072W
YPR164W,YBR101C,YDR472W
YKR086W,YER087C-B,YOR336W
YDR030C,YCR086W,YLR128W
YDR315C,YKL184W,YCR044C
YNL042W,YBR035C,YDR430C
YMR154C,YFL041W,YBR253W
YBL029W,YCL030C,YDR213W
YNL188W,YDR097C,YBR068C
YBL005W,YBR269C,YPR055W
YOR266W,YBR080C,YFR045W
YPL033C,YDR212W,YOR245C
YOR389W,YHR128W,YDL070W
YFR046C,YGL044C,YFR042W
YDR078C,YBL050W,YML103C
YOL110W,YML093W,YPR120C
YKR009C,YOR287C,YNR033W
YPL029W,YEL002C,YAL043C
YGR121C,YOR361C,YDR392W
YDR363W,YOL077W-A,YGR102C
YDR291W,YNL084C,YMR139W
YBR246W,YLR337C,YBR187W
YJL185C,YGR211W,YLR410W
YER096W,YPL234C,YKL130C
YCR019W,YDL125C,YDR264C
YIL067C,YKL196C,YPL023C
YIL055C,YCR020W-B,YBR074W
YIR002C,YHR019C,YMR129W
YER113C,YHR190W,YIL161W
YDL133W,YPL173W,YIL061C
YOR177C,YJR125C,YAR008W
YML046W,YDR086C,YOR106W
YLR189C,YNL096C,YBL056W
YPR138C,YLR175W,YMR231W
YHL047C,YJL034W,YPL207W
YKR101W,YDR044W,YCR094W
YKL048C,YMR038C,YGL115W
YBR050C,YLR301W,YBR066C
YJL056C,YJR108W,YLR212C
YMR262W,YER136W,YCR035C
YPR021C,YNL310C,YPL053C
YPR070W,YJR097W,YER093C-A
YDR085C,YIL098C,YGL021W
YBL019W,YGR082W,YMR275C
YNL019C,YLR229C,YOR140W
YJL160C,YGR285C,YMR086W
YDR126W,YGR009C,YEL048C
YOL125W,YGR193C,YBR085W
YOR149C,YBL041W,YMR028W
YNL333W,YOR164C,YBR141C
YOR275C,YPR073C,YNR051C
YLR360W,YGL035C,YNR063W
YJR089W,YDL046W,YJL099W
YDR288W,YLR027C,YGR237C
YHL028W,YGR079W,YJR078W
YHR079C,YNL321W,YBR130C
YER152C,YML053C,YDR014W-A
YBR133C,YOR136W,YKL205W
YLR010C,YBR162C,YPL096W
YMR279C,YER072W,YOR385W
YDL183C,YER006W,YLR446W
YOR191W,YGL222C,YDR225W
YNR064C,YLR448W,YBR073W
YDL238C,YGR085C,YLR102C
YDR018C,YOR323C,YER075C
YNL275W,YHR021C,YDR292C
YDR142C,YML022W,YOR250C
YAL029C,YDR309C,YGR277C
YOR350C,YHR079C-A,YIL145C
YNL009W,YGL187C,YDR303C
YJR062C,YDR272W,YIL056W
YER028C,YLR437C,YDL021W
YDR073W,YDR429C,YKL094W
YLR108C,YHR049W,YHR160C
YGL045W,YBR268W,YGR278W
YBR255W,YNL307C,YHL003C
YGR222W,YKR077W,YBL017C
YML118W,YKL214C,YOL142W
YKR099W,YPR041W,YER118C
YLR436C,YNL259C,YOR083W
YPL236C,YLR286C,YLR324W
YLR020C,YPR143W,YOR355W
YMR097C,YCL035C,YDR019C
YJL095W,YDR341C,YIL143C
YHR168W,YLR449W,YBR185C
YDR319C,YBR118W,YER164W
YPL137C,YOL080C,YJL098W
YGL197W,YDR424C,YHR005C
YLL035W,YJR139C,YGL100W
YIL073C,YBR135W,YBL085W
YPR093C,YKL016C,YNL138W-A
YLR137W,YMR197C,YPR118W
YKR027W,YJL087C,YDR228C
YKL149C,YER042W,YLR336C
YER046W,YBR137W,YDR448W
YHL008C,YNR047W,YBR285W
YBR044C,YPR163C,YOR018W
YPR127W,YGR136W,YKL051W
YPL083C,YPL249C-A,YDR080W
YIL090W,YGL245W,YJL165C
YLR297W,YOL070C,YER176W
YGR258C,YAL003W,YML037C
YLR383W,YIL150C,YDR028C
YGR108W,YGL225W,YGR044C
YPL064C,YGR008C,YGR246C
YPR108W-A,YDR033W,YNL031C
YLR417W,YFL022C,YLL032C
YOL075C,YLR429W,YAL048C
YJL101C,YDR524C-B,YDR484W
YMR198W,YGR020C,YER047C
YPL005W,YOR232W,YGL135W
YIL132C,YMR146C,YHL009C
YPR201W,YMR226C,YER104W
YJR110W,YFR004W,YDR022C
YGR042W,YNL151C,YMR059W
YML091C,YCR004C,YOR036W
YHR119W,YNL175C,YLR018C
YLR382C,YLR413W,YMR024W
YGL121C,YPR080W,YJL036W
YPR071W,YPL228W,YBL068W
YML032C,YJL096W,YLR319C
YGR077C,YKL142W,YIL039W
YCR075C,YKL143W,YNL278W
YMR013C,YDR247W,YFL026W
YNR066C,YEL047C,YPR147C
YER015W,YGR080W,YJL031C
YPR084W,YGL031C,YOR212W
YPL133C,YDR468C,YGL238W
YNL023C,YLR042C,YML003W
YOR292C,YOR215C,YKR018C
YLR308W,YOR375C,YGR097W
YJR138W,YDL161W,YOR295W
YLR105C,YIL027C,YGL016W
YKL168C,YCL001W,YGR263C
YAL024C,YGR005C,YPL079W
YDL069C,YKR042W,YML031W
YHR209W,YGR078C,YEL056W
YJL028W,YIL135C,YBR094W
YJL206C,YAL021C,YGL092W
YDR323C,YOL030W,YDL167C
YGL003C,YPL013C,YDR497C
YLR305C,YHR051W,YOL086W-A
YDL027C,YLR295C,YMR148W
YLR430W,YPR145W,YNR039C
YCR008W,YJR121W,YDL205C
YPL103C,YGR162W,YNL253W
YJL092W,YBR162W-A,YDR096W
YDR362C,YAR007C,YCR052W
YPR105C,YFR036W,YBR290W
YHR164C,YMR215W,YDL132W
YGL248W,YLL050C,YNL199C
YML087C,YKL081W,YJL183W
YLR371W,YFL037W,YKR049C
YAL015C,YDL245C,YOR070C
YLR425W,YOR074C,YHR102W
YMR036C,YER133W,YDR287W
YLR016C,YDR298C,YKR039W
YHR077C,YER063W,YMR081C
YAL002W,YDL227C,YAL032C
YKL198C,YBR188C,YDR219C
YHL040C,YBL090W,YLL036C
YML088W,YDL007W,YML065W
YER144C,YBR014C,YKL057C
YPL122C,YDR418W,YJL164C
YOR228C,YER048C,YMR210W
YMR252C,YDL065C,YGL219C
YER033C,YOR283W,YKL022C
YDL013W,YBL028C,YER013W
YHR075C,YOL147C,YPR190C
YPL017C,YMR039C,YLR450W
YLR445W,YML081C-A,YOL018C
YOR173W,YJR088C,YKL135C
YNL046W,YOL121C,YDL043C
YDR479C,YOR157C,YHR161C
YPR095C,YKL144C,YJL204C
YER060W,YDL201W,YGR199W
YBR147W,YPR187W,YLR362W
YPL242C,YEL027W,YLL029W
YDR443C,YOR226C,YBL004W
YGL126W,YER044C,YJL198W
YAL017W,YDR328C,YLR126C
YNL234W,YLL008W,YMR264W
YMR280C,YJR034W,YBR111W-A
YLR258W,YBR039W,YDL159W-A
YEL020C,YHR121W,YHR213W-A
YDR131C,YOR020C,YJR050W
YER007W,YJR123W,YNR028W
YBR114W,YHR179W,YMR221C
YHR099W,YGL202W,YNL320W
YBR110W,YNL074C,YLR225C
YOL034W,YLL021W,YLR146C
YLR091W,YFR052W,YMR054W
YAR018C,YJL074C,YPR019W
YMR283C,YMR276W,YPL047W
YER140W,YGL043W,YBR169C
YDR439W,YDR454C,YER014W
YHL019C,YGR156W,YMR052W
YDR349C,YER048W-A,YNL252C
YLR142W,YNL222W,YDR487C
YNR031C,YBR025C,YDR312W
YKR017C,YBR072W,YKL078W
YMR068W,YDL045W-A,YNL280C
YGL117W,YNL108C,YBR278W
YEL064C,YML092C,YGL174W
YDR285W,YDL004W,YHR069C
YJL051W,YER052C,YER089C
YCL052C,YNL248C,YJR101W
YER130C,YHR020W,YIR024C
YMR284W,YJR014W,YOR087W
YDL036C,YEL007W,YHR032W
YER147C,YDR127W,YGR075C
YDR423C,YDR353W,YLL027W
YJL207C,YBL013W,YPL166W
YDR159W,YIL138C,YHR087W
YNL299W,YER030W,YLR163C
YGR252W,YJL122W,YMR080C
YBR291C,YJL173C,YML067C
YGR099W,YDL148C,YNR040W
YMR040W,YOR344C,YOR229W
YNL126W,YDR156W,YKL014C
YGR288W,YNL086W,YBR234C
YKR063C,YGL212W,YPL041C
YIL153W,YHL031C,YIL130W
YPR140W,YIR006C,YCL029C
YHR067W,YCR075W-A,YLR363C
YBR060C,YDL130W-A,YPR171W
YJR100C,YGR215W,YOR284W
YHR142W,YER056C-A,YHR047C
YOL138C,YLR221C,YGR220C
YBR183W,YER019C-A,YMR145C
YDR407C,YMR071C,YLR021W
YGR134W,YKR001C,YJR132W
YDR475C,YLR216C,YCR072C
YDL033C,YDR025W,YGR271C-A
YJR005W,YML108W,YER019W
YNL332W,YLR378C,YNL264C
YLR226W,YBR171W,YBL091C
YIL023C,YJL026W,YDR428C
YDR147W,YKR093W,YGR280C
YMR119W,YCR047C,YLL007C
YLR451W,YCL018W,YLR407W
YLL002W,YDR178W,YOL060C
YOR147W,YAL059W,YGR241C
YFR019W,YBL024W,YBR077C
YBR153W,YIL010W,YDR248C
YPL045W,YPL231W,YMR132C
YNL314W,YDR023W,YGL005C
YMR209C,YDR129C,YNL200C
YBR140C,YHR046C,YKL215C
YOR346W,YOR194C,YPR037C
YLR006C,YGL068W,YER150W
YOR290C,YGL191W,YDR231C
YKR078W,YLR009W,YJL002C
YDR306C,YMR263W,YBL006C
YER093C,YMR158W,YOR012W
YNL038W,YLR196W,YBR262C
YBR175W,YMR305C,YJR051W
YMR177W,YFL039C,YLR403W
YLR107W,YKL193C,YNR007C
YKR088C,YOR004W,YDR106W
YMR029C,YPL098C,YIL128W
YGR217W,YGL020C,YLR386W
YEL052W,YJR104C,YIL035C
YNL119W,YHR132C,YPL210C
YKR038C,YKL152C,YGR147C
YHL014C,YKL120W,YNL284C
YDR446W,YNL260C,YBL103C
YAL058W,YOL040C,YGL198W
YPL194W,YGR243W,YMR060C
YFR053C,YIL118W,YMR135C
YHR002W,YDL106C,YOR359W
YNL003C,YDR276C,YMR281W
YOR299W,YGR187C,YFR043C
YHL036W,YER050C,YIL106W
YBR184W,YLR060W,YPL125W
YPR178W,YDR002W,YMR273C
YDR457W,YDL022W,YNL041C
YNL223W,YHR143W,YJR010W
YFL024C,YOR310C,YBR152W
YJL133W,YML105C,YMR261C
YNL101W,YBR252W,YGR111W
YGL059W,YDL153C,YBL086C
YDL117W,YGL087C,YDL209C
YPL221W,YPL128C,YGR021W
YDL207W,YLR432W,YKL189W
YAL011W,YMR011W,YBR142W
YHL025W,YJL024C,YBR123C
YJR035W,YDR167W,YDR354W
YPL069C,YMR112C,YLR055C
YPR134W,YPR145C-A,YOR132W
YLR117C,YHR138C,YJR082C
YIL009W,YPR154W,YGR140W
YML114C,YDR158W,YJR103W
YDR371W,YDR462W,YJL196C
YOL073C,YPL267W,YBR056W
YHL023C,YPL061W,YOL096C
YBR131W,YDL166C,YER087W
YER077C,YLR074C,YHR034C
YMR234W,YDL055C,YGR212W
YGR169C,YLR150W,YPL049C
YPR167C,YHR059W,YDR400W
YGL006W,YGR094W,YHR205W
YGR127W,YKL067W,YGR133W
YHL006C,YIR022W,YPR034W
YCL048W,YBR189W,YGR146C
YDR283C,YNL160W,YKL024C
YOR378W,YKR074W,YHR039C
YDR014W,YJR105W,YJL134W
YNR055C,YGR167W,YDR151C
YNL127W,YIL019W,YDR205W
YJR046W,YJR118C,YNL157W
YGR028W,YOL051W,YGR121W-A
YKR089C,YML086C,YER058W
YJL118W,YNL112W,YJR143C
YBL054W,YJL052W,YMR199W
YLR168C,YEL071W,YDL087C
YNL221C,YNL135C,YDR380W
YDR376W,YNR054C,YJL042W
YKR010C,YFL005W,YCL031C
YKL121W,YLR075W,YKL018C-A
YNR004W,YCR087C-A,YBR102C
YJL058C,YDR162C,YLR330W
YOR174W,YHR038W,YPL110C
YFR039C,YNR024W,YER099C
YHR045W,YPL225W,YMR238W
YHR017W,YER112W,YBR150C
YHR178W,YIL052C,YFL028C
YGR003W,YGR214W,YKR016W
YIR023W,YER003C,YFR028C
YJR090C,YDL103C,YLR414C
YFR017C,YHR183W,YDR196C
YJR136C,YJR048W,YBR037C
YJR003C,YGL103W,YOR040W
YNL271C,YLR061W,YML112W
YOL095C,YLR363W-A,YDR036C
YPL150W,YPL091W,YBR197C
YHR103W,YMR161W,YAL022C
YNR075W,YOR210W,YLR328W
YLR103C,YCR003W,YML063W
YBR240C,YAL036C,YJL205C
YGL175C,YOR220W,YPR113W
YDR317W,YBR164C,YJR019C
YDR034C,YGR035C,YJL163C
YJL139C,YLR051C,YMR058W
YOL069W,YER090W,YKL207W
YEL053C,YER025W,YGR250C
YNL144C,YIL127C,YBL033C
YBL031W,YBR071W,YBR243C
YLR405W,YKL204W,YGR090W
YNR032W,YJL078C,YKL128C
YOR342C,YER120W,YIL144W
YKL162C,YJL167W,YER149C
YIL122W,YJR070C,YLR129W
YDR216W,YMR309C,YPR018W
YLR057W,YJR077C,YBR279W
YIL006W,YGL055W,YDR390C
YLR092W,YBR212W,YHL002W
YAL009W,YDR486C,YGL022W
YMR100W,YGL105W,YBL010C
YNL254C,YER031C,YDR261C
YMR088C,YGL049C,YPR153W
YKR052C,YPR010C-A,YDR210W
YGR166W,YOL005C,YER158C
YGL140C,YOR340C,YIL043C
YNR027W,YDR377W,YMR077C
YMR313C,YJR060W,YPR024W
YHR182W,YMR295C,YEL017W
YDL105W,YMR251W-A,YLR441C
YFR015C,YJL189W,YDR174W
YNL033W,YML074C,YMR073C
YDL180W,YNL037C,YLR052W
YNL047C,YDR363W-A,YBR213W
YMR163C,YDR378C,YPR141C
YPL109C,YKL137W,YDR351W
YDR108W,YIR034C,YML119W
YHR073W,YPL239W,YGL086W
YOR334W,YOR247W,YGL201C
YGR068C,YGL054C,YDR286C
YOR161C,YOL149W,YHR062C
YCR081W,YDR059C,YLR190W
YDR393W,YGL026C,YEL036C
YMR268C,YKL138C,YCL068C
YPL168W,YNL052W,YHR153C
YGR071C,YNR016C,YBR229C
YOR291W,YGL018C,YOL052C
YBR217W,YGL106W,YNL068C
YJL132W,YKR095W-A,YDL144C
YKL178C,YBR238C,YBR017C
YOR071C,YDL067C,YJL156C
YKL019W,YLR147C,YLR145W
YGL163C,YFL017W-A,YBR265W
YDR498C,YLR390W-A,YJL073W
YDL030W,YER126C,YOR207C
YLR310C,YOL077C,YJL066C
YLR115W,YDR302W,YPL215W
YML059C,YNL210W,YIL004C
YNR002C,YCR016W,YBL064C
YHR109W,YDL128W,YDR481C
YDL076C,YLL018C,YGR027C
YBR239C,YGR175C,YNL090W
YMR287C,YLR293C,YPL089C
YLR271W,YBL030C,YIR035C
YGL224C,YIL020C,YKL055C
YMR168C,YDR493W,YER103W
YBL106C,YHL013C,YLR049C
YOL072W,YMR022W,YDR411C
YOL023W,YPR035W,YHR100C
YOR233W,YOL109W,YKL052C
YNL213C,YML001W,YBL071W-A
YLR316C,YGL253W,YCL061C
YLR116W,YLR262C,YGL116W
YDL134C,YJL166W,YJL197W
YOR360C,YNL055C,YGR157W
YMR196W,YKL156W,YJR102C
YDR488C,YEL060C,YMR075W
YJL161W,YLR044C,YGL050W
YGR041W,YGR076C,YMR130W
YKR022C,YDR384C,YJL035C
YPL223C,YML078W,YBR202W
YDR118W,YPL271W,YIL016W
YJL141C,YLR421C,YBR241C
YOR307C,YKL041W,YGL130W
YCL005W,YOR383C,YGL254W
YBR297W,YMR311C,YDL052C
YBR047W,YPR036W-A,YAR028W
YNR074C,YGR155W,YPL100W
YOR037W,YOR159C,YDR074W
YGL159W,YDR037W,YLR220W
YDL220C,YGR189C,YHR076W
YHL010C,YKL096W-A,YNL207W
YNL261W,YPL037C,YCL039W
YBL067C,YKL063C,YJR142W
YLR007W,YDR155C,YEL021W
YBR275C,YMR002W,YGL196W
YDL142C,YOL123W,YIL115C
YPL202C,YDR172W,YGR052W
YDR067C,YOR094W,YKR070W
YBR235W,YJR085C,YCR002C
YLR278C,YGL231C,YLR373C
YPR015C,YOR052C,YOR047C
YKL208W,YLL014W,YGR239C
YDR058C,YLR361C-A,YGL064C
YGR040W,YGR180C,YNL233W
YPL255W,YLR040C,YDL131W
YJL013C,YOL143C,YKL179C
YLR240W,YKR025W,YMR157C
YLR272C,YBR016W,YNL288W
YAL040C,YDR050C,YGL167C
YJL070C,YGR207C,YML101C
YLR456W,YNL132W,YGR260W
YLR411W,YPR096C,YER037W
YJL029C,YNL138W,YFR002W
YMR218C,YER034W,YNR008W
YCL069W,YER029C,YJL194W
YMR155W,YML094W,YGL250W
YMR114C,YOL058W,YLR059C
YHR072W,YDL157C,YPL057C
YPL179W,YNL111C,YCR067C
YJR124C,YKR043C,YBR289W
YJR140C,YJL062W-A,YPL124W
YOR278W,YDL185W,YOR067C
YPL097W,YDR513W,YER032W
YGL079W,YDR055W,YAL060W
YNL240C,YOL111C,YNL224C
YML121W,YKL084W,YBR015C
YCR033W,YPR166C,YPL086C
YLR289W,YOL146W,YOR329C
YNL169C,YLR146W-A,YML113W
YER017C,YKL138C-A,YGL010W
YGL143C,YOR276W,YKL173W
YIL158W,YCR053W,YNL289W
YPL058C,YKR035W-A,YGR268C
YJL045W,YDL135C,YDR441C
YPR047W,YNL075W,YLR181C
YPR169W,YPL129W,YIL022W
YPL222W,YMR072W,YFL004W
YFL011W,YNR043W,YDL193W
YDR383C,YNL255C,YGR202C
YHR031C,YFR032C-A,YGL166W
YGL036W,YKL172W,YDL116W
YPL087W,YER057C,YJL012C
YHR196W,YNL066W,YNL282W
YLR281C,YOR239W,YPR125W
YEL043W,YDR153C,YHR105W
YLR138W,YOR298C-A,YDL017W
YOR201C,YBR230C,YDR470C
YLR424W,YDR032C,YDR207C
YOR028C,YDR510W,YGR276C
YMR166C,YIL078W,YBL072C
YOR368W,YKL164C,YLR206W
YOR155C,YDR177W,YLR306W
YDL114W,YKR014C,YLR003C
YPL140C,YDL229W,YNL030W
YPL224C,YKL087C,YLR323C
YCR091W,YLR192C,YGL040C
YBR028C,YAL035W,YNL212W
YBL082C,YML028W,YMR076C
YPL208W,YHR143W-A,YPL229W
YLL046C,YBR082C,YLL023C
YLR073C,YDR071C,YFL008W
YOR213C,YLR109W,YBR260C
YJR084W,YDR098C,YGL111W
YLR453C,YPL163C,YDR046C
YOL013C,YPL117C,YDR175C
YNL152W,YDR339C,YBR156C
YDR414C,YMR290C,YGL230C
YDR111C,YLR264W,YML021C
YGR120C,YOR198C,YOL088C
YDR254W,YNL036W,YOR116C
YOL087C,YMR079W,YKL160W
YLR239C,YDR437W,YLR082C
YKL012W,YJR069C,YBL057C
YBR005W,YKL096W,YDR374W-A
YPR151C,YDR226W,YMR288W
YPR199C,YOR382W,YML080W
YDR268W,YDR361C,YBL034C
YAL001C,YLR370C,YHR086W
YDR524C,YLR200W,YHR036W
YER175C,YLR292C,YPR161C
YEL041W,YKR081C,YCR054C
YHR030C,YDL217C,YOL008W
YFL033C,YNR032C-A,YHR115C
YOR337W,YMR307W,YNL049C
YOL028C,YNL044W,YBR287W
YKL072W,YEL024W,YER161C
YJR033C,YMR108W,YDL123W
YGL215W,YHR208W,YDL141W
YOR370C,YPL183W-A,YOR150W
YNL262W,YNL113W,YJL061W
YLR141W,YKR020W,YDR191W
YDL246C,YLR025W,YLR415C
YNL053W,YPR183W,YMR044W
YLL033W,YNL079C,YDL145C
YGL150C,YFR049W,YER021W
YJR011C,YOR089C,YLR351C
YOL151W,YLR110C,YIL103W
YKR096W,YCR063W,YBR006W
YKL194C,YOR286W,YGR142W
YDL059C,YJR007W,YGL129C
YKR031C,YDR115W,YKR003W
YLR085C,YHR146W,YGL241W
YPR023C,YBR088C,YMR181C
YIL089W,YOL071W,YBR007C
YDR435C,YGL030W,YLR309C
YHR083W,YHR064C,YDR322W
YOR044W,YGR063C,YDL200C
YBR255C-A,YBR155W,YGL027C
YNL272C,YKL167C,YPL152W
YDR325W,YMR298W,YMR014W
YPR111W,YHR081W,YBR176W
YBR097W,YJR044C,YBL003C
YMR243C,YNL002C,YLR131C
YGR223C,YOR327C,YLR243W
YBR098W,YGR037C,YDR389W
YJL162C,YPR074C,YFR021W
YMR094W,YGR181W,YPL177C
YML102W,YLR153C,YDR217C
YLR277C,YDR087C,YIR005W
YKL155C,YDR064W,YNL177C
YCL040W,YGR061C,YNL130C
YMR025W,YIL070C,YBR258C
YLR070C,YFR001W,YPR189W
YOR246C,YLR395C,YLL012W
YPL134C,YPL170W,YNL054W
YOR244W,YJL179W,YPR058W
YJL083W,YGR074W,YJL168C
YGL233W,YEL020W-A,YER114C
YMR137C,YCR088W,YHR006W
YKL005C,YCR012W,YBR086C
YNL159C,YER131W,YER168C
YMR189W,YOR332W,YDR119W
YPR002W,YFL010C,YCR073W-A
YBL039W-B,YDR502C,YPR158W
YMR098C,YNL024C-A,YNL020C
YDL049C,YPR181C,YKR085C
YER045C,YOL139C,YGL186C
YKL197C,YNL209W,YHR133C
YIL001W,YNR046W,YBR084W
YMR240C,YGL234W,YDL098C
YNL125C,YKL170W,YGR036C
YHR195W,YIL053W,YLR095C
YNL283C,YGR105W,YJL192C
YGL002W,YAL038W,YJR094W-A
YOR002W,YDR092W,YLR144C
YOR034C,YPL160W,YPL118W
YDR313C,YER011W,YBR267W
YDR255C,YKR013W,YKL004W
YPR066W,YGL242C,YHL021C
YDR027C,YOR294W,YCR060W
YCR036W,YJL171C,YER183C
YCR066W,YLR180W,YGR017W
YBR001C,YHR072W-A,YJL191W
YDL077C,YFL014W,YDR262W
YDR533C,YHR193C,YJL072C
YFR025C,YHR174W,YLR167W
YFL047W,YJL115W,YMR153W
YLR284C,YGR209C,YFR037C
YKL101W,YHR027C,YOL006C
YNL206C,YKL032C,YPL253C
YDR218C,YER165W,YMR123W
YLR427W,YPL036W,YNL161W
YBL063W,YJL041W,YDR410C
YPL105C,YNL064C,YGL190C
YOL148C,YFR011C,YKL148C
YOL082W,YML126C,YOR374W
YDL129W,YAL025C,YDR280W
YPR122W,YKL009W,YHR058C
YGL169W,YBL078C,YPL038W
YJR135C,YPR063C,YBL037W
YAL031C,YPR116W,YPR029C
YDR532C,YOR021C,YPR008W
YML019W,YMR256C,YLR409C
YGL179C,YDL014W,YPR089W
YJR030C,YBR078W,YLL031C
YNL293W,YDL213C,YBR256C
YBL011W,YOR085W,YKL047W
YOR319W,YGL029W,YDR243C
YER167W,YHL015W,YDL124W
YMR301C,YGR159C,YLR290C
YLR404W,YBR011C,YIL007C
YLR256W,YCR024C-A,YLR045C
YGL013C,YBR173C,YPL084W
YDR240C,YBR154C,YDR062W
YNL317W,YHR088W,YDR143C
YGR194C,YLR043C,YJL107C
YER155C,YNL110C,YNL100W
YDR110W,YOR335C,YLR139C
YIL068C,YPL127C,YJR092W
YGR179C,YER053C-A,YHR175W
YML128C,YHL034C,YIL034C
YNR048W,YNL131W,YCL014W
YFL009W,YJR135W-A,YLR069C
YOR022C,YJR109C,YPL246C
YIL079C,YNL327W,YDR505C
YHR126C,YDR412W,YDR425W
YOR353C,YGR254W,YOL098C
YMR078C,YLR170C,YBR166C
YBR103W,YKL210W,YBL107C
YDR480W,YOR103C,YLR056W
YBL080C,YBR244W,YHR098C
YPL132W,YMR122W-A,YOR262W
YGR065C,YER039C-A,YER022W
YKR079C,YNL147W,YER016W
YHL022C,YLR058C,YOL076W
YNL217W,YJR067C,YCL034W
YJL047C,YDR224C,YDR311W
YHR090C,YML058W,YER001W
YOR256C,YOR045W,YOR048C
YCR059C,YCR028C-A,YPL144W
YGR198W,YKL216W,YER145C
YML082W,YGR034W,YDR166C
YGR024C,YLR038C,YLR036C
YGR255C,YDL126C,YHL017W
YCR026C,YMR229C,YNL163C
YLR392C,YPL211W,YEL059C-A
YNL273W,YLR435W,YOR008C
YJL193W,YBR218C,YEL018W
YPR061C,YOR293W,YDR234W
YOL158C,YPR020W,YLR231C
YLR173W,YNR044W,YCL058W-A
YOR320C,YIL040W,YHR144C
YMR010W,YDR232W,YKR095W
YPR091C,YOL131W,YBL009W
YFR038W,YGR205W,YMR048W
YIL088C,YER009W,YJL200C
YHR186C,YML010W,YJR112W
YOL100W,YIL062C,YNR013C
YOR316C,YER043C,YGR161W-C
YKL116C,YHR148W,YNR067C
YNL156C,YML129C,YLR078C
YHR166C,YKL182W,YLR182W
YNL078W,YDL181W,YJL053W
YDR310C,YHR001W-A,YCL047C
YML050W,YER100W,YDL047W
YDL045C,YOR265W,YML009C
YNL297C,YJL052C-A,YJL117W
YER171W,YDL007C-A,YOR098C
YKL075C,YML073C,YDL057W
YDR495C,YBL002W,YGR048W
YDL122W,YCL050C,YBR251W
YMR030W,YJR063W,YKR057W
YOR304W,YEL026W,YLL062C
YBR042C,YPL016W,YJL146W
YOL117W,YDR170C,YOR051C
YOR349W,YDR322C-A,YGR092W
YGL227W,YMR203W,YKL023W
YPL138C,YLR355C,YLR307C-A
YMR302C,YBR127C,YNL088W
YER166W,YAL012W,YKL045W
YOR358W,YIL015W,YGR229C
YPR049C,YDL012C,YGR186W
YJR024C,YJL172W,YMR174C
YER179W,YDR432W,YNL315C
YPR003C,YGL070C,YAL042W
