go_c,count,Systematic Name
cytoplasmic dynein complex,4,"['YDR424C', 'YDR488C', 'YKR054C', 'YMR299C']"
cytoplasmic exosome (RNase complex),10,"['YCR035C', 'YDL111C', 'YDR280W', 'YGR095C', 'YGR158C', 'YGR195W', 'YHR069C', 'YNL232W', 'YOL021C', 'YOL142W']"
cytoplasmic microtubule,16,"['YBL034C', 'YDR424C', 'YDR488C', 'YER016W', 'YFL037W', 'YGL216W', 'YJR076C', 'YKR054C', 'YLR254C', 'YML085C', 'YML124C', 'YMR299C', 'YOR269W', 'YPL155C', 'YPL269W', 'YPR141C']"
cytoplasmic ribonucleoprotein granule,1,['YPL150W']
cytoplasmic side of endosome membrane,1,['YDR323C']
cytoplasmic side of membrane,3,"['YDL160C', 'YNL118C', 'YOL149W']"
cytoplasmic side of mitochondrial outer membrane,2,"['YJR091C', 'YLL013C']"
cytoplasmic side of plasma membrane,5,"['YCL008C', 'YDR122W', 'YGL045W', 'YHR174W', 'YLR025W']"
cytoplasmic stress granule,99,"['YAL035W', 'YAL036C', 'YBL016W', 'YBL105C', 'YBR025C', 'YBR072W', 'YBR079C', 'YBR127C', 'YBR143C', 'YBR160W', 'YBR212W', 'YCL011C', 'YCL037C', 'YCR077C', 'YDL053C', 'YDL134C', 'YDL140C', 'YDL160C', 'YDL166C', 'YDL167C', 'YDR023W', 'YDR172W', 'YDR293C', 'YDR429C', 'YDR432W', 'YDR502C', 'YDR515W', 'YDR533C', 'YER110C', 'YER165W', 'YER176W', 'YER177W', 'YFL045C', 'YFR023W', 'YGL009C', 'YGL049C', 'YGL105W', 'YGL173C', 'YGL245W', 'YGR155W', 'YGR162W', 'YGR178C', 'YGR185C', 'YGR214W', 'YGR234W', 'YGR250C', 'YGR264C', 'YGR271W', 'YHL034C', 'YHR015W', 'YHR082C', 'YHR121W', 'YHR186C', 'YIR026C', 'YJL128C', 'YJL138C', 'YJR007W', 'YJR137C', 'YKL035W', 'YKL056C', 'YKL081W', 'YKL166C', 'YKL181W', 'YKL204W', 'YKR059W', 'YLR180W', 'YLR192C', 'YLR244C', 'YLR249W', 'YLR287C-A', 'YML117W', 'YMR012W', 'YMR146C', 'YMR216C', 'YMR246W', 'YMR260C', 'YMR268C', 'YMR309C', 'YNL016W', 'YNL085W', 'YNL161W', 'YNL197C', 'YNL207W', 'YNL209W', 'YNL255C', 'YOL111C', 'YOL123W', 'YOL139C', 'YOR046C', 'YOR151C', 'YOR204W', 'YOR303W', 'YOR361C', 'YPL009C', 'YPL048W', 'YPL184C', 'YPL280W', 'YPR129W', 'YPR163C']"
cytoplasmic ubiquitin ligase complex,1,['YNR007C']
cytoplasmic vesicle,59,"['YAR033W', 'YBL078C', 'YBR023C', 'YBR029C', 'YBR102C', 'YBR105C', 'YBR288C', 'YDL058W', 'YDL121C', 'YDL145C', 'YDL149W', 'YDL195W', 'YDR108W', 'YDR238C', 'YEL005C', 'YEL065W', 'YER039C', 'YFL005W', 'YFL034W', 'YFL038C', 'YFR051C', 'YGL051W', 'YGL137W', 'YGL206C', 'YGL225W', 'YGR105W', 'YGR167W', 'YGR261C', 'YHL019C', 'YHL040C', 'YIL076W', 'YIL109C', 'YIL118W', 'YJL024C', 'YJL085W', 'YJL123C', 'YJL151C', 'YJL178C', 'YJR125C', 'YKL077W', 'YKR055W', 'YLR170C', 'YLR208W', 'YLR411W', 'YML038C', 'YML067C', 'YMR258C', 'YNL090W', 'YNL263C', 'YNL272C', 'YNL287W', 'YOL062C', 'YPL010W', 'YPL195W', 'YPL218W', 'YPL259C', 'YPR029C', 'YPR165W', 'YPR181C']"
cytoplasmic vesicle membrane,15,"['YBR023C', 'YBR105C', 'YBR288C', 'YDL058W', 'YDL149W', 'YER039C', 'YGL206C', 'YGL225W', 'YGR167W', 'YHR182W', 'YJL024C', 'YJL151C', 'YJL178C', 'YLR411W', 'YMR258C']"
cytoskeleton,155,"['YAL034W-A', 'YAL047C', 'YAR019C', 'YBL007C', 'YBL031W', 'YBL034C', 'YBL063W', 'YBL105C', 'YBR109C', 'YBR118W', 'YBR156C', 'YBR200W', 'YBR233W-A', 'YBR234C', 'YCL029C', 'YCL034W', 'YCR009C', 'YCR088W', 'YDL029W', 'YDL058W', 'YDL226C', 'YDL239C', 'YDR016C', 'YDR022C', 'YDR106W', 'YDR130C', 'YDR201W', 'YDR309C', 'YDR320C-A', 'YDR356W', 'YDR388W', 'YDR389W', 'YDR424C', 'YDR484W', 'YDR488C', 'YDR532C', 'YEL061C', 'YER007W', 'YER016W', 'YER114C', 'YER125W', 'YFL037W', 'YFL039C', 'YGL061C', 'YGL075C', 'YGL093W', 'YGL170C', 'YGL216W', 'YGR080W', 'YGR092W', 'YGR098C', 'YGR113W', 'YGR136W', 'YGR140W', 'YHR016C', 'YHR061C', 'YHR114W', 'YHR129C', 'YHR172W', 'YHR185C', 'YHR199C-A', 'YIL002C', 'YIL034C', 'YIL062C', 'YIL095W', 'YIL106W', 'YIL118W', 'YIL138C', 'YIL149C', 'YIR003W', 'YIR006C', 'YJL019W', 'YJL020C', 'YJL042W', 'YJR053W', 'YJR065C', 'YKL013C', 'YKL042W', 'YKL052C', 'YKL056C', 'YKL079W', 'YKL129C', 'YKL138C-A', 'YKR001C', 'YKR037C', 'YKR054C', 'YKR055W', 'YKR083C', 'YLL003W', 'YLL050C', 'YLR045C', 'YLR175W', 'YLR212C', 'YLR227C', 'YLR254C', 'YLR313C', 'YLR337C', 'YLR370C', 'YLR410W', 'YLR412W', 'YML031W', 'YML085C', 'YML124C', 'YMR032W', 'YMR055C', 'YMR092C', 'YMR109W', 'YMR198W', 'YMR294W', 'YMR299C', 'YNL020C', 'YNL079C', 'YNL084C', 'YNL090W', 'YNL094W', 'YNL106C', 'YNL126W', 'YNL138W', 'YNL148C', 'YNL164C', 'YNL172W', 'YNL188W', 'YNL225C', 'YNL243W', 'YNL271C', 'YNR035C', 'YOL091W', 'YOR058C', 'YOR060C', 'YOR073W', 'YOR122C', 'YOR141C', 'YOR177C', 'YOR195W', 'YOR239W', 'YOR257W', 'YOR265W', 'YOR269W', 'YOR367W', 'YOR373W', 'YPL124W', 'YPL155C', 'YPL174C', 'YPL192C', 'YPL209C', 'YPL241C', 'YPL253C', 'YPL255W', 'YPL269W', 'YPR080W', 'YPR141C', 'YPR154W', 'YPR165W', 'YPR171W', 'YPR174C']"
cytosol,799,"['YAL003W', 'YAL005C', 'YAL017W', 'YAL035W', 'YAL054C', 'YAL062W', 'YAR002W', 'YAR007C', 'YAR042W', 'YBL001C', 'YBL015W', 'YBL017C', 'YBL018C', 'YBL041W', 'YBL050W', 'YBL057C', 'YBL058W', 'YBL064C', 'YBL067C', 'YBL071W-A', 'YBL075C', 'YBL076C', 'YBL078C', 'YBL085W', 'YBL091C-A', 'YBL101C', 'YBL102W', 'YBR011C', 'YBR017C', 'YBR019C', 'YBR020W', 'YBR030W', 'YBR056W', 'YBR058C', 'YBR067C', 'YBR080C', 'YBR084W', 'YBR095C', 'YBR101C', 'YBR105C', 'YBR117C', 'YBR118W', 'YBR126C', 'YBR131W', 'YBR133C', 'YBR143C', 'YBR149W', 'YBR152W', 'YBR164C', 'YBR169C', 'YBR172C', 'YBR196C', 'YBR214W', 'YBR217W', 'YBR218C', 'YBR231C', 'YBR236C', 'YBR261C', 'YBR272C', 'YBR284W', 'YBR289W', 'YCL002C', 'YCL008C', 'YCL011C', 'YCL017C', 'YCL018W', 'YCL028W', 'YCL030C', 'YCL034W', 'YCL040W', 'YCL048W', 'YCL055W', 'YCL058C', 'YCR009C', 'YCR012W', 'YCR020C', 'YCR027C', 'YCR032W', 'YCR033W', 'YCR043C', 'YCR054C', 'YCR073W-A', 'YCR094W', 'YCR100C', 'YDL005C', 'YDL009C', 'YDL019C', 'YDL022C-A', 'YDL022W', 'YDL065C', 'YDL080C', 'YDL087C', 'YDL100C', 'YDL106C', 'YDL108W', 'YDL113C', 'YDL122W', 'YDL124W', 'YDL126C', 'YDL135C', 'YDL137W', 'YDL168W', 'YDL192W', 'YDL226C', 'YDL234C', 'YDL238C', 'YDR009W', 'YDR022C', 'YDR023W', 'YDR027C', 'YDR037W', 'YDR044W', 'YDR047W', 'YDR049W', 'YDR050C', 'YDR069C', 'YDR073W', 'YDR074W', 'YDR079C-A', 'YDR096W', 'YDR098C', 'YDR108W', 'YDR137W', 'YDR141C', 'YDR142C', 'YDR153C', 'YDR165W', 'YDR170C', 'YDR172W', 'YDR174W', 'YDR177W', 'YDR180W', 'YDR189W', 'YDR195W', 'YDR196C', 'YDR211W', 'YDR214W', 'YDR216W', 'YDR218C', 'YDR226W', 'YDR228C', 'YDR244W', 'YDR252W', 'YDR255C', 'YDR267C', 'YDR283C', 'YDR295C', 'YDR300C', 'YDR311W', 'YDR320C', 'YDR323C', 'YDR334W', 'YDR341C', 'YDR353W', 'YDR354W', 'YDR358W', 'YDR363W-A', 'YDR368W', 'YDR370C', 'YDR372C', 'YDR373W', 'YDR380W', 'YDR385W', 'YDR388W', 'YDR392W', 'YDR395W', 'YDR400W', 'YDR403W', 'YDR407C', 'YDR416W', 'YDR422C', 'YDR425W', 'YDR427W', 'YDR450W', 'YDR452W', 'YDR453C', 'YDR454C', 'YDR464W', 'YDR472W', 'YDR484W', 'YDR487C', 'YDR490C', 'YDR502C', 'YDR513W', 'YDR516C', 'YDR517W', 'YDR531W', 'YEL013W', 'YEL018W', 'YEL021W', 'YEL022W', 'YEL029C', 'YEL037C', 'YEL046C', 'YEL047C', 'YEL048C', 'YER003C', 'YER007C-A', 'YER012W', 'YER020W', 'YER024W', 'YER025W', 'YER031C', 'YER040W', 'YER043C', 'YER046W', 'YER048C', 'YER057C', 'YER081W', 'YER093C', 'YER098W', 'YER103W', 'YER114C', 'YER117W', 'YER129W', 'YER132C', 'YER151C', 'YER161C', 'YER162C', 'YER165W', 'YER174C', 'YER175C', 'YFL007W', 'YFL013C', 'YFL014W', 'YFL022C', 'YFL030W', 'YFL038C', 'YFL044C', 'YFL045C', 'YFL049W', 'YFL053W', 'YFL060C', 'YFL068W', 'YFR004W', 'YFR008W', 'YFR021W', 'YFR022W', 'YFR023W', 'YFR030W', 'YFR036W', 'YFR040W', 'YFR051C', 'YFR052W', 'YFR053C', 'YGL004C', 'YGL005C', 'YGL008C', 'YGL009C', 'YGL011C', 'YGL013C', 'YGL015C', 'YGL040C', 'YGL045W', 'YGL047W', 'YGL062W', 'YGL066W', 'YGL067W', 'YGL082W', 'YGL083W', 'YGL091C', 'YGL095C', 'YGL099W', 'YGL108C', 'YGL112C', 'YGL115W', 'YGL124C', 'YGL125W', 'YGL145W', 'YGL148W', 'YGL154C', 'YGL169W', 'YGL180W', 'YGL185C', 'YGL190C', 'YGL195W', 'YGL197W', 'YGL206C', 'YGL210W', 'YGL211W', 'YGL220W', 'YGL229C', 'YGL234W', 'YGL238W', 'YGL241W', 'YGL245W', 'YGL246C', 'YGL253W', 'YGL256W', 'YGL258W', 'YGR009C', 'YGR019W', 'YGR030C', 'YGR037C', 'YGR048W', 'YGR057C', 'YGR058W', 'YGR059W', 'YGR068C', 'YGR074W', 'YGR083C', 'YGR087C', 'YGR093W', 'YGR094W', 'YGR099W', 'YGR120C', 'YGR123C', 'YGR124W', 'YGR129W', 'YGR134W', 'YGR135W', 'YGR142W', 'YGR144W', 'YGR156W', 'YGR192C', 'YGR194C', 'YGR198W', 'YGR204W', 'YGR206W', 'YGR209C', 'YGR223C', 'YGR232W', 'YGR233C', 'YGR234W', 'YGR239C', 'YGR241C', 'YGR248W', 'YGR252W', 'YGR254W', 'YGR256W', 'YGR261C', 'YGR264C', 'YGR270W', 'YGR274C', 'YHL017W', 'YHL025W', 'YHL043W', 'YHR001W', 'YHR005C', 'YHR009C', 'YHR012W', 'YHR015W', 'YHR016C', 'YHR018C', 'YHR019C', 'YHR030C', 'YHR033W', 'YHR035W', 'YHR042W', 'YHR053C', 'YHR055C', 'YHR062C', 'YHR073W', 'YHR085W', 'YHR086W', 'YHR090C', 'YHR104W', 'YHR108W', 'YHR109W', 'YHR111W', 'YHR115C', 'YHR131C', 'YHR133C', 'YHR150W', 'YHR155W', 'YHR160C', 'YHR170W', 'YHR171W', 'YHR174W', 'YHR176W', 'YHR183W', 'YHR187W', 'YHR197W', 'YHR200W', 'YHR202W', 'YHR206W', 'YIL003W', 'YIL007C', 'YIL008W', 'YIL009C-A', 'YIL026C', 'YIL035C', 'YIL036W', 'YIL041W', 'YIL044C', 'YIL051C', 'YIL063C', 'YIL074C', 'YIL084C', 'YIL104C', 'YIL107C', 'YIL118W', 'YIL131C', 'YIL142W', 'YIL143C', 'YIL156W', 'YIL173W', 'YIR004W', 'YIR007W', 'YIR012W', 'YIR031C', 'YIR037W', 'YJL004C', 'YJL005W', 'YJL006C', 'YJL011C', 'YJL029C', 'YJL031C', 'YJL036W', 'YJL038C', 'YJL044C', 'YJL052W', 'YJL053W', 'YJL055W', 'YJL057C', 'YJL061W', 'YJL068C', 'YJL070C', 'YJL084C', 'YJL088W', 'YJL098W', 'YJL099W', 'YJL102W', 'YJL115W', 'YJL121C', 'YJL130C', 'YJL145W', 'YJL154C', 'YJL155C', 'YJL159W', 'YJL168C', 'YJL176C', 'YJL200C', 'YJL204C', 'YJL205C', 'YJL207C', 'YJL208C', 'YJL222W', 'YJR006W', 'YJR009C', 'YJR017C', 'YJR031C', 'YJR032W', 'YJR033C', 'YJR057W', 'YJR072C', 'YJR096W', 'YJR102C', 'YJR104C', 'YJR105W', 'YJR109C', 'YJR111C', 'YJR125C', 'YJR132W', 'YJR141W', 'YKL022C', 'YKL026C', 'YKL029C', 'YKL039W', 'YKL041W', 'YKL056C', 'YKL059C', 'YKL060C', 'YKL062W', 'YKL067W', 'YKL069W', 'YKL096W-A', 'YKL113C', 'YKL117W', 'YKL126W', 'YKL127W', 'YKL130C', 'YKL132C', 'YKL135C', 'YKL143W', 'YKL152C', 'YKL176C', 'YKL182W', 'YKL183W', 'YKL196C', 'YKL197C', 'YKL206C', 'YKL215C', 'YKR001C', 'YKR003W', 'YKR007W', 'YKR014C', 'YKR020W', 'YKR021W', 'YKR026C', 'YKR028W', 'YKR068C', 'YKR071C', 'YKR078W', 'YKR080W', 'YKR082W', 'YKR084C', 'YKR097W', 'YKR098C', 'YLL001W', 'YLL009C', 'YLL010C', 'YLL018C', 'YLL018C-A', 'YLL024C', 'YLL026W', 'YLL029W', 'YLL036C', 'YLL038C', 'YLL052C', 'YLR011W', 'YLR017W', 'YLR019W', 'YLR027C', 'YLR028C', 'YLR039C', 'YLR043C', 'YLR044C', 'YLR069C', 'YLR109W', 'YLR116W', 'YLR126C', 'YLR131C', 'YLR134W', 'YLR148W', 'YLR151C', 'YLR153C', 'YLR174W', 'YLR180W', 'YLR195C', 'YLR240W', 'YLR245C', 'YLR260W', 'YLR262C', 'YLR291C', 'YLR293C', 'YLR301W', 'YLR304C', 'YLR309C', 'YLR310C', 'YLR330W', 'YLR345W', 'YLR359W', 'YLR376C', 'YLR377C', 'YLR380W', 'YLR384C', 'YLR389C', 'YLR392C', 'YLR396C', 'YLR410W', 'YLR438W', 'YLR441C', 'YLR446W', 'YLR455W', 'YML001W', 'YML002W', 'YML003W', 'YML026C', 'YML028W', 'YML035C', 'YML036W', 'YML063W', 'YML070W', 'YML071C', 'YML097C', 'YML100W', 'YML102W', 'YML113W', 'YML131W', 'YMR004W', 'YMR006C', 'YMR008C', 'YMR010W', 'YMR016C', 'YMR018W', 'YMR022W', 'YMR023C', 'YMR028W', 'YMR029C', 'YMR037C', 'YMR038C', 'YMR041C', 'YMR043W', 'YMR061W', 'YMR068W', 'YMR070W', 'YMR074C', 'YMR076C', 'YMR077C', 'YMR079W', 'YMR095C', 'YMR105C', 'YMR113W', 'YMR116C', 'YMR120C', 'YMR159C', 'YMR165C', 'YMR173W', 'YMR182C', 'YMR186W', 'YMR197C', 'YMR208W', 'YMR217W', 'YMR218C', 'YMR226C', 'YMR231W', 'YMR235C', 'YMR247C', 'YMR250W', 'YMR259C', 'YMR261C', 'YMR267W', 'YMR268C', 'YMR276W', 'YMR277W', 'YMR292W', 'YMR304W', 'YNL006W', 'YNL007C', 'YNL012W', 'YNL015W', 'YNL032W', 'YNL035C', 'YNL045W', 'YNL051W', 'YNL064C', 'YNL068C', 'YNL074C', 'YNL077W', 'YNL085W', 'YNL093W', 'YNL116W', 'YNL117W', 'YNL119W', 'YNL127W', 'YNL128W', 'YNL163C', 'YNL167C', 'YNL183C', 'YNL186W', 'YNL207W', 'YNL216W', 'YNL227C', 'YNL231C', 'YNL240C', 'YNL242W', 'YNL246W', 'YNL247W', 'YNL258C', 'YNL259C', 'YNL264C', 'YNL272C', 'YNL273W', 'YNL274C', 'YNL281W', 'YNL282W', 'YNL290W', 'YNL293W', 'YNL297C', 'YNL300W', 'YNL329C', 'YNL334C', 'YNR007C', 'YNR010W', 'YNR016C', 'YNR023W', 'YNR024W', 'YNR027W', 'YNR031C', 'YNR034W-A', 'YNR035C', 'YNR043W', 'YNR049C', 'YNR051C', 'YNR065C', 'YNR066C', 'YNR070W', 'YOL011W', 'YOL032W', 'YOL045W', 'YOL049W', 'YOL052C', 'YOL053W', 'YOL055C', 'YOL058W', 'YOL059W', 'YOL062C', 'YOL081W', 'YOL082W', 'YOL083W', 'YOL094C', 'YOL111C', 'YOL115W', 'YOL126C', 'YOL136C', 'YOL138C', 'YOR018W', 'YOR038C', 'YOR061W', 'YOR069W', 'YOR074C', 'YOR076C', 'YOR089C', 'YOR091W', 'YOR093C', 'YOR094W', 'YOR113W', 'YOR115C', 'YOR119C', 'YOR120W', 'YOR122C', 'YOR124C', 'YOR132W', 'YOR133W', 'YOR157C', 'YOR164C', 'YOR168W', 'YOR197W', 'YOR209C', 'YOR229W', 'YOR236W', 'YOR237W', 'YOR241W', 'YOR260W', 'YOR265W', 'YOR274W', 'YOR302W', 'YOR319W', 'YOR322C', 'YOR357C', 'YOR359W', 'YOR370C', 'YOR375C', 'YOR387C', 'YOR388C', 'YOR394W', 'YPL023C', 'YPL037C', 'YPL045W', 'YPL051W', 'YPL061W', 'YPL065W', 'YPL070W', 'YPL084W', 'YPL088W', 'YPL091W', 'YPL096W', 'YPL097W', 'YPL100W', 'YPL105C', 'YPL106C', 'YPL111W', 'YPL113C', 'YPL117C', 'YPL120W', 'YPL123C', 'YPL125W', 'YPL138C', 'YPL140C', 'YPL145C', 'YPL149W', 'YPL153C', 'YPL161C', 'YPL166W', 'YPL175W', 'YPL191C', 'YPL201C', 'YPL203W', 'YPL204W', 'YPL214C', 'YPL231W', 'YPL240C', 'YPL249C', 'YPL258C', 'YPL262W', 'YPR010C-A', 'YPR016C', 'YPR017C', 'YPR030W', 'YPR032W', 'YPR033C', 'YPR040W', 'YPR041W', 'YPR048W', 'YPR074C', 'YPR080W', 'YPR088C', 'YPR103W', 'YPR105C', 'YPR107C', 'YPR121W', 'YPR144C', 'YPR145W', 'YPR159C-A', 'YPR176C', 'YPR179C', 'YPR180W', 'YPR185W']"
cytosolic large ribosomal subunit,84,"['YBL027W', 'YBL087C', 'YBL092W', 'YBR031W', 'YBR084C-A', 'YBR191W', 'YDL075W', 'YDL081C', 'YDL082W', 'YDL130W', 'YDL133C-A', 'YDL136W', 'YDL184C', 'YDL191W', 'YDR012W', 'YDR237W', 'YDR382W', 'YDR418W', 'YDR471W', 'YDR500C', 'YEL054C', 'YER056C-A', 'YER117W', 'YFL034C-A', 'YFR031C-A', 'YFR032C-A', 'YGL030W', 'YGL031C', 'YGL076C', 'YGL099W', 'YGL103W', 'YGL135W', 'YGL147C', 'YGR034W', 'YGR085C', 'YGR148C', 'YHL001W', 'YHL033C', 'YHR010W', 'YHR141C', 'YIL018W', 'YIL052C', 'YIL133C', 'YIL148W', 'YJL177W', 'YJL189W', 'YJR094W-A', 'YKL006W', 'YKL180W', 'YKR094C', 'YLL045C', 'YLR029C', 'YLR061W', 'YLR075W', 'YLR185W', 'YLR325C', 'YLR340W', 'YLR344W', 'YLR406C', 'YLR448W', 'YML073C', 'YMR121C', 'YMR142C', 'YMR194W', 'YMR242C', 'YNL002C', 'YNL067W', 'YNL069C', 'YNL162W', 'YNL301C', 'YOL039W', 'YOL120C', 'YOL127W', 'YOR063W', 'YOR234C', 'YOR312C', 'YPL079W', 'YPL131W', 'YPL143W', 'YPL198W', 'YPL220W', 'YPL249C-A', 'YPR043W', 'YPR102C']"
cytosolic proteasome complex,1,['YOR259C']
cytosolic ribosome,8,"['YDR283C', 'YFR009W', 'YGL195W', 'YGR054W', 'YJR047C', 'YLR244C', 'YLR249W', 'YNL014W']"
cytosolic small ribosomal subunit,61,"['YAL035W', 'YBL072C', 'YBR048W', 'YBR181C', 'YBR189W', 'YCR031C', 'YCR077C', 'YDL061C', 'YDL083C', 'YDR025W', 'YDR064W', 'YDR447C', 'YDR450W', 'YER074W', 'YER102W', 'YER131W', 'YGL123W', 'YGL189C', 'YGR027C', 'YGR054W', 'YGR118W', 'YGR214W', 'YHL015W', 'YHR021C', 'YHR203C', 'YIL069C', 'YJL136C', 'YJL190C', 'YJL191W', 'YJR123W', 'YJR145C', 'YKL156W', 'YKR057W', 'YLR048W', 'YLR167W', 'YLR264W', 'YLR287C-A', 'YLR333C', 'YLR367W', 'YLR388W', 'YLR441C', 'YML024W', 'YML026C', 'YML063W', 'YMR116C', 'YMR143W', 'YMR230W', 'YNL007C', 'YNL096C', 'YNL178W', 'YNL302C', 'YOL040C', 'YOL121C', 'YOR096W', 'YOR167C', 'YOR182C', 'YOR293W', 'YOR369C', 'YPL081W', 'YPL090C', 'YPR132W']"
cytosolic tRNA wobble base thiouridylase complex,1,['YGL211W']
dehydrodolichyl diphosphate synthase complex,3,"['YBR002C', 'YDL193W', 'YMR101C']"
delta DNA polymerase complex,3,"['YDL102W', 'YJR006W', 'YJR043C']"
dolichyl-phosphate-mannose-protein mannosyltransferase Pmt1p-Pmt2p dimer complex,2,"['YAL023C', 'YDL095W']"
dolichyl-phosphate-mannose-protein mannosyltransferase Pmt1p-Pmt3p dimer complex,2,"['YDL095W', 'YOR321W']"
dolichyl-phosphate-mannose-protein mannosyltransferase Pmt4p homodimer complex,1,['YJR143C']
dolichyl-phosphate-mannose-protein mannosyltransferase Pmt5p-Pmt2p dimer complex,2,"['YAL023C', 'YDL093W']"
dolichyl-phosphate-mannose-protein mannosyltransferase Pmt5p-Pmt3p dimer complex,2,"['YDL093W', 'YOR321W']"
dynactin complex,5,"['YDR106W', 'YHR129C', 'YLL049W', 'YMR294W', 'YPL174C']"
dynein complex,7,"['YDR106W', 'YDR424C', 'YHR129C', 'YKR054C', 'YMR294W', 'YMR299C', 'YPL174C']"
eRF1 methyltransferase complex,2,"['YDR140W', 'YNR046W']"
early endosome,18,"['YAR042W', 'YBL085W', 'YBR264C', 'YDL161W', 'YDR407C', 'YDR456W', 'YER114C', 'YHL019C', 'YJL036W', 'YJL084C', 'YJR040W', 'YKR014C', 'YKR021W', 'YML002W', 'YML003W', 'YML097C', 'YMR218C', 'YOR089C']"
early endosome membrane,8,"['YDR202C', 'YDR264C', 'YDR468C', 'YFL034W', 'YHL019C', 'YKL039W', 'YNL297C', 'YOR357C']"
eisosome,14,"['YDR490C', 'YEL063C', 'YGR086C', 'YGR130C', 'YGR131W', 'YIL105C', 'YKL050C', 'YML052W', 'YMR031C', 'YMR086W', 'YNL268W', 'YOL100W', 'YPL004C', 'YPR149W']"
eisosome filament,2,"['YGR086C', 'YPL004C']"
eisosome membrane domain/MCC,1,['YGL173C']
elongin complex,2,"['YNL230C', 'YPL046C']"
endocytic patch,1,['YCR030C']
endocytic vesicle,5,"['YBR264C', 'YCR030C', 'YJL207C', 'YJR005W', 'YKR014C']"
endomembrane system,37,"['YAL014C', 'YAL030W', 'YAR008W', 'YBR042C', 'YBR264C', 'YDL185W', 'YDR018C', 'YDR468C', 'YFL038C', 'YGL212W', 'YHR022C', 'YHR140W', 'YJL170C', 'YJR033C', 'YKL041W', 'YKL119C', 'YKR014C', 'YKR035W-A', 'YLR026C', 'YLR105C', 'YLR262C', 'YMR059W', 'YMR183C', 'YNL093W', 'YNL180C', 'YNL304W', 'YNL321W', 'YOL018C', 'YOR036W', 'YOR089C', 'YOR106W', 'YOR132W', 'YOR298W', 'YOR327C', 'YPL083C', 'YPL170W', 'YPL232W']"
