complex,count,Systematic Name
DNA replication preinitiation complex,22,"['YBL023C', 'YBR060C', 'YBR202W', 'YDR013W', 'YDR489W', 'YEL032W', 'YGL113W', 'YGL201C', 'YHR118C', 'YJL072C', 'YJL090C', 'YJL194W', 'YKL108W', 'YLL004W', 'YLR103C', 'YLR274W', 'YML065W', 'YNL261W', 'YOL146W', 'YOR060C', 'YPR019W', 'YPR162C']"
DNA-directed RNA polymerase I complex,14,"['YBR154C', 'YDR156W', 'YHR143W-A', 'YJL148W', 'YJR063W', 'YNL113W', 'YNL248C', 'YOR210W', 'YOR224C', 'YOR340C', 'YOR341W', 'YPR010C', 'YPR110C', 'YPR187W']"
"DNA-directed RNA polymerase II, core complex",13,"['YBR154C', 'YDL140C', 'YDR404C', 'YGL070C', 'YHR143W-A', 'YIL021W', 'YJL140W', 'YJR072C', 'YOL005C', 'YOR151C', 'YOR210W', 'YOR224C', 'YPR187W']"
"DNA-directed RNA polymerase II, holoenzyme",75,"['YAL021C', 'YBL093C', 'YBR154C', 'YBR193C', 'YBR198C', 'YBR236C', 'YBR253W', 'YBR279W', 'YCR042C', 'YDL005C', 'YDL108W', 'YDL115C', 'YDL140C', 'YDR079C-A', 'YDR138W', 'YDR145W', 'YDR167W', 'YDR308C', 'YDR311W', 'YDR404C', 'YDR460W', 'YER022W', 'YER148W', 'YER171W', 'YGL025C', 'YGL070C', 'YGL112C', 'YGL127C', 'YGL244W', 'YGR005C', 'YGR097W', 'YGR104C', 'YGR186W', 'YGR274C', 'YHR041C', 'YHR058C', 'YHR143W-A', 'YIL021W', 'YIL143C', 'YJL140W', 'YJR072C', 'YKL028W', 'YKL058W', 'YKR062W', 'YLR005W', 'YLR071C', 'YLR418C', 'YML015C', 'YML098W', 'YML114C', 'YMR005W', 'YMR112C', 'YMR227C', 'YMR236W', 'YNL236W', 'YNR010W', 'YOL005C', 'YOL051W', 'YOL135C', 'YOL145C', 'YOR123C', 'YOR151C', 'YOR174W', 'YOR194C', 'YOR210W', 'YOR224C', 'YOR352W', 'YPL011C', 'YPL122C', 'YPL129W', 'YPR025C', 'YPR056W', 'YPR070W', 'YPR168W', 'YPR187W']"
DNA-directed RNA polymerase III complex,17,"['YBR154C', 'YDL150W', 'YDR045C', 'YHR143W-A', 'YJL011C', 'YKL144C', 'YKR025W', 'YNL113W', 'YNL151C', 'YNR003C', 'YOR116C', 'YOR207C', 'YOR210W', 'YOR224C', 'YPR110C', 'YPR187W', 'YPR190C']"
DSIF complex,2,"['YGR063C', 'YML010W']"
DUBm complex,4,"['YBR111W-A', 'YGL066W', 'YMR223W', 'YPL047W']"
Dbf4-dependent protein kinase complex,2,"['YDL017W', 'YDR052C']"
Doa10p ubiquitin ligase complex,8,"['YBR170C', 'YDL126C', 'YDR411C', 'YGR048W', 'YIL030C', 'YML013W', 'YMR022W', 'YMR264W']"
Dom34-Hbs1 complex,2,"['YKR084C', 'YNL001W']"
Dsc E3 ubiquitin ligase complex,4,"['YDL091C', 'YKL034W', 'YOL073C', 'YOR223W']"
Dsl1/NZR complex,3,"['YGL145W', 'YLR440C', 'YNL258C']"
EGO complex,6,"['YBR077C', 'YCR075W-A', 'YGR163W', 'YKL143W', 'YKR007W', 'YML121W']"
EKC/KEOPS complex,5,"['YGR262C', 'YJL184W', 'YKR038C', 'YKR095W-A', 'YML036W']"
ER membrane protein complex,6,"['YCL045C', 'YGL231C', 'YIL027C', 'YJR088C', 'YKL207W', 'YLL014W']"
ERMES complex,5,"['YAL010C', 'YAL048C', 'YGL219C', 'YLL006W', 'YOL009C']"
ESCRT I complex,4,"['YCL008C', 'YGR206W', 'YLR119W', 'YPL065W']"
ESCRT II complex,3,"['YJR102C', 'YLR417W', 'YPL002C']"
ESCRT III complex,4,"['YKL002W', 'YKL041W', 'YLR025W', 'YMR077C']"
ESCRT-0 complex,2,"['YHL002W', 'YNR006W']"
