complex,count,Systematic Name
U2-type prespliceosome,28,"['YBR119W', 'YDL030W', 'YDL043C', 'YDL087C', 'YDR235W', 'YDR240C', 'YDR416W', 'YER029C', 'YFL017W-A', 'YGR013W', 'YGR074W', 'YGR129W', 'YHR086W', 'YIL061C', 'YIR009W', 'YJL203W', 'YKL012W', 'YLR117C', 'YLR147C', 'YLR275W', 'YLR298C', 'YML046W', 'YML049C', 'YMR240C', 'YMR288W', 'YOR159C', 'YOR319W', 'YPL213W']"
U2-type spliceosomal complex,55,"['YAL032C', 'YBR119W', 'YBR188C', 'YDL030W', 'YDL043C', 'YDL087C', 'YDL209C', 'YDR088C', 'YDR163W', 'YDR235W', 'YDR240C', 'YDR416W', 'YDR482C', 'YER013W', 'YER029C', 'YFL017W-A', 'YGL128C', 'YGR006W', 'YGR013W', 'YGR074W', 'YGR129W', 'YGR278W', 'YHR086W', 'YIL061C', 'YIR009W', 'YJL203W', 'YJR050W', 'YKL012W', 'YKL074C', 'YKL095W', 'YKR022C', 'YKR086W', 'YLL036C', 'YLR116W', 'YLR117C', 'YLR147C', 'YLR275W', 'YLR298C', 'YLR323C', 'YLR424W', 'YML046W', 'YML049C', 'YMR125W', 'YMR213W', 'YMR240C', 'YMR288W', 'YNL245C', 'YNR011C', 'YOR159C', 'YOR319W', 'YPL064C', 'YPL178W', 'YPL213W', 'YPR101W', 'snR19']"
U4/U6 snRNP,1,['YBR055C']
U4/U6 x U5 tri-snRNP complex,33,"['YBL026W', 'YBR055C', 'YBR152W', 'YDL098C', 'YDR378C', 'YDR473C', 'YEL026W', 'YER029C', 'YER112W', 'YER146W', 'YER172C', 'YFL017W-A', 'YGR006W', 'YGR074W', 'YGR075C', 'YGR091W', 'YHR156C', 'YHR165C', 'YJR022W', 'YKL173W', 'YLR147C', 'YLR275W', 'YLR438C-A', 'YNL147W', 'YOR159C', 'YOR308C', 'YPR082C', 'YPR178W', 'YPR182W', 'snR14', 'snR6', 'snR7-L', 'snR7-S']"
U5 snRNP,17,"['YBL074C', 'YDR243C', 'YER029C', 'YER172C', 'YFL017W-A', 'YGR006W', 'YGR074W', 'YHR156C', 'YHR165C', 'YKL173W', 'YLR147C', 'YLR275W', 'YOR159C', 'YPR082C', 'YPR182W', 'snR7-L', 'snR7-S']"
U6 snRNP,9,"['YBL026W', 'YDR378C', 'YER112W', 'YER146W', 'YJR022W', 'YLR438C-A', 'YMR268C', 'YNL147W', 'snR6']"
UDP-N-acetylglucosamine transferase complex,3,"['YBR070C', 'YBR243C', 'YGL047W']"
UTP-C complex,6,"['YCL031C', 'YGL019W', 'YGR090W', 'YIL035C', 'YOR039W', 'YOR061W']"
Ubp3-Bre5 deubiquitination complex,2,"['YER151C', 'YNR051C']"
VCP-NPL4-UFD1 AAA ATPase complex,3,"['YBR170C', 'YDL126C', 'YGR048W']"
Vma12-Vma22 assembly complex,2,"['YHR060W', 'YKL119C']"
Vps55/Vps68 complex,2,"['YJR044C', 'YOL129W']"
acetolactate synthase complex,2,"['YCL009C', 'YMR108W']"
actin filament,9,"['YAL029C', 'YFL039C', 'YGR080W', 'YIL034C', 'YKL007W', 'YMR092C', 'YNL271C', 'YOR239W', 'YOR326W']"
acyl-CoA ceramide synthase complex,3,"['YHL003C', 'YKL008C', 'YMR298W']"
alpha DNA polymerase:primase complex,7,"['YBL035C', 'YGL207W', 'YIR008C', 'YKL017C', 'YKL045W', 'YML069W', 'YNL102W']"
"alpha,alpha-trehalose-phosphate synthase complex (UDP-forming)",4,"['YBR126C', 'YDR074W', 'YML100W', 'YMR261C']"
"alpha-1,6-mannosyltransferase complex",6,"['YDR245W', 'YEL036C', 'YJL183W', 'YJR075W', 'YML115C', 'YPL050C']"
anaphase-promoting complex,16,"['YBL084C', 'YDL008W', 'YDR118W', 'YDR260C', 'YFR036W', 'YGL003C', 'YGL116W', 'YGL240W', 'YGR225W', 'YHR166C', 'YIR025W', 'YKL022C', 'YLR102C', 'YLR127C', 'YNL172W', 'YOR249C']"
anthranilate synthase complex,2,"['YER090W', 'YKL211C']"
astral microtubule,9,"['YBL031W', 'YBR160W', 'YDR130C', 'YEL061C', 'YHR129C', 'YKR054C', 'YLL049W', 'YMR294W', 'YPL174C']"
box C/D snoRNP complex,53,"['YDL014W', 'YEL026W', 'YLR197W', 'YMR290C', 'YOR310C', 'YPR137W', 'snR128', 'snR13', 'snR17a', 'snR17b', 'snR18', 'snR190', 'snR24', 'snR38', 'snR39', 'snR39B', 'snR4', 'snR40', 'snR41', 'snR45', 'snR47', 'snR48', 'snR50', 'snR51', 'snR52', 'snR53', 'snR54', 'snR55', 'snR56', 'snR57', 'snR58', 'snR59', 'snR60', 'snR61', 'snR62', 'snR63', 'snR64', 'snR65', 'snR66', 'snR67', 'snR68', 'snR69', 'snR70', 'snR71', 'snR72', 'snR73', 'snR74', 'snR75', 'snR76', 'snR77', 'snR78', 'snR79', 'snR87']"
box H/ACA snoRNP complex,34,"['YDL208W', 'YHR072W-A', 'YHR089C', 'YLR175W', 'YMR290C', 'snR10', 'snR11', 'snR161', 'snR189', 'snR191', 'snR3', 'snR30', 'snR31', 'snR32', 'snR33', 'snR34', 'snR35', 'snR36', 'snR37', 'snR42', 'snR43', 'snR44', 'snR46', 'snR49', 'snR5', 'snR8', 'snR80', 'snR81', 'snR82', 'snR83', 'snR84', 'snR85', 'snR86', 'snR9']"
cAMP-dependent protein kinase complex,3,"['YJL164C', 'YKL166C', 'YPL203W']"
calcineurin complex,3,"['YKL190W', 'YLR433C', 'YML057W']"
carbamoyl-phosphate synthase complex,2,"['YJR109C', 'YOR303W']"
carboxy-terminal domain protein kinase complex,14,"['YDL108W', 'YDR079C-A', 'YDR311W', 'YDR460W', 'YER171W', 'YIL143C', 'YJL006C', 'YKL139W', 'YLR005W', 'YML112W', 'YOR352W', 'YPL122C', 'YPR025C', 'YPR056W']"
central plaque of spindle pole body,6,"['YBR109C', 'YDR356W', 'YKL042W', 'YLR457C', 'YPL124W', 'YPL255W']"
chaperonin-containing T-complex,11,"['YAL005C', 'YDL143W', 'YDR171W', 'YDR188W', 'YDR212W', 'YIL142W', 'YJL008C', 'YJL014W', 'YJL111W', 'YJR064W', 'YLL024C']"
checkpoint clamp complex,3,"['YLR288C', 'YOR368W', 'YPL194W']"
chromatin silencing complex,6,"['YDL042C', 'YDR227W', 'YFR028C', 'YJL076W', 'YKR101W', 'YLR442C']"
chromatin,160,"['YAL011W', 'YAL013W', 'YAL019W', 'YBL002W', 'YBL003C', 'YBL054W', 'YBR009C', 'YBR010W', 'YBR095C', 'YBR103W', 'YBR231C', 'YBR245C', 'YBR279W', 'YCR033W', 'YCR065W', 'YCR066W', 'YDL002C', 'YDL042C', 'YDL074C', 'YDL076C', 'YDL156W', 'YDR026C', 'YDR110W', 'YDR155C', 'YDR174W', 'YDR180W', 'YDR181C', 'YDR190C', 'YDR207C', 'YDR217C', 'YDR223W', 'YDR224C', 'YDR225W', 'YDR227W', 'YDR289C', 'YDR295C', 'YDR334W', 'YDR398W', 'YDR409W', 'YDR451C', 'YDR485C', 'YDR501W', 'YEL044W', 'YER028C', 'YER088C', 'YER092W', 'YER111C', 'YER147C', 'YER164W', 'YFL013C', 'YFL039C', 'YFR027W', 'YGL058W', 'YGL060W', 'YGL090W', 'YGL096W', 'YGL097W', 'YGL113W', 'YGL131C', 'YGL150C', 'YGL194C', 'YGL207W', 'YGL244W', 'YGL252C', 'YGR002C', 'YGR063C', 'YGR099W', 'YGR116W', 'YGR128C', 'YGR163W', 'YHR031C', 'YHR099W', 'YHR156C', 'YHR196W', 'YHR205W', 'YHR207C', 'YHR216W', 'YIL033C', 'YIL084C', 'YIL112W', 'YIL122W', 'YIL139C', 'YIL153W', 'YIR018W', 'YJL081C', 'YJL109C', 'YJL164C', 'YJL184W', 'YJR084W', 'YJR136C', 'YKL032C', 'YKL033W', 'YKL049C', 'YKL185W', 'YKR029C', 'YKR038C', 'YKR095W-A', 'YLL035W', 'YLR032W', 'YLR052W', 'YLR085C', 'YLR117C', 'YLR183C', 'YLR223C', 'YLR385C', 'YLR399C', 'YLR418C', 'YLR442C', 'YLR449W', 'YML010W', 'YML027W', 'YML041C', 'YML069W', 'YMR043W', 'YMR053C', 'YMR075W', 'YMR093W', 'YMR127C', 'YMR176W', 'YMR182C', 'YMR263W', 'YMR284W', 'YNL021W', 'YNL030W', 'YNL031C', 'YNL059C', 'YNL097C', 'YNL107W', 'YNL215W', 'YNL246W', 'YNL309W', 'YNL330C', 'YOL004W', 'YOL012C', 'YOL068C', 'YOL145C', 'YOR005C', 'YOR119C', 'YOR141C', 'YOR156C', 'YOR189W', 'YOR213C', 'YOR244W', 'YOR344C', 'YOR346W', 'YPL008W', 'YPL126W', 'YPL127C', 'YPL129W', 'YPL139C', 'YPL167C', 'YPL181W', 'YPL203W', 'YPL235W', 'YPR023C', 'YPR045C', 'YPR065W', 'YPR085C', 'YPR104C', 'YPR179C']"
chromosome passenger complex,4,"['YBR156C', 'YHR199C-A', 'YJR089W', 'YPL209C']"
"chromosome, centromeric region",87,"['YAL019W', 'YAL034W-A', 'YBL008W', 'YBR010W', 'YBR107C', 'YBR211C', 'YBR233W-A', 'YCL029C', 'YCR077C', 'YCR086W', 'YDL013W', 'YDL017W', 'YDL028C', 'YDL139C', 'YDL188C', 'YDR016C', 'YDR052C', 'YDR130C', 'YDR201W', 'YDR254W', 'YDR285W', 'YDR318W', 'YDR320C-A', 'YDR328C', 'YDR374W-A', 'YDR383C', 'YDR439W', 'YDR532C', 'YEL061C', 'YER018C', 'YER106W', 'YER116C', 'YER133W', 'YFR046C', 'YGL060W', 'YGL061C', 'YGL071W', 'YGL086W', 'YGL093W', 'YGL113W', 'YGR063C', 'YGR113W', 'YGR140W', 'YGR179C', 'YGR188C', 'YGR218W', 'YGR252W', 'YHR014W', 'YIL144W', 'YIR010W', 'YJL030W', 'YJR060W', 'YJR089W', 'YJR112W', 'YJR135C', 'YKL049C', 'YKL052C', 'YKL089W', 'YKL138C-A', 'YKR037C', 'YKR083C', 'YLR045C', 'YLR315W', 'YLR381W', 'YML060W', 'YML102W', 'YMR094W', 'YMR117C', 'YMR168C', 'YNL031C', 'YOL054W', 'YOL069W', 'YOR014W', 'YOR026W', 'YOR060C', 'YOR073W', 'YOR191W', 'YOR195W', 'YPL018W', 'YPL204W', 'YPL209C', 'YPL233W', 'YPL268W', 'YPL269W', 'YPR007C', 'YPR018W', 'YPR046W']"
clathrin vesicle coat,14,"['YBL037W', 'YDR153C', 'YGL206C', 'YGR167W', 'YHL019C', 'YJL207C', 'YJR005W', 'YJR058C', 'YJR125C', 'YKL135C', 'YLR170C', 'YOL062C', 'YPL259C', 'YPR029C']"
commitment complex,12,"['YDR240C', 'YGR074W', 'YHR086W', 'YIL061C', 'YKL074C', 'YLR116W', 'YLR147C', 'YLR298C', 'YML046W', 'YMR125W', 'YPL178W', 'snR19']"
condensed nuclear chromosome kinetochore,54,"['YAL034W-A', 'YBR107C', 'YBR211C', 'YBR233W-A', 'YCL029C', 'YDL028C', 'YDR016C', 'YDR130C', 'YDR201W', 'YDR254W', 'YDR318W', 'YDR320C-A', 'YDR532C', 'YEL061C', 'YER018C', 'YER106W', 'YER116C', 'YER133W', 'YGL060W', 'YGL061C', 'YGL071W', 'YGL086W', 'YGL093W', 'YGR113W', 'YGR140W', 'YGR179C', 'YGR188C', 'YIL144W', 'YIR010W', 'YJL030W', 'YJR089W', 'YJR112W', 'YJR135C', 'YKL052C', 'YKL089W', 'YKL138C-A', 'YKR037C', 'YKR083C', 'YLR045C', 'YLR381W', 'YMR094W', 'YMR117C', 'YMR168C', 'YOL069W', 'YOR026W', 'YOR073W', 'YOR191W', 'YOR195W', 'YPL018W', 'YPL209C', 'YPL233W', 'YPL268W', 'YPL269W', 'YPR046W']"
condensed nuclear chromosome outer kinetochore,12,"['YBR107C', 'YBR233W-A', 'YDR016C', 'YDR201W', 'YDR254W', 'YDR320C-A', 'YGL061C', 'YGR113W', 'YKL052C', 'YKL138C-A', 'YKR037C', 'YKR083C']"
"condensed nuclear chromosome, centromeric region",60,"['YAL034W-A', 'YBR107C', 'YBR211C', 'YBR233W-A', 'YCL029C', 'YDL028C', 'YDL139C', 'YDL188C', 'YDR016C', 'YDR130C', 'YDR201W', 'YDR254W', 'YDR318W', 'YDR320C-A', 'YDR532C', 'YEL061C', 'YER018C', 'YER106W', 'YER116C', 'YER133W', 'YGL060W', 'YGL061C', 'YGL071W', 'YGL086W', 'YGL093W', 'YGR113W', 'YGR140W', 'YGR179C', 'YGR188C', 'YHR014W', 'YIL144W', 'YIR010W', 'YJL030W', 'YJR089W', 'YJR112W', 'YJR135C', 'YKL049C', 'YKL052C', 'YKL089W', 'YKL138C-A', 'YKR037C', 'YKR083C', 'YLR045C', 'YLR381W', 'YMR094W', 'YMR117C', 'YMR168C', 'YOL069W', 'YOR014W', 'YOR026W', 'YOR073W', 'YOR191W', 'YOR195W', 'YPL018W', 'YPL209C', 'YPL233W', 'YPL268W', 'YPL269W', 'YPR007C', 'YPR046W']"
core TFIIH complex,7,"['YDR079C-A', 'YDR311W', 'YER171W', 'YIL143C', 'YLR005W', 'YPL122C', 'YPR056W']"
core mediator complex,20,"['YBL093C', 'YBR193C', 'YBR253W', 'YDL005C', 'YDR308C', 'YER022W', 'YGL025C', 'YGL127C', 'YGR104C', 'YHR041C', 'YHR058C', 'YLR071C', 'YMR112C', 'YNL236W', 'YNR010W', 'YOL051W', 'YOL135C', 'YOR174W', 'YPR070W', 'YPR168W']"
cyclin-dependent protein kinase holoenzyme complex,20,"['YBR135W', 'YBR160W', 'YDL127W', 'YDL179W', 'YER059W', 'YGL134W', 'YGL215W', 'YGR108W', 'YHR071W', 'YIL050W', 'YJL006C', 'YKL139W', 'YLR226W', 'YML112W', 'YNL289W', 'YOL001W', 'YPL031C', 'YPL219W', 'YPL256C', 'YPR161C']"
cytoplasmic dynein complex,4,"['YDR424C', 'YDR488C', 'YKR054C', 'YMR299C']"
cytoplasmic exosome (RNase complex),13,"['YCR035C', 'YDL111C', 'YDR280W', 'YGR095C', 'YGR158C', 'YGR195W', 'YHR069C', 'YMR287C', 'YNL232W', 'YOL021C', 'YOL142W', 'YOR076C', 'YPL029W']"
cytoplasmic microtubule,24,"['YBL031W', 'YBR160W', 'YDR130C', 'YDR424C', 'YDR488C', 'YEL061C', 'YER016W', 'YFL037W', 'YGL216W', 'YHR129C', 'YJR076C', 'YKR054C', 'YLL049W', 'YLR254C', 'YML085C', 'YML124C', 'YMR198W', 'YMR294W', 'YMR299C', 'YOR269W', 'YPL155C', 'YPL174C', 'YPL269W', 'YPR141C']"
cytoplasmic stress granule,89,"['YAL035W', 'YAL036C', 'YBL016W', 'YBR072W', 'YBR079C', 'YBR127C', 'YBR143C', 'YBR160W', 'YBR212W', 'YCL011C', 'YCL037C', 'YCR077C', 'YDL053C', 'YDL134C', 'YDL140C', 'YDL160C', 'YDL166C', 'YDL167C', 'YDR023W', 'YDR172W', 'YDR293C', 'YDR429C', 'YDR432W', 'YDR502C', 'YDR515W', 'YDR533C', 'YER110C', 'YER165W', 'YER176W', 'YER177W', 'YFL045C', 'YGL009C', 'YGL049C', 'YGL105W', 'YGL173C', 'YGL245W', 'YGR155W', 'YGR162W', 'YGR178C', 'YGR185C', 'YGR214W', 'YGR234W', 'YGR250C', 'YGR271W', 'YHL034C', 'YHR082C', 'YHR121W', 'YHR186C', 'YIR026C', 'YJL128C', 'YJR007W', 'YJR137C', 'YKL035W', 'YKL056C', 'YKL081W', 'YKL181W', 'YKL204W', 'YKR059W', 'YLR180W', 'YLR192C', 'YLR244C', 'YLR249W', 'YLR287C-A', 'YML117W', 'YMR012W', 'YMR146C', 'YMR246W', 'YMR260C', 'YMR309C', 'YNL016W', 'YNL085W', 'YNL161W', 'YNL197C', 'YNL207W', 'YNL209W', 'YNL255C', 'YOL111C', 'YOL123W', 'YOL139C', 'YOR151C', 'YOR204W', 'YOR303W', 'YOR361C', 'YPL009C', 'YPL048W', 'YPL184C', 'YPL280W', 'YPR129W', 'YPR163C']"
cytosolic large ribosomal subunit,99,"['RDN25-1', 'RDN25-2', 'RDN5-1', 'RDN5-2', 'RDN5-3', 'RDN5-4', 'RDN5-5', 'RDN5-6', 'RDN58-1', 'RDN58-2', 'YBL027W', 'YBL087C', 'YBL092W', 'YBR031W', 'YBR084C-A', 'YBR191W', 'YBR267W', 'YDL075W', 'YDL081C', 'YDL082W', 'YDL126C', 'YDL130W', 'YDL133C-A', 'YDL136W', 'YDL184C', 'YDL191W', 'YDR012W', 'YDR101C', 'YDR333C', 'YDR382W', 'YDR418W', 'YDR471W', 'YDR500C', 'YEL054C', 'YER117W', 'YFL034C-A', 'YFR031C-A', 'YFR032C-A', 'YGL030W', 'YGL031C', 'YGL076C', 'YGL099W', 'YGL103W', 'YGL135W', 'YGL147C', 'YGR034W', 'YGR085C', 'YGR148C', 'YHL001W', 'YHL033C', 'YHR010W', 'YHR141C', 'YHR170W', 'YIL018W', 'YIL052C', 'YIL133C', 'YIL148W', 'YJL177W', 'YJL189W', 'YJR094W-A', 'YKL006W', 'YKL082C', 'YKL180W', 'YKR094C', 'YLL045C', 'YLR029C', 'YLR061W', 'YLR075W', 'YLR185W', 'YLR325C', 'YLR340W', 'YLR344W', 'YLR387C', 'YLR406C', 'YLR448W', 'YML073C', 'YMR121C', 'YMR142C', 'YMR194W', 'YMR242C', 'YNL067W', 'YNL069C', 'YNL162W', 'YNL227C', 'YNL301C', 'YOL039W', 'YOL120C', 'YOL127W', 'YOR063W', 'YOR234C', 'YOR312C', 'YPL079W', 'YPL131W', 'YPL143W', 'YPL198W', 'YPL220W', 'YPL249C-A', 'YPR043W', 'YPR102C']"
cytosolic ribosome,180,"['RDN18-1', 'RDN18-2', 'RDN25-1', 'RDN25-2', 'RDN5-1', 'RDN5-2', 'RDN5-3', 'RDN5-4', 'RDN5-5', 'RDN5-6', 'RDN58-1', 'RDN58-2', 'YAL035W', 'YBL027W', 'YBL072C', 'YBL087C', 'YBL092W', 'YBR031W', 'YBR048W', 'YBR084C-A', 'YBR101C', 'YBR181C', 'YBR189W', 'YBR191W', 'YBR267W', 'YCR031C', 'YCR077C', 'YDL040C', 'YDL061C', 'YDL075W', 'YDL081C', 'YDL082W', 'YDL083C', 'YDL126C', 'YDL130W', 'YDL133C-A', 'YDL136W', 'YDL184C', 'YDL191W', 'YDR012W', 'YDR025W', 'YDR064W', 'YDR091C', 'YDR101C', 'YDR283C', 'YDR333C', 'YDR382W', 'YDR418W', 'YDR447C', 'YDR450W', 'YDR471W', 'YDR500C', 'YEL034W', 'YEL054C', 'YER074W', 'YER102W', 'YER117W', 'YER131W', 'YFL023W', 'YFL034C-A', 'YFR009W', 'YFR031C-A', 'YFR032C-A', 'YGL030W', 'YGL031C', 'YGL076C', 'YGL099W', 'YGL103W', 'YGL123W', 'YGL135W', 'YGL147C', 'YGL189C', 'YGL195W', 'YGR027C', 'YGR034W', 'YGR054W', 'YGR085C', 'YGR118W', 'YGR148C', 'YGR214W', 'YHL001W', 'YHL015W', 'YHL033C', 'YHR010W', 'YHR013C', 'YHR021C', 'YHR141C', 'YHR170W', 'YHR203C', 'YIL016W', 'YIL018W', 'YIL052C', 'YIL069C', 'YIL133C', 'YIL148W', 'YIR012W', 'YJL136C', 'YJL177W', 'YJL189W', 'YJL190C', 'YJL191W', 'YJR047C', 'YJR094W-A', 'YJR123W', 'YJR145C', 'YKL006W', 'YKL082C', 'YKL156W', 'YKL180W', 'YKR057W', 'YKR094C', 'YLL045C', 'YLR029C', 'YLR048W', 'YLR061W', 'YLR075W', 'YLR167W', 'YLR185W', 'YLR244C', 'YLR249W', 'YLR264W', 'YLR287C-A', 'YLR325C', 'YLR333C', 'YLR340W', 'YLR344W', 'YLR367W', 'YLR387C', 'YLR388W', 'YLR406C', 'YLR441C', 'YLR448W', 'YML024W', 'YML026C', 'YML063W', 'YML073C', 'YMR116C', 'YMR121C', 'YMR142C', 'YMR143W', 'YMR194W', 'YMR230W', 'YMR242C', 'YNL007C', 'YNL014W', 'YNL067W', 'YNL069C', 'YNL096C', 'YNL162W', 'YNL178W', 'YNL227C', 'YNL301C', 'YNL302C', 'YOL039W', 'YOL040C', 'YOL120C', 'YOL121C', 'YOL127W', 'YOR063W', 'YOR096W', 'YOR167C', 'YOR182C', 'YOR234C', 'YOR253W', 'YOR293W', 'YOR312C', 'YOR369C', 'YPL079W', 'YPL081W', 'YPL090C', 'YPL131W', 'YPL143W', 'YPL198W', 'YPL220W', 'YPL249C-A', 'YPR041W', 'YPR043W', 'YPR102C', 'YPR132W', 'YPR163C']"
cytosolic small ribosomal subunit,65,"['RDN18-1', 'RDN18-2', 'YAL035W', 'YBL072C', 'YBR048W', 'YBR181C', 'YBR189W', 'YCR031C', 'YCR077C', 'YDL061C', 'YDL083C', 'YDR025W', 'YDR064W', 'YDR447C', 'YDR450W', 'YER074W', 'YER102W', 'YER131W', 'YGL123W', 'YGL189C', 'YGR027C', 'YGR054W', 'YGR118W', 'YGR214W', 'YHL015W', 'YHR021C', 'YHR203C', 'YIL069C', 'YJL136C', 'YJL190C', 'YJL191W', 'YJR123W', 'YJR145C', 'YKL156W', 'YKR057W', 'YLR048W', 'YLR167W', 'YLR264W', 'YLR287C-A', 'YLR333C', 'YLR367W', 'YLR388W', 'YLR441C', 'YML024W', 'YML026C', 'YML063W', 'YMR116C', 'YMR143W', 'YMR230W', 'YNL007C', 'YNL096C', 'YNL178W', 'YNL302C', 'YOL040C', 'YOL121C', 'YOR096W', 'YOR167C', 'YOR182C', 'YOR293W', 'YOR369C', 'YPL081W', 'YPL090C', 'YPR041W', 'YPR132W', 'YPR163C']"
dehydrodolichyl diphosphate synthase complex,3,"['YBR002C', 'YDL193W', 'YMR101C']"
delta DNA polymerase complex,3,"['YDL102W', 'YJR006W', 'YJR043C']"
dolichyl-phosphate-mannose-protein mannosyltransferase Pmt1p-Pmt2p dimer complex,2,"['YAL023C', 'YDL095W']"
dolichyl-phosphate-mannose-protein mannosyltransferase Pmt1p-Pmt3p dimer complex,2,"['YDL095W', 'YOR321W']"
dolichyl-phosphate-mannose-protein mannosyltransferase Pmt4p homodimer complex,1,['YJR143C']
dolichyl-phosphate-mannose-protein mannosyltransferase Pmt5p-Pmt2p dimer complex,2,"['YAL023C', 'YDL093W']"
dolichyl-phosphate-mannose-protein mannosyltransferase Pmt5p-Pmt3p dimer complex,2,"['YDL093W', 'YOR321W']"
dolichyl-phosphate-mannose-protein mannosyltransferase complex,5,"['YAL023C', 'YDL093W', 'YDL095W', 'YJR143C', 'YOR321W']"
dynactin complex,5,"['YDR106W', 'YHR129C', 'YLL049W', 'YMR294W', 'YPL174C']"
eRF1 methyltransferase complex,2,"['YDR140W', 'YNR046W']"
eisosome,9,"['YDR490C', 'YGR086C', 'YGR130C', 'YIL105C', 'YML052W', 'YMR031C', 'YMR086W', 'YOL100W', 'YPL004C']"
elongin complex,2,"['YNL230C', 'YPL046C']"
endoplasmic reticulum palmitoyltransferase complex,8,"['YBR058C-A', 'YDR062W', 'YGR038W', 'YKL212W', 'YLR246W', 'YLR350W', 'YMR296C', 'YOL110W']"
epsilon DNA polymerase complex,5,"['YBR278W', 'YDR121W', 'YJL090C', 'YNL262W', 'YPR175W']"
eukaryotic 43S preinitiation complex,9,"['YER025W', 'YMR260C', 'YNL244C', 'YPL237W', 'tM(CAU)C', 'tM(CAU)E', 'tM(CAU)J3', 'tM(CAU)O1', 'tM(CAU)P']"
eukaryotic 48S preinitiation complex,11,"['YAL035W', 'YER025W', 'YJR007W', 'YMR260C', 'YOR361C', 'YPR041W', 'tM(CAU)C', 'tM(CAU)E', 'tM(CAU)J3', 'tM(CAU)O1', 'tM(CAU)P']"
eukaryotic translation elongation factor 1 complex,4,"['YAL003W', 'YBR118W', 'YKL081W', 'YPR080W']"
eukaryotic translation initiation factor 2 complex,3,"['YER025W', 'YJR007W', 'YPL237W']"
eukaryotic translation initiation factor 2B complex,5,"['YDR211W', 'YGR083C', 'YKR026C', 'YLR291C', 'YOR260W']"
eukaryotic translation initiation factor 3 complex,7,"['YBR079C', 'YDR429C', 'YLR192C', 'YMR012W', 'YMR146C', 'YMR309C', 'YOR361C']"
eukaryotic translation initiation factor 4F complex,5,"['YGL049C', 'YGR162W', 'YJL138C', 'YKR059W', 'YOL139C']"
exocyst,8,"['YBR102C', 'YDR166C', 'YER008C', 'YGL233W', 'YIL068C', 'YJL085W', 'YLR166C', 'YPR055W']"
exomer complex,5,"['YJL099W', 'YKR027W', 'YLR330W', 'YMR237W', 'YOR299W']"
exosome (RNase complex),18,"['YCR035C', 'YDL111C', 'YDR280W', 'YGR095C', 'YGR158C', 'YGR195W', 'YHR069C', 'YHR081W', 'YLR347C', 'YMR287C', 'YNL189W', 'YNL232W', 'YNR024W', 'YOL021C', 'YOL142W', 'YOR001W', 'YOR076C', 'YPL029W']"
fatty acid synthase complex,2,"['YKL182W', 'YPL231W']"
filamentous actin,2,"['YAL029C', 'YOR326W']"
"gamma-tubulin small complex, spindle pole body",3,"['YHR172W', 'YLR212C', 'YNL126W']"
glucosidase II complex,2,"['YBR229C', 'YDR221W']"
glutaminase complex,2,"['YMR095C', 'YMR096W']"
glutamyl-tRNA(Gln) amidotransferase complex,3,"['YBL080C', 'YGR102C', 'YMR293C']"
glutathione hydrolase complex,2,"['YBR281C', 'YNL191W']"
glycine cleavage complex,4,"['YAL044C', 'YDR019C', 'YFL018C', 'YMR189W']"
glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex,6,"['YDR437W', 'YGR216C', 'YNL038W', 'YPL076W', 'YPL096C-A', 'YPL175W']"
glycosylphosphatidylinositol-mannosyltransferase I complex,2,"['YCL052C', 'YJR013W']"
guanyl-nucleotide exchange factor complex,7,"['YDR137W', 'YDR211W', 'YGR083C', 'YKR026C', 'YLR039C', 'YLR291C', 'YOR260W']"
half bridge of spindle pole body,4,"['YJL019W', 'YLL003W', 'YNL188W', 'YOR257W']"
heterotrimeric G-protein complex,3,"['YHR005C', 'YJR086W', 'YOR212W']"
high-affinity iron permease complex,2,"['YER145C', 'YMR058W']"
histone acetyltransferase complex,46,"['YBL052C', 'YBR081C', 'YBR111W-A', 'YBR198C', 'YCL010C', 'YCR082W', 'YDR145W', 'YDR167W', 'YDR176W', 'YDR181C', 'YDR359C', 'YDR392W', 'YDR448W', 'YEL018W', 'YEL056W', 'YER164W', 'YFL024C', 'YFL039C', 'YGL066W', 'YGL112C', 'YGL252C', 'YGR002C', 'YGR252W', 'YHR090C', 'YHR099W', 'YJL081C', 'YJR082C', 'YLL022C', 'YLR055C', 'YLR455W', 'YMR127C', 'YMR223W', 'YMR236W', 'YNL107W', 'YNL136W', 'YOL148C', 'YOR023C', 'YOR064C', 'YOR213C', 'YOR244W', 'YPL001W', 'YPL047W', 'YPL129W', 'YPL254W', 'YPR023C', 'YPR031W']"
histone deacetylase complex,33,"['YAL013W', 'YBL054W', 'YBR095C', 'YBR103W', 'YCR033W', 'YDL076C', 'YDR155C', 'YDR207C', 'YDR295C', 'YER088C', 'YGL131C', 'YGL194C', 'YIL084C', 'YIL112W', 'YKL185W', 'YKR029C', 'YLR183C', 'YMR053C', 'YMR075W', 'YMR176W', 'YMR263W', 'YNL021W', 'YNL097C', 'YNL309W', 'YNL330C', 'YOL004W', 'YOL068C', 'YOR279C', 'YPL139C', 'YPL181W', 'YPR023C', 'YPR068C', 'YPR179C']"
holo TFIIH complex,11,"['YDL108W', 'YDR079C-A', 'YDR311W', 'YDR460W', 'YER171W', 'YIL143C', 'YLR005W', 'YOR352W', 'YPL122C', 'YPR025C', 'YPR056W']"
