phenotype,count,Systematic Name
RNA accumulation: normal,17,"['YDL148C', 'YDR449C', 'YPR088C', 'YGL073W', 'YCR057C', 'YLR222C', 'YML105C', 'YMR229C', 'YOR001W', 'YDL153C', 'YML093W', 'YKL099C', 'YML091C', 'YLR129W', 'YER082C', 'YNL309W', 'YCR020C']"
RNA localization: abnormal,45,"['YFR001W', 'YNL267W', 'YGR185C', 'YOR166C', 'YOL021C', 'YNL207W', 'YHR069C', 'YDL014W', 'YKR002W', 'YGR024C', 'YAL029C', 'YER107C', 'YLR272C', 'YOR048C', 'YEL026W', 'YAR002W', 'YDR292C', 'YMR080C', 'YGR063C', 'YKR092C', 'YHR081W', 'YFR031C', 'YLR086W', 'YML107C', 'YML026C', 'YGR159C', 'YKL006W', 'YLR197W', 'YGL076C', 'YIL118W', 'YBL097W', 'YDR418W', 'YGR090W', 'YDR325W', 'YML010W', 'YOR046C', 'YJL080C', 'YOR001W', 'YLR061W', 'YKL074C', 'YDR335W', 'YOR310C', 'YOR119C', 'YJL061W', 'YLR048W']"
RNA localization: decreased,1,['YDR159W']
RNA modification: abnormal,25,"['YNL119W', 'YGR024C', 'YPL101W', 'YKL025C', 'YIL008W', 'YMR312W', 'YHR111W', 'YML014W', 'YAL020C', 'YGR150C', 'YKL110C', 'YPL169C', 'YBL071W-A', 'YGL169W', 'YLR277C', 'YGR200C', 'YLR384C', 'YDR228C', 'YPL086C', 'YKL059C', 'YOR251C', 'YGL094C', 'YDL047W', 'YPL204W', 'YGL211W']"
RNA modification: absent,23,"['YMR023C', 'YGR262C', 'YNL119W', 'YKR095W-A', 'YKR038C', 'YGL236C', 'YOR243C', 'YDL033C', 'YOR239W', 'YIL008W', 'YDR165W', 'YGL192W', 'YHR111W', 'YPL157W', 'YDL104C', 'YBR057C', 'YNL061W', 'YNR004W', 'YGL169W', 'YNR046W', 'YML005W', 'YNL022C', 'YGL211W']"
RNA modification: decreased,24,"['YDL208W', 'YGR262C', 'YNL210W', 'YKR002W', 'YOR006C', 'YDR083W', 'YNL292W', 'YOR243C', 'YDL033C', 'YPL212C', 'YFL001W', 'YBR061C', 'YPL157W', 'YML014W', 'YNL061W', 'YNL196C', 'YGL063W', 'YDR228C', 'YOR251C', 'YLR175W', 'YDL047W', 'YPL204W', 'YGL130W', 'YLR430W']"
RNA modification: decreased rate,1,['YLR192C']
RNA modification: increased,3,"['YDR228C', 'YER165W', 'YOR001W']"
UV resistance: decreased,342,"['YJR017C', 'YDR268W', 'YCR009C', 'YNL250W', 'YML013W', 'YML008C', 'YBL025W', 'YML007W', 'YMR024W', 'YJL153C', 'YDR225W', 'YGR135W', 'YNL199C', 'YNL225C', 'YDR540C', 'YJR144W', 'YPL040C', 'YPL005W', 'YMR025W', 'YHR205W', 'YGR122W', 'YDR224C', 'YMR007W', 'YLR243W', 'YDR334W', 'YAR029W', 'YMR006C', 'YPL250C', 'YBL008W', 'YOL004W', 'YHR158C', 'YPL161C', 'YPR124W', 'YNL119W', 'YBR098W', 'YOR039W', 'YDL003W', 'YAR002W', 'YAL040C', 'YML012W', 'YMR017W', 'YBR175W', 'YMR190C', 'YML019W', 'YDR207C', 'YLR235C', 'YOR035C', 'YCR053W', 'YDR432W', 'YER173W', 'YDR289C', 'YJR068W', 'YNL307C', 'YMR023C', 'YJL047C', 'YLL039C', 'YNL215W', 'YAL007C', 'YPR096C', 'YLR368W', 'YDR092W', 'YHL005C', 'YHR081W', 'YML102W', 'YER016W', 'YAL021C', 'YDR364C', 'YHL023C', 'YGL175C', 'YDL072C', 'YHR025W', 'YBL088C', 'YER044C', 'YDR484W', 'YPL120W', 'YOR001W', 'YLR069C', 'YDR378C', 'YLR052W', 'YDR496C', 'YMR044W', 'YGR070W', 'YAR003W', 'YKL114C', 'YLR393W', 'YML047W-A', 'YML003W', 'YOL009C', 'YJR035W', 'YDR363W-A', 'YMR016C', 'YBR088C', 'YCL007C', 'YPL055C', 'YPL265W', 'YLR261C', 'YAL022C', 'YGL224C', 'YER092W', 'YDR004W', 'YDR079C-A', 'YHR146W', 'YOR036W', 'YMR003W', 'YLR288C', 'YPL020C', 'YOR257W', 'YPL271W', 'YOR346W', 'YAL009W', 'YLR039C', 'YMR018W', 'YDR194C', 'YBR207W', 'YPR018W', 'YAL002W', 'YKR095W', 'YPL022W', 'YLR357W', 'YDL013W', 'YML001W', 'YMR077C', 'YMR011W', 'YPL240C', 'YER068W', 'YAL027W', 'YLR447C', 'YMR030W', 'YJR052W', 'YGL237C', 'YHL031C', 'YHR147C', 'YML052W', 'YNR052C', 'YDR419W', 'YOR290C', 'YGL227W', 'YBL089W', 'YER171W', 'YML030W', 'YAL008W', 'YML005W', 'YMR193C-A', 'YPL122C', 'YMR152W', 'YPL153C', 'YBR114W', 'YLR056W', 'YIL021W', 'YCL037C', 'YOL034W', 'YMR263W', 'YPL062W', 'YAL058W', 'YKL167C', 'YAL015C', 'YPL167C', 'YMR008C', 'YEL019C', 'YHR100C', 'YDR388W', 'YLR268W', 'YMR019W', 'YMR010W', 'YOR262W', 'YHL019C', 'YOR137C', 'YER095W', 'YBR174C', 'YDR470C', 'YKL016C', 'YOR106W', 'YML095C', 'YGL058W', 'YBR099C', 'YPR135W', 'YBR195C', 'YPL191C', 'YJL124C', 'YML029W', 'YOR368W', 'YMR020W', 'YMR304C-A', 'YBR138C', 'YDR076W', 'YOR386W', 'YLL036C', 'YMR012W', 'YMR201C', 'YJL140W', 'YMR048W', 'YKL150W', 'YPL129W', 'YBR101C', 'YIL143C', 'YJR018W', 'YMR304W', 'YHR134W', 'YMR009W', 'YJL092W', 'YOL076W', 'YDL101C', 'YGL087C', 'YBR289W', 'YGL244W', 'YLR426W', 'YNR006W', 'YDL041W', 'YIL139C', 'YEL037C', 'YKL109W', 'YGR252W', 'YML028W', 'YML032C', 'YAL005C', 'YML057C-A', 'YHR038W', 'YMR198W', 'YNL296W', 'YDR138W', 'YLR005W', 'YPL035C', 'YBR136W', 'YGL070C', 'YDR323C', 'YHL021C', 'YGR020C', 'YLL043W', 'YMR242C', 'YGL150C', 'YAR031W', 'YGR244C', 'YER188W', 'YNL246W', 'YEL051W', 'YFR052W', 'YAR035W', 'YAR042W', 'YLL002W', 'YIL031W', 'YLR032W', 'YMR029C', 'YLR257W', 'YAR028W', 'YAR007C', 'YNL312W', 'YOR201C', 'YGL229C', 'YGL031C', 'YOR352W', 'YLR007W', 'YPL139C', 'YAL017W', 'YPR103W', 'YGL163C', 'YPL042C', 'YBL090W', 'YER111C', 'YJR006W', 'YDR409W', 'YFR034C', 'YKL213C', 'YPR164W', 'YPL115C', 'YLR091W', 'YER162C', 'YDR460W', 'YMR091C', 'YMR228W', 'YPL046C', 'YCR024C', 'YML057W', 'YHR004C', 'YER116C', 'YML051W', 'YNL201C', 'YER030W', 'YHL011C', 'YDR386W', 'YOR211C', 'YKL212W', 'YMR188C', 'YIL128W', 'YDR405W', 'YLR383W', 'YGR258C', 'YAR023C', 'YOR083W', 'YML002W', 'YOL012C', 'YLR111W', 'YCR081W', 'YAL019W', 'YBR023C', 'YIL032C', 'YDR369C', 'YDR065W', 'YNL107W', 'YKL057C', 'YMR241W', 'YMR015C', 'YGR270W', 'YNL139C', 'YGR217W', 'YPL188W', 'YGL071W', 'YOL094C', 'YDR195W', 'YDR217C', 'YNL177C', 'YAL028W', 'YPL174C', 'YBR194W', 'YOR231W', 'YKL048C', 'YBL038W', 'YPL104W', 'YNL273W', 'YBR082C', 'YLR430W', 'YHL025W', 'YLL048C', 'YCR066W', 'YHR013C', 'YLR067C', 'YMR039C', 'YAR030C', 'YPR056W', 'YPL194W', 'YJR090C', 'YAR020C', 'YKL113C', 'YML034C-A', 'YLR083C', 'YKL002W', 'YML011C', 'YDL059C', 'YMR282C', 'YPR134W', 'YML061C', 'YML037C', 'YOL086C']"
UV resistance: increased,11,"['YML020W', 'YOL052C', 'YER171W', 'YML034C-A', 'YMR011W', 'YLR176C', 'YMR010W', 'YMR022W', 'YAL019W', 'YKL032C', 'YLR329W']"
