phenotype,count,Systematic Name
petite-negative,32,"['YOR297C', 'YLR418C', 'YCL044C', 'YNL315C', 'YOL081W', 'YOR360C', 'YBL030C', 'YHR114W', 'YJL180C', 'YPR040W', 'YEL020W-A', 'YGR132C', 'YML091C', 'YJR062C', 'YIL098C', 'YCL004W', 'YHR025W', 'YHR005C-A', 'YCR053W', 'YKL141W', 'YMR115W', 'YNL121C', 'YPR024W', 'YBR091C', 'YJR121W', 'YGR178C', 'YPL098C', 'YOR370C', 'YDL229W', 'YHL020C', 'YMR195W', 'YJL054W']"
pexophagy: absent,18,"['YLL042C', 'YDR108W', 'YCR068W', 'YHR030C', 'YFL039C', 'YBL105C', 'YJL036W', 'YLR332W', 'YPR049C', 'YFR021W', 'YHR171W', 'YJL178C', 'YBR128C', 'YBL078C', 'YPL149W', 'YJL185C', 'YGL180W', 'YDL113C']"
pexophagy: decreased,1,['YLR423C']
pexophagy: decreased rate,1,['YDR108W']
pexophagy: delayed,3,"['YOR008C', 'YOL105C', 'YJL095W']"
pexophagy: increased,1,['YJL185C']
pexophagy: normal,4,"['YLR189C', 'YLR431C', 'YOL082W', 'YLR113W']"
pheromone production: abnormal,1,['YAL024C']
pheromone production: absent,1,['YDR461W']
pheromone production: decreased,17,"['YER008C', 'YCR040W', 'YMR274C', 'YDR410C', 'YLR362W', 'YDL159W', 'YDL090C', 'YGL167C', 'YHR084W', 'YDR461W', 'YMR043W', 'YOR212W', 'YDR103W', 'YDR227W', 'YLR442C', 'YJR117W', 'YGL025C']"
pheromone production: increased,1,['YFL026W']
pheromone production: normal,1,['YDR461W']
pheromone sensitivity: abnormal,9,"['YFR008W', 'YNL127W', 'YJR086W', 'YAL040C', 'YMR029C', 'YLR238W', 'YMR052W', 'YJL157C', 'YDR200C']"
pheromone sensitivity: absent,8,"['YLR362W', 'YDL159W', 'YHR084W', 'YDR103W', 'YFL026W', 'YLR442C', 'YOR212W', 'YDR227W']"
pheromone sensitivity: decreased,18,"['YBL016W', 'YHR013C', 'YJR086W', 'YAL040C', 'YIL095W', 'YOL062C', 'YNR047W', 'YOR322C', 'YNL197C', 'YKL116C', 'YNL161W', 'YCR091W', 'YDL214C', 'YBR129C', 'YER124C', 'YCL024W', 'YJL141C', 'YER167W']"
pheromone sensitivity: increased,14,"['YBL016W', 'YNL267W', 'YBR059C', 'YKL178C', 'YGL024W', 'YMR116C', 'YGR179C', 'YOR124C', 'YIL015W', 'YBR082C', 'YLR452C', 'YER124C', 'YNL027W', 'YER167W']"
pheromone sensitivity: normal,5,"['YNL267W', 'YOR281C', 'YLR197W', 'YOL156W', 'YHR075C']"
pheromone-induced cell cycle arrest: abnormal,1,['YAL040C']
pheromone-induced cell cycle arrest: absent,13,"['YBL016W', 'YHR005C', 'YAL040C', 'YHL007C', 'YFL026W', 'YLR362W', 'YDL159W', 'YHR084W', 'YDR103W', 'YDR227W', 'YJL157C', 'YOR212W', 'YLR442C']"
pheromone-induced cell cycle arrest: decreased,10,"['YLR088W', 'YKL178C', 'YCL032W', 'YMR043W', 'YNL271C', 'YMR052W', 'YMR231W', 'YPL256C', 'YFL026W', 'YPL049C']"
pheromone-induced cell cycle arrest: normal,1,['YNL161W']
plasma membrane morphology: abnormal,4,"['YGR086C', 'YMR086W', 'YPR149W', 'YPR051W']"
polyploidy: increased,11,"['YOR198C', 'YNL188W', 'YPL209C', 'YOR257W', 'YGL075C', 'YJR089W', 'YER155C', 'YPL255W', 'YDL028C', 'YML031W', 'YGR098C']"
polyploidy: increased rate,1,['YNL197C']
position of spindle pole body: abnormal,8,"['YER008C', 'YLR319C', 'YBR109C', 'YLL003W', 'YAR007C', 'YIL026C', 'YIL149C', 'YGL216W']"
position of spindle pole body: normal,1,['YHR172W']
prion formation: decreased,77,"['YPL226W', 'YDR277C', 'YLR372W', 'YAL037W', 'YLR168C', 'YBL098W', 'YNR022C', 'YMR257C', 'YBL090W', 'YMR048W', 'YNL259C', 'YGR135W', 'YKL213C', 'YNL294C', 'YOR363C', 'YHR030C', 'YHR189W', 'YKR050W', 'YBR200W', 'YDR069C', 'YPL250C', 'YMR207C', 'YAL039C', 'YNL078W', 'YDL068W', 'YOR090C', 'YPL259C', 'YIL084C', 'YNL297C', 'YOL049W', 'YGL227W', 'YKR067W', 'YJR133W', 'YPL109C', 'YNL129W', 'YOL072W', 'YKL038W', 'YOR241W', 'YPL102C', 'YDL085W', 'YNL107W', 'YMR015C', 'YLL039C', 'YMR245W', 'YGR210C', 'YER090W', 'YMR244C-A', 'YML034W', 'YIL017C', 'YOR291W', 'YAL020C', 'YJR062C', 'YLR250W', 'YDR401W', 'YDR364C', 'YGL234W', 'YMR256C', 'YGL165C', 'YKL185W', 'YNR031C', 'YPL145C', 'YLR059C', 'YNL046W', 'YOR018W', 'YOR322C', 'YOR047C', 'YMR016C', 'YDR506C', 'YHR098C', 'YCL028W', 'YPL216W', 'YLR304C', 'YDR049W', 'YOR316C', 'YOR107W', 'YNL098C', 'YML089C']"
prion formation: increased,56,"['YDR159W', 'YGL008C', 'YDL076C', 'YGR240C', 'YLR320W', 'YIL028W', 'YJR063W', 'YOR197W', 'YDR156W', 'YOR043W', 'YML042W', 'YCR059C', 'YGR088W', 'YIL156W', 'YPL179W', 'YEL013W', 'YOR047C', 'YCL001W-A', 'YFR010W', 'YPR141C', 'YNL109W', 'YPL133C', 'YDR532C', 'YBL051C', 'YIL038C', 'YPR164W', 'YER016W', 'YAL021C', 'YFL031W', 'YIL090W', 'YNR067C', 'YKR057W', 'YHR134W', 'YGR142W', 'YHR008C', 'YDL032W', 'YHR079C', 'YHL020C', 'YKL032C', 'YAL047C', 'YIL029C', 'YOR295W', 'YDL020C', 'YDR014W', 'YBR201W', 'YNL302C', 'YDL188C', 'YDR006C', 'YGL121C', 'YPR158W', 'YJR104C', 'YMR037C', 'YDR505C', 'YBR093C', 'YCR065W', 'YOR080W']"
prion inheritance: absent,1,['YPL106C']
prion inheritance: decreased,1,['YLL026W']
prion loss: absent,1,['YPL106C']
prion loss: decreased,4,"['YPR158W', 'YLL026W', 'YGR142W', 'YNL007C']"
prion loss: increased,21,"['YPL226W', 'YJR086W', 'YBL075C', 'YNL007C', 'YOR104W', 'YLL026W', 'YNL077W', 'YPL106C', 'YBL051C', 'YER103W', 'YCL028W', 'YLL024C', 'YGR142W', 'YHR135C', 'YBR112C', 'YPR154W', 'YNL064C', 'YBR169C', 'YAL005C', 'YGL121C', 'YPR158W']"
prion loss: normal,1,['YNL077W']
protein activity: abnormal,1,['YOL086C']
protein activity: absent,11,"['YCR079W', 'YDR232W', 'YLR259C', 'YOR278W', 'YDR539W', 'YDL141W', 'YJR122W', 'YNR016C', 'YGL040C', 'YML021C', 'YOR175C']"
protein activity: decreased,75,"['YDR267C', 'YDR173C', 'YKL182W', 'YCL026C-A', 'YMR042W', 'YGL195W', 'YGR233C', 'YNL325C', 'YHR102W', 'YPL161C', 'YEL059C-A', 'YGL179C', 'YKL053C-A', 'YDL120W', 'YCL026C-B', 'YDR089W', 'YER154W', 'YJR034W', 'YER129W', 'YGR257C', 'YAL046C', 'YIL114C', 'YLR218C', 'YDR379C-A', 'YPR160W', 'YCL043C', 'YNL199C', 'YOR090C', 'YJR089W', 'YLL001W', 'YNL055C', 'YDR512C', 'YGL022W', 'YFR034C', 'YLR369W', 'YJL062W-A', 'YOR353C', 'YPL059W', 'YGL018C', 'YBR140C', 'YNL240C', 'YJR122W', 'YGL167C', 'YLL009C', 'YKL137W', 'YNL161W', 'YDL119C', 'YHR008C', 'YOR226C', 'YDL106C', 'YGL220W', 'YKL040C', 'YML061C', 'YIL147C', 'YDR477W', 'YDL020C', 'YKR071C', 'YLL018C-A', 'YLL041C', 'YKL189W', 'YHR116W', 'YIL129C', 'YOR363C', 'YPL075W', 'YDR511W', 'YDL045W-A', 'YBL059C-A', 'YDR043C', 'YDR216W', 'YER145C', 'YPR165W', 'YBR093C', 'YCR065W', 'YKL148C', 'YPL135W']"
protein activity: delayed,2,"['YKR048C', 'YDR009W']"
protein activity: increased,283,"['YBL069W', 'YJL192C', 'YDL194W', 'YGR072W', 'YKR034W', 'YNL325C', 'YPL031C', 'YNL257C', 'YCR009C', 'YBL098W', 'YNR022C', 'YHL040C', 'YLR449W', 'YCR021C', 'YBR010W', 'YGL254W', 'YLR080W', 'YML021C', 'YNL067W', 'YJL042W', 'YHL022C', 'YNL291C', 'YGR087C', 'YCL061C', 'YIL133C', 'YHR015W', 'YEL013W', 'YHL003C', 'YLR270W', 'YNL065W', 'YDR522C', 'YFR010W', 'YHR037W', 'YKL216W', 'YIL038C', 'YHL047C', 'YBR131W', 'YCR024C-A', 'YER055C', 'YPR201W', 'YOR306C', 'YER162C', 'YKR003W', 'YKR036C', 'YGL115W', 'YPL205C', 'YBR182C', 'YFL014W', 'YJL157C', 'YGL255W', 'YFR025C', 'YGL216W', 'YIL073C', 'YMR138W', 'YNL154C', 'YGL059W', 'YDR420W', 'YDR477W', 'YNL085W', 'YDR205W', 'YHR189W', 'YJL172W', 'YER176W', 'YIL007C', 'YPR145W', 'YPR030W', 'YOL076W', 'YHR178W', 'YPR043W', 'YNL201C', 'YNL159C', 'YIL050W', 'YBL008W', 'YHL032C', 'YLR093C', 'YML121W', 'YNL286W', 'YCL026C-A', 'YGR086C', 'YDR080W', 'YGR194C', 'YNL068C', 'YNR034W', 'YHR171W', 'YDR074W', 'YJL178C', 'YDR305C', 'YGR286C', 'YNL119W', 'YNL223W', 'YDR007W', 'YMR134W', 'YOR197W', 'YBR086C', 'YGR080W', 'YHR001W-A', 'YDR089W', 'YOL105C', 'YER179W', 'YBL011W', 'YJR137C', 'YER177W', 'YOL110W', 'YHR150W', 'YGR085C', 'YJL117W', 'YGL210W', 'YPL036W', 'YHL036W', 'YHL034C', 'YDL171C', 'YLR220W', 'YMR164C', 'YBL051C', 'YKR065C', 'YBR106W', 'YHR005C', 'YIL098C', 'YNL240C', 'YHL028W', 'YKL217W', 'YOL104C', 'YBR043C', 'YLR394W', 'YER131W', 'YIL053W', 'YNL206C', 'YPL166W', 'YDL020C', 'YGL162W', 'YDL190C', 'YJL177W', 'YLR178C', 'YDL188C', 'YNL093W', 'YIL015W', 'YGL121C', 'YDR043C', 'YJL151C', 'YBR020W', 'YKL166C', 'YDR245W', 'YGL209W', 'YML035C', 'YNL307C', 'YBR023C', 'YMR139W', 'YKL214C', 'YMR163C', 'YIL052C', 'YIL154C', 'YLR192C', 'YER098W', 'YDL222C', 'YDR183W', 'YGR239C', 'YDL184C', 'YHL007C', 'YIL042C', 'YJR094W-A', 'YJL071W', 'YKL005C', 'YNL030W', 'YNL278W', 'YNL104C', 'YBR009C', 'YLL039C', 'YLR448W', 'YOR043W', 'YOL090W', 'YHR124W', 'YDL120W', 'YBR073W', 'YDR273W', 'YDR092W', 'YJL139C', 'YGR270W', 'YBL060W', 'YEL039C', 'YIL040W', 'YNL082W', 'YBL091C-A', 'YBR298C', 'YNL066W', 'YIL017C', 'YHL024W', 'YNR044W', 'YNL219C', 'YGL208W', 'YNL301C', 'YOL001W', 'YGL035C', 'YML060W', 'YDL042C', 'YBR006W', 'YCR027C', 'YHL023C', 'YIL006W', 'YIL065C', 'YBR083W', 'YNL161W', 'YML036W', 'YGR142W', 'YDR244W', 'YGR097W', 'YPR185W', 'YDL179W', 'YDR388W', 'YOR175C', 'YLL042C', 'YNL083W', 'YFR013W', 'YGR248W', 'YIR023W', 'YKL189W', 'YKR071C', 'YML123C', 'YJL136C', 'YNR055C', 'YHR108W', 'YLR146C', 'YCR065W', 'YDR496C', 'YKL211C', 'YKR027W', 'YHR184W', 'YNL281W', 'YDR058C', 'YGL008C', 'YHR123W', 'YLR059C', 'YMR042W', 'YGR221C', 'YLR032W', 'YCR033W', 'YJR095W', 'YCR026C', 'YPR131C', 'YOL108C', 'YMR087W', 'YCR068W', 'YLR154C', 'YNL333W', 'YDL219W', 'YIL064W', 'YDR506C', 'YKR019C', 'YPL206C', 'YNL241C', 'YLR024C', 'YBR275C', 'YJL138C', 'YHL006C', 'YKL068W', 'YOL151W', 'YHR031C', 'YOL091W', 'YOR185C', 'YNR019W', 'YIL002C', 'YIL153W', 'YHR008C', 'YDL133C-A', 'YPL087W', 'YGL133W', 'YJL141C', 'YER056C', 'YML100W', 'YOR054C', 'YHR161C', 'YIL023C', 'YIL132C', 'YML027W', 'YGL063W', 'YMR100W', 'YHL009C', 'YIL005W', 'YNL098C', 'YER062C', 'YMR216C', 'YOL088C', 'YHR104W', 'YBR295W']"
protein activity: normal,1,['YDL120W']
protein secretion: abnormal,19,"['YDL192W', 'YER157W', 'YDL160C', 'YOL018C', 'YOR109W', 'YER003C', 'YKL212W', 'YFL038C', 'YIL076W', 'YDL145C', 'YGL167C', 'YEL059W', 'YAL024C', 'YLR207W', 'YGL137W', 'YDR189W', 'YDL099W', 'YBL040C', 'YLR114C']"
protein secretion: absent,17,"['YBR080C', 'YKL006C-A', 'YBR217W', 'YKL196C', 'YPL232W', 'YCL008C', 'YHR171W', 'YBL078C', 'YDR407C', 'YDR517W', 'YMR218C', 'YOL018C', 'YPL149W', 'YML077W', 'YPR173C', 'YLR262C', 'YDL099W']"
protein secretion: decreased,70,"['YNL267W', 'YIL068C', 'YLR337C', 'YAL016W', 'YGR262C', 'YDR164C', 'YMR013C', 'YNL243W', 'YDL192W', 'YJL085W', 'YPR122W', 'YPR181C', 'YDR027C', 'YDR126W', 'YOL018C', 'YGL233W', 'YKL196C', 'YLR240W', 'YPL101W', 'YIL008W', 'YKL212W', 'YDL195W', 'YFL005W', 'YLR166C', 'YLR208W', 'YLL050C', 'YFL045C', 'YBR102C', 'YIL064W', 'YKR020W', 'YDR170C', 'YER136W', 'YMR079W', 'YMR312W', 'YLR292C', 'YML014W', 'YER008C', 'YBR080C', 'YKL110C', 'YDL058W', 'YML105C', 'YIL118W', 'YNR026C', 'YDR498C', 'YDL072C', 'YDR407C', 'YLL040C', 'YDR120C', 'YDR166C', 'YDR484W', 'YDR208W', 'YDR189W', 'YBR279W', 'YGL137W', 'YGR009C', 'YGR200C', 'YJL029C', 'YLR268W', 'YPL085W', 'YNL287W', 'YBL050W', 'YLR120C', 'YPL086C', 'YOR329C', 'YDR238C', 'YMR218C', 'YOR254C', 'YPR055W', 'YNL272C', 'YGL206C']"
protein secretion: increased,51,"['YKL007W', 'YDR276C', 'YNL322C', 'YPL023C', 'YJL183W', 'YDR179C', 'YDR179W-A', 'YBL082C', 'YLR210W', 'YGL027C', 'YER020W', 'YDR229W', 'YOR067C', 'YML013W', 'YLR232W', 'YEL072W', 'YDR257C', 'YGR061C', 'YOR355W', 'YGR042W', 'YGL237C', 'YPR189W', 'YNR030W', 'YNL219C', 'YGR227W', 'YLR024C', 'YOR179C', 'YOR002W', 'YPR101W', 'YPL253C', 'YGL251C', 'YJL007C', 'YNR032C-A', 'YPL227C', 'YGR054W', 'YPR194C', 'YDR120C', 'YKL032C', 'YDR388W', 'YBL081W', 'YPL221W', 'YER143W', 'YLR407W', 'YGL242C', 'YGL203C', 'YOR058C', 'YNL179C', 'YGL226C-A', 'YDR245W', 'YLR357W', 'YDR435C']"
protein transport: abnormal,95,"['YBR236C', 'YDR437W', 'YOR103C', 'YBR276C', 'YML115C', 'YKL073W', 'YLR110C', 'YML013W', 'YOL111C', 'YPL242C', 'YLR065C', 'YLR374C', 'YDR334W', 'YOR154W', 'YBR041W', 'YMR274C', 'YER083C', 'YLR087C', 'YCR044C', 'YHR004C', 'YOR164C', 'YMR036C', 'YBR196C', 'YDR414C', 'YHR181W', 'YBL082C', 'YML012W', 'YMR197C', 'YGR216C', 'YBL051C', 'YGL020C', 'YBR106W', 'YJL062W', 'YBL083C', 'YOL012C', 'YDL099W', 'YLR111W', 'YFL025C', 'YDR310C', 'YDR485C', 'YOR085W', 'YDR245W', 'YDR108W', 'YJL183W', 'YNL107W', 'YJR118C', 'YDR372C', 'YGL200C', 'YDR300C', 'YPL210C', 'YAL007C', 'YIR033W', 'YJL123C', 'YDL100C', 'YMR214W', 'YDR227W', 'YGL228W', 'YAR002C-A', 'YHR078W', 'YNR051C', 'YDL095W', 'YLR242C', 'YPL082C', 'YLR440C', 'YDR482C', 'YFR013W', 'YLR268W', 'YML012C-A', 'YBL050W', 'YDR425W', 'YBL040C', 'YBL038W', 'YBR290W', 'YDR517W', 'YER140W', 'YJR117W', 'YNL080C', 'YAL011W', 'YNL048W', 'YJR075W', 'YLR085C', 'YOR355W', 'YMR031W-A', 'YBL020W', 'YHR098C', 'YJL077C', 'YIL039W', 'YML041C', 'YDR434W', 'YPR119W', 'YDR189W', 'YBR036C', 'YDR469W', 'YGL084C', 'YNL087W']"
protein transport: absent,1,['YDR189W']
protein transport: decreased,17,"['YJL099W', 'YKR068C', 'YPR176C', 'YPR088C', 'YPR028W', 'YLL050C', 'YIL004C', 'YGL167C', 'YLR262C', 'YMR218C', 'YLR330W', 'YLL040C', 'YLR378C', 'YML077W', 'YJL029C', 'YBR164C', 'YAL015C']"
protein transport: delayed,3,"['YER008C', 'YBR131W', 'YLR262C']"
protein transport: increased rate,1,['YOR109W']
protein/peptide accumulation: abnormal,43,"['YNL267W', 'YDR276C', 'YDR183W', 'YGL106W', 'YML048W', 'YDL217C', 'YHR181W', 'YPL031C', 'YLR404W', 'YGR284C', 'YKL089W', 'YDR014W-A', 'YGL200C', 'YOR266W', 'YPL240C', 'YPL210C', 'YPR088C', 'YHR142W', 'YOR023C', 'YFL036W', 'YER125W', 'YOL034W', 'YDR099W', 'YAL015C', 'YML105C', 'YDL212W', 'YPL243W', 'YNR046W', 'YCL005W', 'YNL183C', 'YKL122C', 'YDR140W', 'YFL048C', 'YJL207C', 'YLR341W', 'YDR388W', 'YGL054C', 'YER143W', 'YJL030W', 'YDR468C', 'YDL092W', 'YGR225W', 'YNL126W']"
protein/peptide accumulation: absent,15,"['YKR016W', 'YLR203C', 'YBR091C', 'YGR222W', 'YMR150C', 'YOR278W', 'YER153C', 'YCL057C-A', 'YMR035W', 'YDR310C', 'YHR005C-A', 'YDL059C', 'YMR257C', 'YNR045W', 'YKL148C']"
protein/peptide accumulation: decreased,415,"['YOR272W', 'YFR031C-A', 'YJR017C', 'YGL040C', 'YML013W', 'YJR070C', 'YOR253W', 'YLR336C', 'YOR037W', 'YKR024C', 'YDL063C', 'YOL026C', 'YHR205W', 'YHR135C', 'YDR140W', 'YAL043C', 'YHR030C', 'YNL271C', 'YBL074C', 'YDL045W-A', 'YPL266W', 'YJR086W', 'YMR267W', 'YGL125W', 'YLL034C', 'YJL175W', 'YCR079W', 'YMR005W', 'YDR493W', 'YEL020W-A', 'YKR020W', 'YPR066W', 'YBL021C', 'YLR203C', 'YKR099W', 'YOR149C', 'YPL079W', 'YGL119W', 'YLR145W', 'YMR224C', 'YDR511W', 'YKL166C', 'YPL178W', 'YLR192C', 'YER040W', 'YDR054C', 'YDR372C', 'YNL149C', 'YIL046W', 'YPL239W', 'YLR448W', 'YBR084C-A', 'YOL139C', 'YAL021C', 'YDR364C', 'YDR339C', 'YDL095W', 'YDL138W', 'YOR001W', 'YFR040W', 'YIR023W', 'YNR038W', 'YLR058C', 'YBL059C-A', 'YPR191W', 'YMR089C', 'YGR274C', 'YDR496C', 'YGR099W', 'YMR032W', 'YKR086W', 'YDR316W', 'YDR176W', 'YDL028C', 'YLR361C', 'YPL237W', 'YKL087C', 'YEL032W', 'YPR120C', 'YGR184C', 'YMR076C', 'YLR024C', 'YNL061W', 'YAL013W', 'YBR095C', 'YDR329C', 'YPR179C', 'YBR036C', 'YBL016W', 'YPL226W', 'YDL194W', 'YNR018W', 'YKL182W', 'YOR076C', 'YNL207W', 'YPR085C', 'YPL031C', 'YPL231W', 'YLR404W', 'YDR072C', 'YER155C', 'YIL148W', 'YBR253W', 'YDR375C', 'YHR006W', 'YPL220W', 'YNL016W', 'YJR143C', 'YOR257W', 'YBL032W', 'YGL043W', 'YMR203W', 'YCL033C', 'YLR417W', 'YDR361C', 'YHR189W', 'YER133W', 'YER165W', 'YGR280C', 'YNL267W', 'YDL040C', 'YDL217C', 'YOR197W', 'YPL211W', 'YEL055C', 'YML017W', 'YNL169C', 'YIR026C', 'YFR031C', 'YGL237C', 'YJR089W', 'YLR215C', 'YFR033C', 'YGL112C', 'YDR145W', 'YNR052C', 'YBR106W', 'YHR204W', 'YOR290C', 'YMR063W', 'YML030W', 'YOL072W', 'YJR007W', 'YMR047C', 'YFR027W', 'YDR232W', 'YML081C-A', 'YMR034C', 'YJR034W', 'YIL021W', 'YGL022W', 'YGR246C', 'YPL099C', 'YBR153W', 'YDL140C', 'YDL042C', 'YNL031C', 'YER042W', 'YNR051C', 'YBR112C', 'YGR145W', 'YCL025C', 'YBR191W', 'YOL041C', 'YEL009C', 'YDL014W', 'YFL029C', 'YNL132W', 'YFL023W', 'YMR269W', 'YOL144W', 'YCL054W', 'YPR010C', 'YPL157W', 'YCR034W', 'YML014W', 'YHR031C', 'YMR116C', 'YGL058W', 'YKL137W', 'YEL053C', 'YLR205C', 'YGL116W', 'YPR094W', 'YGR078C', 'YJR121W', 'YML029W', 'YKL101W', 'YOR370C', 'YLL006W', 'YIL091C', 'YPL063W', 'YPL069C', 'YPL080C', 'YDR159W', 'YLR372W', 'YDL143W', 'YMR257C', 'YNL067W', 'YOR109W', 'YML015C', 'YFL036W', 'YJL115W', 'YML110C', 'YPL129W', 'YNL228W', 'YGL213C', 'YMR304W', 'YCL005W', 'YKL088W', 'YNR053C', 'YJL157C', 'YMR309C', 'YDL074C', 'YHR143W-A', 'YDL077C', 'YDR477W', 'YPL057C', 'YHR116W', 'YLR397C', 'YPR174C', 'YIL134W', 'YOR119C', 'YOL076W', 'YGL207W', 'YML114C', 'YOR297C', 'YDR392W', 'YOR006C', 'YDR315C', 'YLR077W', 'YDR167W', 'YGR181W', 'YNL163C', 'YAL023C', 'YGR132C', 'YDR512C', 'YBL051C', 'YGR252W', 'YKL082C', 'YAL059W', 'YOR205C', 'YDR208W', 'YNL330C', 'YDL020C', 'YCL057C-A', 'YOL008W', 'YDR367W', 'YKL139W', 'YDR295C', 'YDR108W', 'YDR276C', 'YER017C', 'YNL315C', 'YPR075C', 'YOL081W', 'YGR036C', 'YHR199C-A', 'YBR003W', 'YLR329W', 'YDL033C', 'YHR115C', 'YLR051C', 'YOR125C', 'YOL001W', 'YKR016W', 'YHR170W', 'YPR069C', 'YLL009C', 'YNL069C', 'YPR169W', 'YLR242C', 'YOL052C', 'YNL246W', 'YDR299W', 'YKR063C', 'YDR350C', 'YGL078C', 'YDR448W', 'YGR174C', 'YOL027C', 'YLL002W', 'YDL132W', 'YDL160C', 'YER020W', 'YPR131C', 'YJL180C', 'YDR379C-A', 'YLR330W', 'YGL048C', 'YER006W', 'YNL298W', 'YDL075W', 'YDR412W', 'YGR103W', 'YJR135W-A', 'YOL025W', 'YJL054W', 'YBR266C', 'YLR168C', 'YPR103W', 'YNL243W', 'YGL003C', 'YJR063W', 'YEL059C-A', 'YAL025C', 'YLR212C', 'YOL050C', 'YEL026W', 'YKL172W', 'YER111C', 'YGR063C', 'YHR085W', 'YPR016C', 'YKR001C', 'YOR334W', 'YER013W', 'YLR226W', 'YJR055W', 'YOR207C', 'YGR166W', 'YLR310C', 'YBR267W', 'YGL120C', 'YOR294W', 'YLR099W-A', 'YLR089C', 'YOR232W', 'YGR251W', 'YPL096W', 'YDL065C', 'YPR044C', 'YML125C', 'YNL021W', 'YIL110W', 'YNL138W', 'YDR089W', 'YDR116C', 'YCL043C', 'YJR136C', 'YCR047C', 'YHL027W', 'YJR045C', 'YJR152W', 'YKL033W', 'YBR185C', 'YDL207W', 'YLL018C-A', 'YBL072C', 'YLR196W', 'YKR094C', 'YPL158C', 'YKL004W', 'YLR256W', 'YMR014W', 'YHL033C', 'YDR087C', 'YDL035C', 'YKR002W', 'YLR298C', 'YPL210C', 'YPR110C', 'YGR270W', 'YIR033W', 'YNL139C', 'YPR187W', 'YPR082C', 'YKL195W', 'YJL062W-A', 'YOL094C', 'YGR081C', 'YOR287C', 'YMR236W', 'YOR151C', 'YPL060W', 'YBL099W', 'YNR017W', 'YHR005C-A', 'YML098W', 'YKL009W', 'YIL033C', 'YKL040C', 'YGR162W', 'YDR014W', 'YBR161W', 'YLR029C', 'YIR025W', 'YKL210W', 'YLR075W', 'YGR225W', 'YLR048W', 'YOL006C', 'YJL005W', 'YFR001W', 'YDR328C', 'YHR013C', 'YMR297W', 'YER148W', 'YHR066W', 'YBR058C', 'YNL136W', 'YMR039C', 'YLL026W', 'YOR371C', 'YMR049C', 'YNR041C', 'YOR308C', 'YOR030W', 'YPR134W', 'YOR210W', 'YOR335C', 'YDR440W', 'YFL033C', 'YNL098C', 'YMR227C']"
protein/peptide accumulation: decreased rate,1,['YDL190C']
protein/peptide accumulation: delayed,1,['YNL307C']
