physical_interaction_id,count,Systematic Name,physical_interaction
YER113C,7,"['YDL043C', 'YDR503C', 'YER118C', 'YIL120W', 'YKR063C', 'YOR153W', 'YPL246C']",TMN3
YER114C,36,"['YAL041W', 'YBL016W', 'YBR009C', 'YBR010W', 'YBR160W', 'YBR200W', 'YDL156W', 'YDR085C', 'YDR162C', 'YDR259C', 'YDR480W', 'YER032W', 'YER118C', 'YER124C', 'YER158C', 'YER177W', 'YGL190C', 'YGR218W', 'YHL007C', 'YIL144W', 'YJR138W', 'YLR229C', 'YML109W', 'YMR080C', 'YMR124W', 'YMR244W', 'YNL030W', 'YNL031C', 'YNL078W', 'YNL209W', 'YNL298W', 'YOR188W', 'YOR370C', 'YPL038W', 'YPL049C', 'YPL158C']",BOI2
YER116C,27,"['YBL003C', 'YBR009C', 'YBR082C', 'YCR009C', 'YCR039C', 'YDL013W', 'YDL064W', 'YDL116W', 'YDR059C', 'YDR174W', 'YDR388W', 'YDR409W', 'YDR510W', 'YER116C', 'YHR134W', 'YJL187C', 'YLL013C', 'YLL039C', 'YLR150W', 'YML032C', 'YMR072W', 'YNL088W', 'YOR058C', 'YOR144C', 'YOR156C', 'YOR191W', 'YPL031C']",SLX8
YER117W,23,"['YAL024C', 'YBR160W', 'YCL037C', 'YDR361C', 'YDR477W', 'YDR515W', 'YER148W', 'YER151C', 'YFR034C', 'YGL122C', 'YGR103W', 'YJL124C', 'YJL141C', 'YKR081C', 'YML056C', 'YML065W', 'YMR247C', 'YMR319C', 'YNL002C', 'YNL209W', 'YNL255C', 'YNR051C', 'YPL208W']",RPL23B
YER118C,74,"['YAL041W', 'YAL067C', 'YBL007C', 'YBL032W', 'YBL105C', 'YBR023C', 'YCL027W', 'YCL031C', 'YCL032W', 'YDL073W', 'YDL117W', 'YDL204W', 'YDL226C', 'YDR159W', 'YDR216W', 'YDR414C', 'YDR420W', 'YER039C', 'YER040W', 'YER082C', 'YER113C', 'YER114C', 'YER118C', 'YFL062W', 'YGL173C', 'YGL201C', 'YGL203C', 'YGR014W', 'YGR178C', 'YGR257C', 'YGR295C', 'YHL002W', 'YHL007C', 'YHL048W', 'YHR140W', 'YHR143W', 'YIL144W', 'YIL156W', 'YJL062W', 'YJL128C', 'YJR115W', 'YKL221W', 'YKR027W', 'YLL048C', 'YLR096W', 'YLR113W', 'YLR229C', 'YLR292C', 'YLR314C', 'YLR353W', 'YLR362W', 'YLR372W', 'YLR425W', 'YLR452C', 'YMR032W', 'YMR065W', 'YMR079W', 'YMR109W', 'YNL101W', 'YNL112W', 'YNL139C', 'YNL152W', 'YNL315C', 'YNL331C', 'YOR127W', 'YOR181W', 'YOR188W', 'YOR208W', 'YOR254C', 'YOR311C', 'YPL161C', 'YPL240C', 'YPR032W', 'YPR171W']",SHO1
YER120W,59,"['YAL023C', 'YAR002C-A', 'YAR042W', 'YBR086C', 'YBR106W', 'YCL037C', 'YCL045C', 'YDL019C', 'YDL072C', 'YDL095W', 'YDL204W', 'YDR150W', 'YDR233C', 'YDR434W', 'YEL002C', 'YEL031W', 'YER056C', 'YER110C', 'YER149C', 'YFR004W', 'YGL022W', 'YGL055W', 'YGL122C', 'YGL200C', 'YGR086C', 'YHL020C', 'YHR007C', 'YHR027C', 'YHR073W', 'YHR190W', 'YHR196W', 'YHR200W', 'YIL076W', 'YJL002C', 'YJL095W', 'YJR117W', 'YKL049C', 'YKL065C', 'YKL212W', 'YLR305C', 'YLR324W', 'YLR342W', 'YML012W', 'YML048W', 'YML065W', 'YML072C', 'YML125C', 'YMR049C', 'YMR124W', 'YMR202W', 'YMR216C', 'YNL209W', 'YOR086C', 'YOR117W', 'YOR165W', 'YOR254C', 'YPL154C', 'YPL272C', 'YPR183W']",SCS2
YER122C,47,"['YBL016W', 'YBR164C', 'YDL137W', 'YDL145C', 'YDL160C', 'YDL182W', 'YDL192W', 'YDR238C', 'YDR477W', 'YFL048C', 'YFR004W', 'YGL137W', 'YGL180W', 'YGL200C', 'YGR218W', 'YHL007C', 'YHL034C', 'YHR079C', 'YHR082C', 'YHR135C', 'YHR200W', 'YIL004C', 'YIL035C', 'YIL095W', 'YIR010W', 'YJL095W', 'YJL164C', 'YJL187C', 'YJR059W', 'YKL101W', 'YLL013C', 'YLR026C', 'YLR078C', 'YLR096W', 'YLR178C', 'YLR248W', 'YLR268W', 'YML012W', 'YNL154C', 'YNL209W', 'YNL287W', 'YNL307C', 'YOL113W', 'YPL031C', 'YPL141C', 'YPL153C', 'YPL246C']",GLO3
YER123W,28,"['YBL078C', 'YBR018C', 'YBR084W', 'YBR097W', 'YBR128C', 'YDL077C', 'YDL149W', 'YDR080W', 'YDR135C', 'YDR428C', 'YDR516C', 'YEL013W', 'YGR264C', 'YHL034C', 'YHR135C', 'YKL210W', 'YLL013C', 'YLL024C', 'YLR148W', 'YLR240W', 'YLR396C', 'YMR036C', 'YMR153W', 'YMR231W', 'YNL049C', 'YOL083W', 'YPL045W', 'YPL120W']",YCK3
YER124C,11,"['YBL085W', 'YEL015W', 'YER112W', 'YER114C', 'YHL034C', 'YLL013C', 'YLR362W', 'YML109W', 'YMR080C', 'YNL209W', 'YOR212W']",DSE1
YER125W,326,"['YAL005C', 'YAL038W', 'YBL007C', 'YBL058W', 'YBL078C', 'YBL101C', 'YBR005W', 'YBR009C', 'YBR010W', 'YBR011C', 'YBR044C', 'YBR056W', 'YBR082C', 'YBR083W', 'YBR109C', 'YBR118W', 'YBR154C', 'YBR160W', 'YBR177C', 'YBR182C', 'YBR196C', 'YBR222C', 'YBR290W', 'YBR299W', 'YCL012C', 'YCL028W', 'YCL040W', 'YCL043C', 'YCL061C', 'YCR009C', 'YCR016W', 'YCR024C', 'YDL012C', 'YDL029W', 'YDL051W', 'YDL055C', 'YDL078C', 'YDL086W', 'YDL091C', 'YDL101C', 'YDL123W', 'YDL124W', 'YDL126C', 'YDL130W-A', 'YDL140C', 'YDL145C', 'YDL203C', 'YDL229W', 'YDL230W', 'YDL244W', 'YDR003W', 'YDR047W', 'YDR054C', 'YDR059C', 'YDR061W', 'YDR092W', 'YDR099W', 'YDR120C', 'YDR138W', 'YDR139C', 'YDR165W', 'YDR170C', 'YDR171W', 'YDR177W', 'YDR225W', 'YDR226W', 'YDR234W', 'YDR238C', 'YDR256C', 'YDR296W', 'YDR343C', 'YDR348C', 'YDR388W', 'YDR404C', 'YDR409W', 'YDR432W', 'YDR457W', 'YDR468C', 'YDR477W', 'YDR497C', 'YDR516C', 'YEL012W', 'YEL060C', 'YER091C', 'YER093C', 'YER100W', 'YER101C', 'YER125W', 'YER177W', 'YFL010C', 'YFL039C', 'YFL058W', 'YFR004W', 'YFR022W', 'YFR028C', 'YFR034C', 'YFR051C', 'YGL039W', 'YGL045W', 'YGL062W', 'YGL087C', 'YGL122C', 'YGL137W', 'YGL144C', 'YGL161C', 'YGL180W', 'YGL184C', 'YGL206C', 'YGL208W', 'YGL219C', 'YGL245W', 'YGL255W', 'YGR005C', 'YGR052W', 'YGR055W', 'YGR063C', 'YGR068C', 'YGR086C', 'YGR136W', 'YGR175C', 'YGR186W', 'YGR200C', 'YGR214W', 'YGR252W', 'YGR254W', 'YGR268C', 'YGR287C', 'YGR292W', 'YGR295C', 'YHL002W', 'YHL024W', 'YHL033C', 'YHL034C', 'YHR009C', 'YHR097C', 'YHR112C', 'YHR117W', 'YHR131C', 'YHR135C', 'YHR143W-A', 'YHR165C', 'YHR174W', 'YHR179W', 'YHR183W', 'YHR193C', 'YHR200W', 'YIL021W', 'YIL031W', 'YIL060W', 'YIR001C', 'YIR033W', 'YIR034C', 'YJL025W', 'YJL084C', 'YJL115W', 'YJL140W', 'YJL151C', 'YJL153C', 'YJL164C', 'YJL172W', 'YJL184W', 'YJL198W', 'YJL218W', 'YJR051W', 'YJR059W', 'YJR096W', 'YJR131W', 'YJR149W', 'YJR161C', 'YKL006C-A', 'YKL020C', 'YKL023W', 'YKL069W', 'YKL094W', 'YKL124W', 'YKL128C', 'YKL144C', 'YKL150W', 'YKL152C', 'YKL203C', 'YKL212W', 'YKR009C', 'YKR018C', 'YKR021W', 'YKR049C', 'YKR092C', 'YKR097W', 'YLL024C', 'YLL026W', 'YLL039C', 'YLR017W', 'YLR022C', 'YLR027C', 'YLR069C', 'YLR079W', 'YLR092W', 'YLR134W', 'YLR150W', 'YLR192C', 'YLR206W', 'YLR231C', 'YLR258W', 'YLR291C', 'YLR306W', 'YLR326W', 'YLR342W', 'YLR392C', 'YLR429W', 'YML010W', 'YML013W', 'YML028W', 'YML035C', 'YML048W', 'YML080W', 'YML097C', 'YML098W', 'YML111W', 'YML123C', 'YMR004W', 'YMR022W', 'YMR041C', 'YMR092C', 'YMR120C', 'YMR140W', 'YMR146C', 'YMR171C', 'YMR179W', 'YMR181C', 'YMR182C', 'YMR183C', 'YMR196W', 'YMR197C', 'YMR205C', 'YMR216C', 'YMR257C', 'YMR275C', 'YMR290C', 'YMR295C', 'YMR301C', 'YMR303C', 'YMR315W', 'YMR316W', 'YNL009W', 'YNL030W', 'YNL031C', 'YNL045W', 'YNL058C', 'YNL064C', 'YNL096C', 'YNL117W', 'YNL136W', 'YNL141W', 'YNL157W', 'YNL176C', 'YNL183C', 'YNL209W', 'YNL220W', 'YNL243W', 'YNL271C', 'YNL287W', 'YNL305C', 'YNL334C', 'YNR001C', 'YNR006W', 'YNR011C', 'YNR068C', 'YNR069C', 'YOL005C', 'YOL033W', 'YOL043C', 'YOL122C', 'YOR002W', 'YOR018W', 'YOR036W', 'YOR042W', 'YOR056C', 'YOR057W', 'YOR096W', 'YOR124C', 'YOR138C', 'YOR143C', 'YOR151C', 'YOR156C', 'YOR161C', 'YOR181W', 'YOR209C', 'YOR210W', 'YOR212W', 'YOR224C', 'YOR236W', 'YOR241W', 'YOR251C', 'YOR322C', 'YOR335C', 'YOR362C', 'YOR375C', 'YOR385W', 'YPL004C', 'YPL023C', 'YPL031C', 'YPL077C', 'YPL084W', 'YPL117C', 'YPL139C', 'YPL146C', 'YPL171C', 'YPL176C', 'YPL193W', 'YPL209C', 'YPL222W', 'YPL232W', 'YPL240C', 'YPL258C', 'YPR030W', 'YPR035W', 'YPR074C', 'YPR084W', 'YPR125W', 'YPR135W', 'YPR139C', 'YPR154W', 'YPR159W', 'YPR160W', 'YPR161C', 'YPR181C', 'YPR187W']",RSP5
YER126C,56,"['YAL005C', 'YBR142W', 'YCL037C', 'YCR072C', 'YDL077C', 'YDR012W', 'YDR060W', 'YDR087C', 'YDR101C', 'YDR412W', 'YER006W', 'YER126C', 'YFL002C', 'YFR001W', 'YGL029W', 'YGL111W', 'YGL120C', 'YGL237C', 'YGR103W', 'YGR218W', 'YGR245C', 'YHR052W', 'YHR066W', 'YHR197W', 'YHR204W', 'YJL122W', 'YKL009W', 'YKL172W', 'YKR081C', 'YLL008W', 'YLL013C', 'YLR009W', 'YLR074C', 'YLR175W', 'YLR320W', 'YMR047C', 'YMR049C', 'YMR290C', 'YNL002C', 'YNL061W', 'YNL110C', 'YNL255C', 'YNR053C', 'YOL120C', 'YOR063W', 'YOR206W', 'YOR267C', 'YOR272W', 'YOR310C', 'YPL004C', 'YPL012W', 'YPL043W', 'YPL093W', 'YPL131W', 'YPL211W', 'YPR016C']",NSA2
YER127W,28,"['YCL059C', 'YCR057C', 'YDR299W', 'YDR320C-A', 'YDR324C', 'YDR365C', 'YDR388W', 'YGL180W', 'YGR218W', 'YHR135C', 'YIL019W', 'YJL036W', 'YJL069C', 'YJL141C', 'YJL164C', 'YKL138C-A', 'YKR081C', 'YLL013C', 'YLR315W', 'YLR320W', 'YLR423C', 'YMR117C', 'YNL110C', 'YNL255C', 'YNR054C', 'YOL010W', 'YOR310C', 'YPR144C']",LCP5
YER128W,16,"['YAR018C', 'YBL032W', 'YBR057C', 'YFR014C', 'YGL122C', 'YGR274C', 'YJL110C', 'YKL079W', 'YKR054C', 'YLR181C', 'YNL209W', 'YOL016C', 'YOR344C', 'YPL174C', 'YPR173C', 'YPR199C']",VFA1
YER129W,27,"['YAL005C', 'YBR160W', 'YDL042C', 'YDL229W', 'YDR028C', 'YDR356W', 'YDR388W', 'YDR422C', 'YDR477W', 'YER027C', 'YER129W', 'YER155C', 'YFR028C', 'YGL019W', 'YGL035C', 'YGL115W', 'YGR218W', 'YHL034C', 'YHR005C', 'YIL035C', 'YKL042W', 'YLL024C', 'YMR137C', 'YNL225C', 'YOR061W', 'YOR373W', 'YPL204W']",SAK1
YER131W,39,"['YBR059C', 'YBR247C', 'YCL037C', 'YCR077C', 'YDL014W', 'YDL060W', 'YDL077C', 'YDL160C', 'YDR130C', 'YDR515W', 'YER146W', 'YER151C', 'YFL002C', 'YFR004W', 'YFR014C', 'YGL122C', 'YGL179C', 'YGL180W', 'YGR218W', 'YHL034C', 'YHR027C', 'YHR135C', 'YIL070C', 'YIR010W', 'YJL109C', 'YJL124C', 'YLL013C', 'YLL027W', 'YLR293C', 'YLR333C', 'YLR435W', 'YMR116C', 'YNL207W', 'YNL248C', 'YNL255C', 'YNR051C', 'YPL031C', 'YPR144C', 'YPR161C']",RPS26B
YER132C,16,"['YAL005C', 'YCR077C', 'YDL229W', 'YDR103W', 'YER177W', 'YGR052W', 'YGR135W', 'YJR005W', 'YKR095W', 'YLR310C', 'YMR139W', 'YNL025C', 'YNL307C', 'YOL108C', 'YPL203W', 'YPL204W']",PMD1
YER133W,168,"['YAL014C', 'YAL017W', 'YAL021C', 'YAL031C', 'YAL043C', 'YAR014C', 'YBL007C', 'YBL050W', 'YBL058W', 'YBR045C', 'YBR050C', 'YBR109C', 'YBR225W', 'YBR275C', 'YCL054W', 'YCR012W', 'YCR073W-A', 'YDL070W', 'YDL077C', 'YDL140C', 'YDL229W', 'YDR028C', 'YDR085C', 'YDR087C', 'YDR099W', 'YDR122W', 'YDR130C', 'YDR195W', 'YDR247W', 'YDR301W', 'YDR334W', 'YDR412W', 'YDR423C', 'YDR432W', 'YDR475C', 'YDR477W', 'YER006W', 'YER025W', 'YER027C', 'YER031C', 'YER054C', 'YER070W', 'YER158C', 'YER167W', 'YER177W', 'YFL023W', 'YFR001W', 'YFR003C', 'YFR004W', 'YFR015C', 'YFR028C', 'YGL111W', 'YGL122C', 'YGL256W', 'YGR052W', 'YGR097W', 'YGR103W', 'YGR156W', 'YGR218W', 'YGR237C', 'YGR238C', 'YGR252W', 'YGR254W', 'YHL001W', 'YHL033C', 'YHR010W', 'YHR052W', 'YHR082C', 'YHR097C', 'YHR100C', 'YHR121W', 'YHR158C', 'YIL031W', 'YIL035C', 'YIL045W', 'YIL070C', 'YIL144W', 'YIL154C', 'YIR006C', 'YIR010W', 'YJL033W', 'YJL042W', 'YJL130C', 'YJL187C', 'YJL190C', 'YJR007W', 'YJR093C', 'YKL006W', 'YKL018W', 'YKL035W', 'YKL049C', 'YKL059C', 'YKL085W', 'YKL112W', 'YKL166C', 'YKL193C', 'YKL203C', 'YKR002W', 'YKR063C', 'YKR081C', 'YLL013C', 'YLL045C', 'YLR002C', 'YLR028C', 'YLR044C', 'YLR096W', 'YLR109W', 'YLR115W', 'YLR134W', 'YLR215C', 'YLR258W', 'YLR259C', 'YLR263W', 'YLR277C', 'YLR320W', 'YLR340W', 'YLR367W', 'YLR430W', 'YLR441C', 'YLR449W', 'YML063W', 'YML074C', 'YMR001C', 'YMR012W', 'YMR037C', 'YMR049C', 'YMR120C', 'YMR140W', 'YMR179W', 'YMR242C', 'YMR290C', 'YMR311C', 'YNL002C', 'YNL061W', 'YNL222W', 'YNL233W', 'YNL255C', 'YNL262W', 'YNL317W', 'YNR034W', 'YOL039W', 'YOL091W', 'YOR014W', 'YOR061W', 'YOR063W', 'YOR078W', 'YOR117W', 'YOR178C', 'YOR179C', 'YOR227W', 'YOR234C', 'YOR272W', 'YOR294W', 'YOR312C', 'YOR315W', 'YOR329C', 'YOR341W', 'YPL020C', 'YPL074W', 'YPL093W', 'YPL137C', 'YPL143W', 'YPL204W', 'YPL211W', 'YPL237W', 'YPR016C', 'YPR107C', 'YPR160W']",GLC7
YER134C,6,"['YCL037C', 'YHR171W', 'YIL031W', 'YNL209W', 'YNL255C', 'YOR244W']",YER134C
YER136W,21,"['YBR177C', 'YBR264C', 'YDL156W', 'YER031C', 'YFL005W', 'YFL038C', 'YFR004W', 'YGL122C', 'YGL210W', 'YHL034C', 'YJR035W', 'YKR014C', 'YLL013C', 'YLR262C', 'YLR362W', 'YML001W', 'YNL093W', 'YNL135C', 'YNL209W', 'YNL304W', 'YOR089C']",GDI1
YER139C,40,"['YBR154C', 'YBR166C', 'YCL029C', 'YDL140C', 'YDR404C', 'YDR466W', 'YFR014C', 'YGL070C', 'YGL122C', 'YGR063C', 'YGR218W', 'YHR135C', 'YHR143W-A', 'YIL021W', 'YJL006C', 'YJL057C', 'YJL130C', 'YJL140W', 'YJL141C', 'YJL168C', 'YJR072C', 'YKL048C', 'YKL117W', 'YKL139W', 'YKR081C', 'YLR293C', 'YLR418C', 'YML010W', 'YMR080C', 'YMR291W', 'YOL005C', 'YOL100W', 'YOR151C', 'YOR210W', 'YOR224C', 'YOR231W', 'YPL129W', 'YPL203W', 'YPR093C', 'YPR187W']",RTR1
YER140W,1,['YOR154W'],EMP65
YER141W,14,"['YBL045C', 'YCL037C', 'YDR515W', 'YGL122C', 'YGL187C', 'YGR112W', 'YIL157C', 'YJL014W', 'YJL062W-A', 'YJL092W', 'YJL141C', 'YKR016W', 'YLL013C', 'YPL172C']",COX15
YER142C,18,"['Q0050', 'YAL035W', 'YBL002W', 'YBR010W', 'YFR014C', 'YGL049C', 'YGR090W', 'YGR162W', 'YHR216W', 'YIR002C', 'YLR432W', 'YML056C', 'YOL016C', 'YOL041C', 'YOL090W', 'YOR207C', 'YPL127C', 'YPR190C']",MAG1
YER143W,25,"['YAL030W', 'YDL132W', 'YDL227C', 'YDR139C', 'YDR427W', 'YDR468C', 'YEL037C', 'YER143W', 'YFR004W', 'YFR014C', 'YFR052W', 'YGR233C', 'YHR027C', 'YHR200W', 'YJR141W', 'YKL156W', 'YLL039C', 'YML088W', 'YMR055C', 'YNL209W', 'YNR024W', 'YOL018C', 'YOR117W', 'YOR327C', 'YPL232W']",DDI1
YER144C,12,"['YBL032W', 'YBR059C', 'YBR260C', 'YCR086W', 'YGL122C', 'YIL095W', 'YLL039C', 'YLR291C', 'YMR032W', 'YMR080C', 'YNL197C', 'YOR157C']",UBP5
YER145C,31,"['YAL005C', 'YAL053W', 'YBL029C-A', 'YBR052C', 'YDL222C', 'YDR032C', 'YDR456W', 'YDR497C', 'YER020W', 'YGL077C', 'YGL203C', 'YGR055W', 'YGR130C', 'YGR138C', 'YHR094C', 'YHR096C', 'YJR010C-A', 'YKL051W', 'YLL024C', 'YLR326W', 'YLR332W', 'YLR413W', 'YML072C', 'YMR058W', 'YOR273C', 'YOR357C', 'YPL058C', 'YPL190C', 'YPL221W', 'YPL231W', 'YPR156C']",FTR1
YER146W,59,"['YBL026W', 'YBR055C', 'YBR172C', 'YCL037C', 'YCR012W', 'YCR024C', 'YCR077C', 'YDL077C', 'YDL112W', 'YDL184C', 'YDR110W', 'YDR378C', 'YDR382W', 'YDR482C', 'YDR515W', 'YER025W', 'YER029C', 'YER112W', 'YER131W', 'YER146W', 'YER172C', 'YFL017W-A', 'YFL066C', 'YGL103W', 'YGL173C', 'YGR210C', 'YHL008C', 'YHR165C', 'YIL038C', 'YIL048W', 'YIL149C', 'YJL084C', 'YJL124C', 'YJR022W', 'YJR138W', 'YKL173W', 'YKL209C', 'YKR026C', 'YLR058C', 'YLR117C', 'YLR275W', 'YLR438C-A', 'YMR268C', 'YNL092W', 'YNL145W', 'YNL147W', 'YNL209W', 'YNL255C', 'YOL149W', 'YOR201C', 'YOR308C', 'YOR320C', 'YPL090C', 'YPL152W', 'YPL220W', 'YPR010C', 'YPR129W', 'YPR178W', 'YPR184W']",LSM5
YER147C,14,"['YBL003C', 'YBR010W', 'YDL003W', 'YDL014W', 'YDL229W', 'YDR087C', 'YDR111C', 'YDR180W', 'YFL016C', 'YGR090W', 'YHR121W', 'YJL074C', 'YLR432W', 'YMR229C']",SCC4
YER148W,141,"['YBL002W', 'YBL003C', 'YBL014C', 'YBL087C', 'YBR009C', 'YBR081C', 'YBR142W', 'YBR193C', 'YBR198C', 'YCR042C', 'YCR052W', 'YCR093W', 'YDL065C', 'YDL106C', 'YDL140C', 'YDL150W', 'YDL165W', 'YDL208W', 'YDR145W', 'YDR167W', 'YDR172W', 'YDR174W', 'YDR176W', 'YDR190C', 'YDR216W', 'YDR224C', 'YDR225W', 'YDR303C', 'YDR392W', 'YDR397C', 'YDR427W', 'YDR448W', 'YEL009C', 'YEL037C', 'YER022W', 'YER074W', 'YER117W', 'YER148W', 'YER151C', 'YER159C', 'YFL037W', 'YFR034C', 'YFR037C', 'YGL019W', 'YGL048C', 'YGL112C', 'YGL147C', 'YGL241W', 'YGR040W', 'YGR056W', 'YGR063C', 'YGR104C', 'YGR246C', 'YGR252W', 'YGR274C', 'YHR036W', 'YHR041C', 'YHR099W', 'YHR121W', 'YHR169W', 'YHR200W', 'YIL021W', 'YIL036W', 'YIL038C', 'YIL069C', 'YIL126W', 'YIR005W', 'YIR010W', 'YJL025W', 'YJL115W', 'YJL123C', 'YJL127C', 'YJR144W', 'YKL058W', 'YKL122C', 'YKL145W', 'YKR001C', 'YKR008W', 'YKR048C', 'YLR033W', 'YLR055C', 'YLR182W', 'YLR249W', 'YLR321C', 'YLR357W', 'YLR399C', 'YLR418C', 'YML015C', 'YML043C', 'YML065W', 'YML098W', 'YML114C', 'YML127W', 'YMR005W', 'YMR039C', 'YMR125W', 'YMR172W', 'YMR186W', 'YMR205C', 'YMR227C', 'YMR236W', 'YMR242C', 'YMR270C', 'YMR308C', 'YNL039W', 'YNL067W', 'YNL138W', 'YNL197C', 'YNL209W', 'YNL216W', 'YNL255C', 'YNL271C', 'YOL012C', 'YOL051W', 'YOL067C', 'YOL111C', 'YOL148C', 'YOR039W', 'YOR047C', 'YOR061W', 'YOR117W', 'YOR194C', 'YOR198C', 'YOR298C-A', 'YOR310C', 'YOR340C', 'YPL011C', 'YPL049C', 'YPL082C', 'YPL101W', 'YPL122C', 'YPL129W', 'YPL235W', 'YPL240C', 'YPL248C', 'YPL254W', 'YPL266W', 'YPR034W', 'YPR056W', 'YPR072W', 'YPR086W']",SPT15
YER149C,23,"['YAR014C', 'YBR128C', 'YCL027W', 'YDR309C', 'YER120W', 'YER149C', 'YGL106W', 'YGR218W', 'YGR238C', 'YHR158C', 'YJL074C', 'YKL079W', 'YKL179C', 'YLL021W', 'YLR319C', 'YMR124W', 'YNL243W', 'YNL293W', 'YOL112W', 'YPL074W', 'YPL115C', 'YPL174C', 'YPL216W']",PEA2
YER150W,3,"['YDL100C', 'YGL122C', 'YPL031C']",SPI1
