physical_interaction_id,count,Systematic Name,physical_interaction
YAL005C,686,"['YAL005C', 'YAL012W', 'YAL028W', 'YAL030W', 'YAL036C', 'YAL038W', 'YAL040C', 'YAL060W', 'YAR002W', 'YAR015W', 'YAR027W', 'YAR031W', 'YBL005W', 'YBL023C', 'YBL024W', 'YBL030C', 'YBL037W', 'YBL057C', 'YBL058W', 'YBL067C', 'YBL069W', 'YBL075C', 'YBL099W', 'YBR017C', 'YBR025C', 'YBR031W', 'YBR042C', 'YBR049C', 'YBR059C', 'YBR068C', 'YBR072W', 'YBR079C', 'YBR084C-A', 'YBR086C', 'YBR101C', 'YBR106W', 'YBR110W', 'YBR115C', 'YBR118W', 'YBR127C', 'YBR133C', 'YBR155W', 'YBR159W', 'YBR160W', 'YBR169C', 'YBR185C', 'YBR189W', 'YBR191W', 'YBR196C', 'YBR198C', 'YBR215W', 'YBR230C', 'YBR231C', 'YBR251W', 'YBR287W', 'YBR290W', 'YCL009C', 'YCL027W', 'YCL032W', 'YCL037C', 'YCL043C', 'YCR008W', 'YCR009C', 'YCR011C', 'YCR012W', 'YCR024C-A', 'YCR034W', 'YCR043C', 'YCR044C', 'YCR075C', 'YCR077C', 'YCR082W', 'YCR095C', 'YCR105W', 'YDL018C', 'YDL019C', 'YDL058W', 'YDL060W', 'YDL067C', 'YDL072C', 'YDL091C', 'YDL116W', 'YDL122W', 'YDL126C', 'YDL127W', 'YDL128W', 'YDL131W', 'YDL139C', 'YDL140C', 'YDL144C', 'YDL160C', 'YDL175C', 'YDL182W', 'YDL185W', 'YDL192W', 'YDL206W', 'YDL212W', 'YDL223C', 'YDL229W', 'YDL239C', 'YDR011W', 'YDR025W', 'YDR027C', 'YDR028C', 'YDR051C', 'YDR055W', 'YDR060W', 'YDR064W', 'YDR071C', 'YDR083W', 'YDR099W', 'YDR101C', 'YDR107C', 'YDR141C', 'YDR143C', 'YDR163W', 'YDR164C', 'YDR166C', 'YDR168W', 'YDR170C', 'YDR172W', 'YDR188W', 'YDR189W', 'YDR192C', 'YDR208W', 'YDR214W', 'YDR233C', 'YDR238C', 'YDR245W', 'YDR284C', 'YDR293C', 'YDR296W', 'YDR301W', 'YDR303C', 'YDR324C', 'YDR328C', 'YDR331W', 'YDR337W', 'YDR338C', 'YDR342C', 'YDR348C', 'YDR352W', 'YDR356W', 'YDR359C', 'YDR365C', 'YDR367W', 'YDR375C', 'YDR381W', 'YDR385W', 'YDR388W', 'YDR390C', 'YDR406W', 'YDR407C', 'YDR429C', 'YDR432W', 'YDR448W', 'YDR450W', 'YDR460W', 'YDR477W', 'YDR479C', 'YDR484W', 'YDR495C', 'YDR498C', 'YDR502C', 'YDR508C', 'YDR510W', 'YDR513W', 'YDR516C', 'YDR525W-A', 'YDR532C', 'YEL001C', 'YEL017C-A', 'YEL025C', 'YEL036C', 'YEL041W', 'YEL054C', 'YEL060C', 'YEL063C', 'YEL071W', 'YEL077C', 'YER012W', 'YER031C', 'YER053C', 'YER059W', 'YER068W', 'YER082C', 'YER086W', 'YER087C-B', 'YER093C', 'YER103W', 'YER110C', 'YER125W', 'YER126C', 'YER129W', 'YER132C', 'YER145C', 'YER151C', 'YER154W', 'YER155C', 'YER158C', 'YER165W', 'YER182W', 'YFL004W', 'YFL007W', 'YFL008W', 'YFL016C', 'YFL041W', 'YFL044C', 'YFL048C', 'YFR004W', 'YFR006W', 'YFR010W', 'YFR016C', 'YFR019W', 'YFR024C-A', 'YFR028C', 'YFR031C', 'YFR031C-A', 'YFR037C', 'YFR051C', 'YGL008C', 'YGL012W', 'YGL014W', 'YGL022W', 'YGL027C', 'YGL037C', 'YGL043W', 'YGL054C', 'YGL055W', 'YGL064C', 'YGL076C', 'YGL093W', 'YGL115W', 'YGL120C', 'YGL122C', 'YGL126W', 'YGL147C', 'YGL148W', 'YGL172W', 'YGL173C', 'YGL181W', 'YGL190C', 'YGL195W', 'YGL200C', 'YGL206C', 'YGL207W', 'YGL212W', 'YGL215W', 'YGL219C', 'YGL225W', 'YGL227W', 'YGL233W', 'YGR012W', 'YGR016W', 'YGR019W', 'YGR028W', 'YGR038W', 'YGR055W', 'YGR060W', 'YGR071C', 'YGR090W', 'YGR095C', 'YGR105W', 'YGR106C', 'YGR143W', 'YGR147C', 'YGR159C', 'YGR167W', 'YGR173W', 'YGR174C', 'YGR178C', 'YGR180C', 'YGR184C', 'YGR192C', 'YGR198W', 'YGR209C', 'YGR214W', 'YGR227W', 'YGR234W', 'YGR237C', 'YGR240C', 'YGR250C', 'YGR264C', 'YGR267C', 'YGR281W', 'YGR284C', 'YHL002W', 'YHL030W', 'YHL034C', 'YHL035C', 'YHR001W-A', 'YHR023W', 'YHR027C', 'YHR039C', 'YHR042W', 'YHR061C', 'YHR063C', 'YHR077C', 'YHR094C', 'YHR097C', 'YHR098C', 'YHR101C', 'YHR108W', 'YHR113W', 'YHR117W', 'YHR120W', 'YHR127W', 'YHR132C', 'YHR133C', 'YHR154W', 'YHR165C', 'YHR195W', 'YHR200W', 'YIL013C', 'YIL014W', 'YIL016W', 'YIL017C', 'YIL026C', 'YIL033C', 'YIL035C', 'YIL043C', 'YIL053W', 'YIL075C', 'YIL091C', 'YIL109C', 'YIL115C', 'YIL124W', 'YIL127C', 'YIL133C', 'YIL136W', 'YIL144W', 'YIL146C', 'YIL149C', 'YIL151C', 'YIR002C', 'YIR010W', 'YIR033W', 'YJL005W', 'YJL006C', 'YJL020C', 'YJL026W', 'YJL034W', 'YJL039C', 'YJL041W', 'YJL070C', 'YJL076W', 'YJL084C', 'YJL093C', 'YJL109C', 'YJL124C', 'YJL130C', 'YJL151C', 'YJL154C', 'YJL165C', 'YJL177W', 'YJL178C', 'YJL183W', 'YJL196C', 'YJL198W', 'YJL208C', 'YJL212C', 'YJR002W', 'YJR019C', 'YJR032W', 'YJR045C', 'YJR059W', 'YJR064W', 'YJR072C', 'YJR073C', 'YJR075W', 'YJR095W', 'YJR096W', 'YJR112W', 'YJR140C', 'YJR145C', 'YKL012W', 'YKL014C', 'YKL020C', 'YKL032C', 'YKL035W', 'YKL046C', 'YKL054C', 'YKL062W', 'YKL073W', 'YKL077W', 'YKL112W', 'YKL120W', 'YKL129C', 'YKL139W', 'YKL172W', 'YKL181W', 'YKL195W', 'YKL209C', 'YKL211C', 'YKL214C', 'YKR008W', 'YKR016W', 'YKR048C', 'YKR059W', 'YKR081C', 'YKR095W', 'YKR105C', 'YLL006W', 'YLL010C', 'YLL011W', 'YLL012W', 'YLL013C', 'YLL015W', 'YLL024C', 'YLL026W', 'YLL029W', 'YLL036C', 'YLL045C', 'YLL048C', 'YLR004C', 'YLR058C', 'YLR064W', 'YLR075W', 'YLR084C', 'YLR093C', 'YLR110C', 'YLR139C', 'YLR150W', 'YLR153C', 'YLR166C', 'YLR180W', 'YLR187W', 'YLR189C', 'YLR191W', 'YLR196W', 'YLR197W', 'YLR200W', 'YLR209C', 'YLR216C', 'YLR222C', 'YLR241W', 'YLR249W', 'YLR256W', 'YLR259C', 'YLR276C', 'YLR293C', 'YLR310C', 'YLR319C', 'YLR328W', 'YLR335W', 'YLR340W', 'YLR343W', 'YLR347C', 'YLR348C', 'YLR350W', 'YLR357W', 'YLR372W', 'YLR373C', 'YLR377C', 'YLR382C', 'YLR384C', 'YLR386W', 'YLR393W', 'YLR398C', 'YLR404W', 'YLR413W', 'YLR418C', 'YLR424W', 'YLR438W', 'YLR441C', 'YLR448W', 'YML002W', 'YML008C', 'YML013W', 'YML017W', 'YML026C', 'YML035C', 'YML038C', 'YML048W', 'YML055W', 'YML062C', 'YML063W', 'YML074C', 'YML088W', 'YML097C', 'YML104C', 'YML110C', 'YML120C', 'YMR012W', 'YMR047C', 'YMR066W', 'YMR076C', 'YMR078C', 'YMR083W', 'YMR091C', 'YMR099C', 'YMR109W', 'YMR122W-A', 'YMR123W', 'YMR128W', 'YMR129W', 'YMR131C', 'YMR142C', 'YMR149W', 'YMR165C', 'YMR167W', 'YMR186W', 'YMR207C', 'YMR214W', 'YMR216C', 'YMR218C', 'YMR219W', 'YMR238W', 'YMR242C', 'YMR259C', 'YMR261C', 'YMR264W', 'YMR306W', 'YNL002C', 'YNL004W', 'YNL007C', 'YNL008C', 'YNL025C', 'YNL055C', 'YNL064C', 'YNL069C', 'YNL075W', 'YNL078W', 'YNL085W', 'YNL087W', 'YNL091W', 'YNL096C', 'YNL121C', 'YNL124W', 'YNL125C', 'YNL136W', 'YNL157W', 'YNL175C', 'YNL178W', 'YNL181W', 'YNL183C', 'YNL190W', 'YNL197C', 'YNL209W', 'YNL220W', 'YNL227C', 'YNL229C', 'YNL255C', 'YNL257C', 'YNL264C', 'YNL268W', 'YNL271C', 'YNL289W', 'YNL308C', 'YNR001C', 'YNR003C', 'YNR013C', 'YNR026C', 'YNR034W', 'YNR048W', 'YNR050C', 'YNR051C', 'YNR070W', 'YNR075W', 'YOL004W', 'YOL006C', 'YOL010W', 'YOL013C', 'YOL021C', 'YOL031C', 'YOL033W', 'YOL044W', 'YOL072W', 'YOL075C', 'YOL081W', 'YOL096C', 'YOL097C', 'YOL109W', 'YOL111C', 'YOL115W', 'YOL120C', 'YOL123W', 'YOL139C', 'YOL149W', 'YOR007C', 'YOR021C', 'YOR027W', 'YOR037W', 'YOR038C', 'YOR042W', 'YOR048C', 'YOR056C', 'YOR061W', 'YOR086C', 'YOR091W', 'YOR098C', 'YOR106W', 'YOR110W', 'YOR117W', 'YOR124C', 'YOR132W', 'YOR133W', 'YOR136W', 'YOR140W', 'YOR142W', 'YOR147W', 'YOR151C', 'YOR153W', 'YOR155C', 'YOR164C', 'YOR185C', 'YOR187W', 'YOR197W', 'YOR227W', 'YOR254C', 'YOR256C', 'YOR267C', 'YOR273C', 'YOR297C', 'YOR311C', 'YOR328W', 'YOR332W', 'YOR361C', 'YPL001W', 'YPL002C', 'YPL004C', 'YPL010W', 'YPL012W', 'YPL019C', 'YPL020C', 'YPL023C', 'YPL028W', 'YPL030W', 'YPL043W', 'YPL049C', 'YPL050C', 'YPL053C', 'YPL058C', 'YPL060W', 'YPL084W', 'YPL090C', 'YPL104W', 'YPL106C', 'YPL108W', 'YPL110C', 'YPL116W', 'YPL131W', 'YPL137C', 'YPL145C', 'YPL147W', 'YPL165C', 'YPL167C', 'YPL176C', 'YPL180W', 'YPL201C', 'YPL204W', 'YPL220W', 'YPL232W', 'YPL233W', 'YPL234C', 'YPL235W', 'YPL240C', 'YPL249C', 'YPL259C', 'YPL265W', 'YPR010C', 'YPR016C', 'YPR028W', 'YPR049C', 'YPR055W', 'YPR056W', 'YPR080W', 'YPR095C', 'YPR102C', 'YPR113W', 'YPR114W', 'YPR119W', 'YPR128C', 'YPR129W', 'YPR131C', 'YPR135W', 'YPR138C', 'YPR140W', 'YPR155C', 'YPR156C', 'YPR159W', 'YPR163C', 'YPR178W', 'YPR181C', 'YPR183W', 'YPR198W']",SSA1
YAL007C,52,"['YAL023C', 'YAR002C-A', 'YBL003C', 'YBR009C', 'YBR036C', 'YBR183W', 'YCL025C', 'YCL037C', 'YDL018C', 'YDL054C', 'YDL095W', 'YDL149W', 'YDR051C', 'YDR086C', 'YDR087C', 'YDR101C', 'YDR127W', 'YDR174W', 'YDR381W', 'YEL002C', 'YEL063C', 'YER110C', 'YGL002W', 'YGL008C', 'YGL055W', 'YGL122C', 'YGL200C', 'YGR060W', 'YGR085C', 'YGR231C', 'YHR026W', 'YHR110W', 'YHR140W', 'YJL034W', 'YJL117W', 'YLR026C', 'YLR075W', 'YLR150W', 'YLR342W', 'YML012W', 'YMR214W', 'YMR290C', 'YNL055C', 'YNL130C', 'YNL209W', 'YNL307C', 'YOL018C', 'YOR016C', 'YPL076W', 'YPL211W', 'YPL264C', 'YPR201W']",ERP2
YAL008W,6,"['YCL037C', 'YGL122C', 'YJL033W', 'YML086C', 'YNL209W', 'YPL186C']",FUN14
YAL009W,10,"['YDL040C', 'YDL077C', 'YDR211W', 'YGL059W', 'YHR004C', 'YJL176C', 'YJR034W', 'YLR342W', 'YMR165C', 'YNL255C']",SPO7
YAL010C,14,"['YAL048C', 'YCR077C', 'YFL048C', 'YGL219C', 'YHR083W', 'YJL066C', 'YLL006W', 'YMR060C', 'YMR203W', 'YNL026W', 'YNL070W', 'YNL131W', 'YOL009C', 'YPL235W']",MDM10
YAL011W,38,"['YAL011W', 'YBL003C', 'YBL007C', 'YBL105C', 'YBR135W', 'YBR231C', 'YDL064W', 'YDL181W', 'YDR150W', 'YDR190C', 'YDR295C', 'YDR334W', 'YDR485C', 'YFL039C', 'YGR002C', 'YGR086C', 'YGR089W', 'YHR011W', 'YHR158C', 'YIR018W', 'YJL081C', 'YJL112W', 'YJL127C', 'YKR054C', 'YLL013C', 'YLR085C', 'YLR385C', 'YLR399C', 'YML041C', 'YNL107W', 'YNL243W', 'YOL012C', 'YOR117W', 'YOR127W', 'YOR195W', 'YOR269W', 'YPL174C', 'YPL235W']",SWC3
YAL012W,19,"['YAL005C', 'YAL012W', 'YBR055C', 'YDL077C', 'YGL122C', 'YHL034C', 'YHR152W', 'YIL031W', 'YKL130C', 'YKL210W', 'YLR320W', 'YMR300C', 'YNL209W', 'YNL271C', 'YNR051C', 'YOL013C', 'YPL020C', 'YPL149W', 'YPL240C']",CYS3
YAL013W,18,"['YBR010W', 'YBR095C', 'YDL076C', 'YDR207C', 'YER018C', 'YHR082C', 'YIL084C', 'YJL127C', 'YKL049C', 'YKL185W', 'YMR263W', 'YNL097C', 'YNL255C', 'YNL330C', 'YOL004W', 'YPL082C', 'YPL139C', 'YPL181W']",DEP1
YAL014C,9,"['YAL030W', 'YER133W', 'YJR125C', 'YKL196C', 'YLR093C', 'YMR197C', 'YOR011W', 'YOR036W', 'YOR106W']",SYN8
YAL015C,16,"['YDL029W', 'YDL059C', 'YDR214W', 'YDR510W', 'YEL030W', 'YEL060C', 'YGL122C', 'YJR068W', 'YML105C', 'YMR012W', 'YMR058W', 'YMR146C', 'YNL037C', 'YNL255C', 'YPL190C', 'YPR110C']",NTG1
