genetic_interaction_id,count,Systematic Name,genetic_interaction
YDL235C,80,"['YAL017W', 'YAR002W', 'YBR092C', 'YBR095C', 'YBR128C', 'YCR095C', 'YDL056W', 'YDL079C', 'YDL127W', 'YDR028C', 'YDR074W', 'YDR162C', 'YDR245W', 'YDR247W', 'YDR363W-A', 'YER075C', 'YER083C', 'YER095W', 'YER177W', 'YFR014C', 'YGL020C', 'YGL158W', 'YGL227W', 'YGR080W', 'YGR086C', 'YGR203W', 'YHL029C', 'YHL032C', 'YHR030C', 'YHR046C', 'YHR075C', 'YHR076W', 'YHR081W', 'YHR115C', 'YHR200W', 'YIL153W', 'YJL095W', 'YJL124C', 'YJL128C', 'YJL148W', 'YJL157C', 'YJL168C', 'YJL183W', 'YJL187C', 'YJR110W', 'YKL048C', 'YKL074C', 'YKL139W', 'YKL166C', 'YKL168C', 'YKL212W', 'YKR053C', 'YLL019C', 'YLR006C', 'YLR113W', 'YLR410W', 'YLR418C', 'YLR423C', 'YML070W', 'YMR139W', 'YMR224C', 'YNL056W', 'YNL099C', 'YNL102W', 'YNL106C', 'YNL233W', 'YNR031C', 'YNR047W', 'YOL001W', 'YOR171C', 'YOR208W', 'YOR233W', 'YPL008W', 'YPL026C', 'YPL141C', 'YPL152W', 'YPL179W', 'YPL180W', 'YPR120C', 'YPR189W']",YPD1
YDL236W,46,"['YAL024C', 'YAR003W', 'YBR011C', 'YCL010C', 'YCL025C', 'YDL116W', 'YDL220C', 'YDR127W', 'YEL027W', 'YEL036C', 'YEL050C', 'YGL148W', 'YGR081C', 'YGR092W', 'YGR204W', 'YGR281W', 'YHL007C', 'YHL025W', 'YHR166C', 'YHR178W', 'YHR200W', 'YJL083W', 'YJR105W', 'YKL032C', 'YLL006W', 'YLL045C', 'YLR028C', 'YLR262C', 'YLR268W', 'YLR298C', 'YLR354C', 'YLR371W', 'YLR423C', 'YML112W', 'YMR120C', 'YNL021W', 'YNR051C', 'YOL012C', 'YOL135C', 'YOR035C', 'YPL057C', 'YPL079W', 'YPL106C', 'YPL158C', 'YPR008W', 'YPR060C']",PHO13
YDL238C,15,"['YBR035C', 'YDR017C', 'YDR226W', 'YDR242W', 'YER016W', 'YGL148W', 'YJR158W', 'YJR160C', 'YKL067W', 'YML123C', 'YNL052W', 'YOR065W', 'YPR060C', 'YPR074C', 'YPR191W']",GUD1
YDL239C,12,"['YBR045C', 'YDR518W', 'YER072W', 'YGR274C', 'YJL043W', 'YKR015C', 'YMR186W', 'YOL015W', 'YPL032C', 'YPL053C', 'YPL240C', 'YPR041W']",ADY3
YDL240W,49,"['YAL021C', 'YAL041W', 'YBL007C', 'YBL032W', 'YBR171W', 'YCL027W', 'YCR009C', 'YDL015C', 'YDL117W', 'YDL132W', 'YDL203C', 'YDR054C', 'YDR264C', 'YDR414C', 'YEL036C', 'YER093C', 'YGL167C', 'YGL168W', 'YGL178W', 'YGL179C', 'YGR032W', 'YGR070W', 'YGR274C', 'YIL062C', 'YJL068C', 'YJL183W', 'YJR075W', 'YKL212W', 'YKR001C', 'YLL021W', 'YLR165C', 'YLR242C', 'YLR314C', 'YLR342W', 'YLR371W', 'YLR425W', 'YMR032W', 'YMR198W', 'YMR232W', 'YMR307W', 'YNR006W', 'YOR008C', 'YOR035C', 'YOR205C', 'YOR216C', 'YPL145C', 'YPL158C', 'YPR165W', 'YPR173C']",LRG1
YDL244W,4,"['YDR217C', 'YDR293C', 'YIL146C', 'YLR357W']",THI13
YDL245C,15,"['YDR284C', 'YER062C', 'YGR155W', 'YGR240C', 'YHL025W', 'YHR183W', 'YIL160C', 'YJR105W', 'YLR182W', 'YNL037C', 'YOL064C', 'YOR221C', 'YPL148C', 'YPL188W', 'YPR060C']",HXT15
YDL246C,39,"['YBR221C', 'YDR116C', 'YDR316W', 'YER093C-A', 'YER151C', 'YGL244W', 'YGR027C', 'YGR166W', 'YGR174C', 'YHL027W', 'YHR059W', 'YHR189W', 'YIL064W', 'YJL147C', 'YJR120W', 'YJR159W', 'YKL006W', 'YKL041W', 'YKL109W', 'YKL137W', 'YKL212W', 'YKR065C', 'YLR038C', 'YLR070C', 'YLR218C', 'YLR357W', 'YLR395C', 'YML030W', 'YML081C-A', 'YMR063W', 'YMR256C', 'YNL081C', 'YNL141W', 'YOR030W', 'YOR040W', 'YOR078W', 'YOR196C', 'YOR358W', 'YPR134W']",SOR2
YDL248W,2,"['YLR425W', 'YML016C']",COS7
YDR001C,42,"['YAL013W', 'YAL025C', 'YBR001C', 'YBR035C', 'YBR036C', 'YBR126C', 'YDR074W', 'YDR300C', 'YDR414C', 'YDR503C', 'YDR531W', 'YER022W', 'YER177W', 'YFL008W', 'YGL127C', 'YGL150C', 'YGL256W', 'YGR240C', 'YGR274C', 'YGR289C', 'YHL011C', 'YHR051W', 'YJL164C', 'YKL006W', 'YKL035W', 'YKR093W', 'YLL043W', 'YLR201C', 'YLR259C', 'YLR305C', 'YLR395C', 'YML081C-A', 'YMR062C', 'YMR261C', 'YMR293C', 'YMR307W', 'YNL003C', 'YNL071W', 'YNL262W', 'YOR241W', 'YPL203W', 'YPR026W']",NTH1
YDR002W,51,"['YBR165W', 'YCL027W', 'YCR053W', 'YDL229W', 'YDR159W', 'YDR174W', 'YDR289C', 'YDR335W', 'YER116C', 'YGL097W', 'YGL151W', 'YGL174W', 'YGL194C', 'YGR081C', 'YGR099W', 'YGR188C', 'YGR261C', 'YIL040W', 'YJL074C', 'YJL124C', 'YJL128C', 'YJR054W', 'YJR074W', 'YJR136C', 'YKL027W', 'YKL033W', 'YKL069W', 'YKR082W', 'YLL006W', 'YLR018C', 'YLR079W', 'YLR113W', 'YLR335W', 'YLR418C', 'YLR448W', 'YML103C', 'YMR116C', 'YMR129W', 'YMR153W', 'YMR186W', 'YMR190C', 'YNL076W', 'YNL189W', 'YOL081W', 'YOR078W', 'YOR080W', 'YOR098C', 'YOR140W', 'YPL226W', 'YPL240C', 'YPR085C']",YRB1
YDR003W,8,"['YBR005W', 'YDL042C', 'YDL212W', 'YDR207C', 'YLR314C', 'YMR071C', 'YMR186W', 'YPL240C']",RCR2
YDR004W,137,"['YAL024C', 'YAR002W', 'YAR007C', 'YBR087W', 'YBR088C', 'YBR185C', 'YCL008C', 'YCL016C', 'YCR009C', 'YCR028C-A', 'YCR066W', 'YCR086W', 'YDL013W', 'YDL020C', 'YDL040C', 'YDL042C', 'YDL074C', 'YDL101C', 'YDL102W', 'YDL116W', 'YDL120W', 'YDL135C', 'YDR076W', 'YDR159W', 'YDR217C', 'YDR227W', 'YDR279W', 'YDR291W', 'YDR359C', 'YDR378C', 'YDR386W', 'YDR432W', 'YDR439W', 'YEL027W', 'YEL040W', 'YER014W', 'YER016W', 'YER083C', 'YER087W', 'YER095W', 'YER116C', 'YER142C', 'YER173W', 'YGL003C', 'YGL020C', 'YGL058W', 'YGL107C', 'YGL127C', 'YGL163C', 'YGR078C', 'YGR092W', 'YGR185C', 'YGR274C', 'YHR031C', 'YHR154W', 'YHR191C', 'YHR200W', 'YHR206W', 'YIL139C', 'YIR002C', 'YIR008C', 'YIR037W', 'YJL036W', 'YJL046W', 'YJL092W', 'YJL115W', 'YJL124C', 'YJR043C', 'YJR053W', 'YJR074W', 'YJR104C', 'YJR124C', 'YJR139C', 'YKL041W', 'YKL053C-A', 'YKL057C', 'YKL063C', 'YKL093W', 'YKL109W', 'YKL113C', 'YKL117W', 'YKL213C', 'YKR082W', 'YLL006W', 'YLL033W', 'YLR032W', 'YLR056W', 'YLR103C', 'YLR135W', 'YLR233C', 'YLR234W', 'YLR240W', 'YLR320W', 'YLR373C', 'YML007W', 'YML028W', 'YML032C', 'YML061C', 'YML098W', 'YMR038C', 'YMR048W', 'YMR078C', 'YMR190C', 'YMR198W', 'YMR223W', 'YMR284W', 'YNL054W', 'YNL081C', 'YNL102W', 'YNL147W', 'YNL262W', 'YNL273W', 'YNL291C', 'YNL297C', 'YNL298W', 'YNL312W', 'YOL006C', 'YOL009C', 'YOL094C', 'YOR039W', 'YOR065W', 'YOR068C', 'YOR080W', 'YOR144C', 'YOR191W', 'YOR205C', 'YOR209C', 'YOR244W', 'YOR346W', 'YOR351C', 'YPL055C', 'YPL167C', 'YPR018W', 'YPR110C', 'YPR119W', 'YPR135W', 'YPR164W']",RAD57
YDR005C,102,"['YAL016W', 'YAL025C', 'YBR065C', 'YBR118W', 'YCR035C', 'YDL134C', 'YDL188C', 'YDL201W', 'YDR037W', 'YDR045C', 'YDR060W', 'YDR075W', 'YDR087C', 'YDR120C', 'YDR165W', 'YDR297W', 'YDR335W', 'YDR398W', 'YDR429C', 'YDR435C', 'YDR443C', 'YDR448W', 'YEL027W', 'YEL036C', 'YER016W', 'YGL025C', 'YGL050W', 'YGL105W', 'YGL127C', 'YGL151W', 'YGL173C', 'YGL232W', 'YGL250W', 'YGR090W', 'YGR095C', 'YGR105W', 'YGR106C', 'YGR135W', 'YGR159C', 'YGR208W', 'YHR019C', 'YHR034C', 'YHR041C', 'YHR081W', 'YHR205W', 'YIL018W', 'YIL033C', 'YIL153W', 'YIL156W', 'YJL011C', 'YJL034W', 'YJL093C', 'YJL124C', 'YJL203W', 'YJR118C', 'YKL009W', 'YKL205W', 'YLL035W', 'YLR074C', 'YLR131C', 'YLR192C', 'YLR196W', 'YLR262C', 'YLR342W', 'YML024W', 'YMR039C', 'YMR093W', 'YMR135C', 'YMR143W', 'YMR208W', 'YNL097C', 'YNL141W', 'YNL151C', 'YNL169C', 'YNL201C', 'YNL236W', 'YNL262W', 'YNL292W', 'YNL302C', 'YNL315C', 'YNR010W', 'YNR015W', 'YOL093W', 'YOR001W', 'YOR116C', 'YOR141C', 'YOR145C', 'YOR207C', 'YOR243C', 'YOR272W', 'YOR312C', 'YPL091W', 'YPL145C', 'YPL211W', 'YPL212C', 'YPL217C', 'YPL241C', 'YPR004C', 'YPR016C', 'YPR040W', 'YPR043W', 'YPR070W']",MAF1
YDR007W,31,"['YAL013W', 'YBL067C', 'YBR034C', 'YBR069C', 'YBR078W', 'YBR112C', 'YDL047W', 'YDL212W', 'YDL220C', 'YDR128W', 'YDR217C', 'YDR529C', 'YEL027W', 'YER026C', 'YER048C', 'YGL012W', 'YGR105W', 'YGR106C', 'YJL084C', 'YJR090C', 'YKL048C', 'YKL112W', 'YLR056W', 'YLR133W', 'YML008C', 'YMR202W', 'YNL003C', 'YOL020W', 'YOR026W', 'YPL058C', 'YPL145C']",TRP1
YDR009W,45,"['YBL066C', 'YBR018C', 'YBR019C', 'YBR020W', 'YBR196C', 'YDL024C', 'YDL070W', 'YDL108W', 'YDR151C', 'YDR174W', 'YDR293C', 'YDR308C', 'YDR328C', 'YDR432W', 'YER110C', 'YER137C', 'YFL001W', 'YFR009W', 'YGL127C', 'YGL174W', 'YGL194C', 'YHL025W', 'YHR178W', 'YIL021W', 'YIL160C', 'YJL148W', 'YKL212W', 'YLL039C', 'YLR149C', 'YML007W', 'YML051W', 'YMR105C', 'YMR269W', 'YMR287C', 'YNL135C', 'YNL163C', 'YNL229C', 'YNL239W', 'YNL248C', 'YNL255C', 'YOR123C', 'YOR290C', 'YPL042C', 'YPL248C', 'YPR030W']",GAL3
YDR011W,12,"['YDR432W', 'YGL013C', 'YGR274C', 'YGR281W', 'YHR030C', 'YKL135C', 'YKR001C', 'YLR002C', 'YML007W', 'YNL330C', 'YOR153W', 'YOR162C']",SNQ2
YDR013W,58,"['YBL008W', 'YBR072W', 'YBR215W', 'YBR274W', 'YBR278W', 'YCL016C', 'YCL061C', 'YCR086W', 'YDL101C', 'YDR097C', 'YDR217C', 'YDR489W', 'YER095W', 'YER173W', 'YGL019W', 'YGL086W', 'YGR017W', 'YGR101W', 'YGR188C', 'YGR274C', 'YHR191C', 'YIL133C', 'YJL030W', 'YJL090C', 'YJL148W', 'YJR043C', 'YJR053W', 'YJR054W', 'YJR139C', 'YJR140C', 'YKL108W', 'YKR051W', 'YLL040C', 'YLR418C', 'YML060W', 'YMR048W', 'YMR078C', 'YMR190C', 'YMR201C', 'YMR224C', 'YMR256C', 'YMR299C', 'YNL082W', 'YNL262W', 'YNR010W', 'YOL018C', 'YOL146W', 'YOR025W', 'YOR026W', 'YOR038C', 'YOR368W', 'YPL008W', 'YPL167C', 'YPL194W', 'YPL226W', 'YPR115W', 'YPR120C', 'YPR135W']",PSF1
YDR014W,94,"['YBR087W', 'YBR088C', 'YBR107C', 'YBR257W', 'YCL016C', 'YCL061C', 'YDL003W', 'YDL020C', 'YDL056W', 'YDL101C', 'YDL126C', 'YDL139C', 'YDL164C', 'YDR052C', 'YDR159W', 'YDR180W', 'YDR254W', 'YDR318W', 'YDR332W', 'YDR443C', 'YDR507C', 'YDR532C', 'YEL061C', 'YER016W', 'YER104W', 'YER142C', 'YFL008W', 'YFR010W', 'YFR027W', 'YGR038W', 'YGR097W', 'YGR188C', 'YHR094C', 'YHR113W', 'YHR124W', 'YHR150W', 'YHR154W', 'YHR176W', 'YHR191C', 'YIL030C', 'YIR017C', 'YJL074C', 'YJL092W', 'YJR017C', 'YJR054W', 'YJR106W', 'YJR135C', 'YJR144W', 'YKL048C', 'YKL113C', 'YKR054C', 'YKR064W', 'YLL056C', 'YLR187W', 'YLR194C', 'YLR263W', 'YLR314C', 'YLR381W', 'YLR415C', 'YML066C', 'YML102W', 'YMR035W', 'YMR048W', 'YMR076C', 'YMR078C', 'YMR107W', 'YMR161W', 'YMR163C', 'YMR186W', 'YMR198W', 'YNL009W', 'YNL025C', 'YNL151C', 'YNL253W', 'YNL271C', 'YNL273W', 'YNL298W', 'YNL312W', 'YOL004W', 'YOL006C', 'YOL052C', 'YOL108C', 'YOL132W', 'YOR026W', 'YOR265W', 'YPL008W', 'YPL017C', 'YPL018W', 'YPL129W', 'YPL240C', 'YPR046W', 'YPR110C', 'YPR135W', 'YPR141C']",RAD61
YDR016C,6,"['YBL034C', 'YER016W', 'YGL061C', 'YGR113W', 'YGR188C', 'YOR026W']",DAD1
YDR017C,265,"['YAL040C', 'YAR014C', 'YAR018C', 'YBL016W', 'YBL021C', 'YBL030C', 'YBL046W', 'YBL103C', 'YBL105C', 'YBR095C', 'YBR112C', 'YBR125C', 'YBR135W', 'YBR136W', 'YBR160W', 'YBR164C', 'YBR213W', 'YBR231C', 'YBR245C', 'YBR252W', 'YBR267W', 'YBR274W', 'YCL016C', 'YCL024W', 'YCL061C', 'YCR008W', 'YCR065W', 'YCR066W', 'YCR091W', 'YDL006W', 'YDL017W', 'YDL020C', 'YDL024C', 'YDL056W', 'YDL079C', 'YDL106C', 'YDL134C', 'YDL188C', 'YDL214C', 'YDL216C', 'YDL238C', 'YDR075W', 'YDR092W', 'YDR096W', 'YDR099W', 'YDR139C', 'YDR146C', 'YDR173C', 'YDR207C', 'YDR213W', 'YDR216W', 'YDR217C', 'YDR224C', 'YDR225W', 'YDR253C', 'YDR283C', 'YDR297W', 'YDR315C', 'YDR334W', 'YDR343C', 'YDR448W', 'YDR477W', 'YDR485C', 'YDR501W', 'YDR507C', 'YDR508C', 'YDR530C', 'YEL018W', 'YER111C', 'YER116C', 'YER122C', 'YER123W', 'YER129W', 'YFL001W', 'YFL033C', 'YFR033C', 'YFR053C', 'YGL012W', 'YGL019W', 'YGL040C', 'YGL058W', 'YGL059W', 'YGL067W', 'YGL084C', 'YGL096W', 'YGL131C', 'YGL158W', 'YGL175C', 'YGL180W', 'YGL197W', 'YGL237C', 'YGL252C', 'YGR052W', 'YGR089W', 'YGR105W', 'YGR121C', 'YGR125W', 'YGR135W', 'YGR208W', 'YHL020C', 'YHL027W', 'YHR002W', 'YHR019C', 'YHR042W', 'YHR074W', 'YHR079C', 'YHR119W', 'YHR124W', 'YHR191C', 'YHR206W', 'YIL053W', 'YIL078W', 'YIL095W', 'YIL111W', 'YIL131C', 'YIR028W', 'YJL030W', 'YJL047C', 'YJL089W', 'YJL092W', 'YJL106W', 'YJL115W', 'YJL130C', 'YJL134W', 'YJL141C', 'YJL157C', 'YJL168C', 'YJL187C', 'YJL214W', 'YJR019C', 'YJR059W', 'YJR073C', 'YJR094C', 'YKL020C', 'YKL032C', 'YKL033W', 'YKL048C', 'YKL062W', 'YKL101W', 'YKL139W', 'YKL166C', 'YKL204W', 'YKR029C', 'YKR064W', 'YKR082W', 'YLL002W', 'YLL019C', 'YLR011W', 'YLR014C', 'YLR016C', 'YLR032W', 'YLR052W', 'YLR096W', 'YLR120C', 'YLR128W', 'YLR131C', 'YLR133W', 'YLR182W', 'YLR228C', 'YLR245C', 'YLR357W', 'YLR371W', 'YLR372W', 'YLR376C', 'YLR377C', 'YLR386W', 'YLR395C', 'YLR410W', 'YLR425W', 'YLR451W', 'YML007W', 'YML016C', 'YML027W', 'YML032C', 'YML041C', 'YML054C', 'YML056C', 'YML099C', 'YML109W', 'YML123C', 'YMR011W', 'YMR013C', 'YMR037C', 'YMR053C', 'YMR075W', 'YMR078C', 'YMR104C', 'YMR172W', 'YMR267W', 'YMR272C', 'YMR284W', 'YMR296C', 'YMR300C', 'YMR313C', 'YNL020C', 'YNL021W', 'YNL025C', 'YNL068C', 'YNL097C', 'YNL106C', 'YNL116W', 'YNL136W', 'YNL199C', 'YNL201C', 'YNL204C', 'YNL233W', 'YNL246W', 'YNL273W', 'YNL312W', 'YNL325C', 'YNR009W', 'YNR016C', 'YNR031C', 'YNR041C', 'YNR047W', 'YNR072W', 'YOL004W', 'YOL028C', 'YOL030W', 'YOL055C', 'YOL059W', 'YOL064C', 'YOL077W-A', 'YOL100W', 'YOL116W', 'YOR023C', 'YOR025W', 'YOR026W', 'YOR028C', 'YOR039W', 'YOR061W', 'YOR109W', 'YOR141C', 'YOR163W', 'YOR171C', 'YOR180C', 'YOR231W', 'YOR267C', 'YOR294W', 'YOR335C', 'YOR368W', 'YPL001W', 'YPL028W', 'YPL049C', 'YPL075W', 'YPL086C', 'YPL089C', 'YPL117C', 'YPL134C', 'YPL140C', 'YPL149W', 'YPL150W', 'YPL153C', 'YPL177C', 'YPL181W', 'YPL189W', 'YPL228W', 'YPL240C', 'YPL262W', 'YPR002W', 'YPR054W', 'YPR074C', 'YPR111W', 'YPR119W', 'YPR164W']",KCS1
YDR019C,16,"['YBL045C', 'YBR035C', 'YBR263W', 'YDR432W', 'YEL046C', 'YER081W', 'YGR024C', 'YGR208W', 'YIL074C', 'YJR078W', 'YKL055C', 'YLR058C', 'YLR231C', 'YML094W', 'YNL071W', 'YOR184W']",GCV1
YDR021W,23,"['YBL019W', 'YBR108W', 'YCR092C', 'YDR184C', 'YER127W', 'YGR125W', 'YHR067W', 'YHR073W', 'YHR171W', 'YJL074C', 'YJR054W', 'YKL055C', 'YLL042C', 'YLR048W', 'YLR056W', 'YLR239C', 'YLR330W', 'YLR336C', 'YMR147W', 'YMR190C', 'YOR196C', 'YPL172C', 'YPR085C']",FAL1
YDR022C,19,"['YBR092C', 'YGR225W', 'YGR229C', 'YHR134W', 'YIL124W', 'YJL153C', 'YKL006W', 'YKL010C', 'YKR027W', 'YLR037C', 'YLR313C', 'YLR337C', 'YML005W', 'YML009C', 'YMR120C', 'YMR198W', 'YNL064C', 'YOR393W', 'YPL006W']",ATG31
YDR023W,5,"['YDL012C', 'YDL019C', 'YDR080W', 'YOR036W', 'YPL045W']",SES1
YDR025W,31,"['YBR048W', 'YBR167C', 'YDL014W', 'YDL042C', 'YDL101C', 'YDR172W', 'YGL105W', 'YGR105W', 'YGR106C', 'YGR119C', 'YJL034W', 'YJR088C', 'YJR132W', 'YKL212W', 'YLR052W', 'YLR135W', 'YLR372W', 'YLR438C-A', 'YML030W', 'YML041C', 'YMR284W', 'YMR307W', 'YNL110C', 'YNL267W', 'YNR051C', 'YOL002C', 'YOR070C', 'YOR136W', 'YOR141C', 'YPL009C', 'YPL183W-A']",RPS11A
YDR026C,28,"['YBL009W', 'YBL016W', 'YBL066C', 'YBR049C', 'YCR008W', 'YDL006W', 'YDL020C', 'YDL024C', 'YDR060W', 'YDR120C', 'YEL036C', 'YER164W', 'YGR093W', 'YHR129C', 'YHR167W', 'YJL125C', 'YKL021C', 'YKR029C', 'YKR059W', 'YLR059C', 'YLR067C', 'YLR165C', 'YML094W', 'YMR061W', 'YMR186W', 'YNL107W', 'YOL004W', 'YPL240C']",NSI1
YDR027C,68,"['YAR002C-A', 'YBR231C', 'YBR245C', 'YBR283C', 'YCL001W', 'YCR017C', 'YDL099W', 'YDL100C', 'YDL185W', 'YDR233C', 'YDR359C', 'YEL031W', 'YER083C', 'YFL039C', 'YGL020C', 'YGL054C', 'YGL206C', 'YGL226C-A', 'YGR170W', 'YGR274C', 'YIL159W', 'YJL034W', 'YJL127C', 'YJR033C', 'YJR060W', 'YJR073C', 'YJR117W', 'YJR118C', 'YKL212W', 'YKR001C', 'YKR042W', 'YKR094C', 'YLL006W', 'YLR050C', 'YLR056W', 'YLR207W', 'YLR220W', 'YLR262C', 'YLR350W', 'YLR361C', 'YLR371W', 'YLR372W', 'YML008C', 'YML041C', 'YML097C', 'YML128C', 'YMR015C', 'YMR079W', 'YMR161W', 'YMR216C', 'YMR272C', 'YNL051W', 'YNL243W', 'YNL267W', 'YNL271C', 'YOL001W', 'YOL018C', 'YOR070C', 'YOR122C', 'YOR132W', 'YOR164C', 'YOR216C', 'YOR244W', 'YOR265W', 'YPR032W', 'YPR105C', 'YPR140W', 'YPR149W']",VPS54
YDR028C,86,"['YAL040C', 'YBR010W', 'YBR050C', 'YBR093C', 'YBR131W', 'YBR140C', 'YCL024W', 'YDL020C', 'YDL047W', 'YDL229W', 'YDL235C', 'YDR075W', 'YDR099W', 'YDR123C', 'YDR216W', 'YDR236C', 'YDR473C', 'YDR475C', 'YDR477W', 'YEL011W', 'YER027C', 'YER129W', 'YER133W', 'YER148W', 'YER151C', 'YER177W', 'YFL029C', 'YFR015C', 'YGL008C', 'YGL019W', 'YGL115W', 'YGL173C', 'YGL253W', 'YGR203W', 'YGR223C', 'YGR252W', 'YGR262C', 'YHR046C', 'YHR135C', 'YIL035C', 'YIL126W', 'YIL147C', 'YJL005W', 'YJL036W', 'YJL127C', 'YJL137C', 'YJR090C', 'YKL049C', 'YKL171W', 'YKR058W', 'YLR189C', 'YLR258W', 'YLR268W', 'YLR431C', 'YMR001C', 'YMR179W', 'YMR235C', 'YMR291W', 'YMR311C', 'YNL031C', 'YNL056W', 'YNL098C', 'YNL128W', 'YNL223W', 'YNL307C', 'YNL325C', 'YNR007C', 'YNR011C', 'YOL001W', 'YOL018C', 'YOL081W', 'YOL082W', 'YOL108C', 'YOR014W', 'YOR048C', 'YOR061W', 'YOR090C', 'YOR101W', 'YPL042C', 'YPL120W', 'YPL149W', 'YPL153C', 'YPL166W', 'YPR068C', 'YPR106W', 'YPR178W']",REG1
YDR030C,4,"['YDL002C', 'YDL033C', 'YGL100W', 'YMR068W']",RAD28
YDR032C,25,"['YCL064C', 'YCR032W', 'YDL018C', 'YDL019C', 'YDR076W', 'YEL036C', 'YFL001W', 'YFL039C', 'YGL058W', 'YGR122W', 'YIL077C', 'YIL084C', 'YIL097W', 'YJL101C', 'YJL138C', 'YJL160C', 'YJR054W', 'YKL053C-A', 'YKL168C', 'YKL205W', 'YLR315W', 'YLR373C', 'YMR267W', 'YNR020C', 'YOR354C']",PST2
YDR033W,45,"['YBL021C', 'YBR054W', 'YDR364C', 'YDR512C', 'YEL050C', 'YER153C', 'YGL031C', 'YGL161C', 'YGL237C', 'YGR174C', 'YHL027W', 'YHR059W', 'YHR116W', 'YIL010W', 'YIL076W', 'YIL134W', 'YIL166C', 'YJL132W', 'YJL147C', 'YJL166W', 'YJR059W', 'YLL001W', 'YLR014C', 'YLR038C', 'YLR118C', 'YLR315W', 'YMR032W', 'YMR237W', 'YMR282C', 'YMR305C', 'YNL081C', 'YNL163C', 'YNR020C', 'YNR026C', 'YOL002C', 'YOR065W', 'YOR125C', 'YOR350C', 'YOR358W', 'YPL084W', 'YPL172C', 'YPR002W', 'YPR032W', 'YPR134W', 'YPR135W']",MRH1
YDR034C,13,"['YDL020C', 'YDR174W', 'YDR392W', 'YER151C', 'YGL035C', 'YGL133W', 'YGR105W', 'YGR106C', 'YKL213C', 'YLR055C', 'YNL097C', 'YNL199C', 'YNR051C']",LYS14
YDR035W,9,"['YBR249C', 'YCR053W', 'YGR229C', 'YHR066W', 'YJL160C', 'YJL163C', 'YJR158W', 'YNR043W', 'YOL002C']",ARO3
YDR036C,9,"['YDR316W', 'YER182W', 'YIR024C', 'YKR082W', 'YMR032W', 'YOL002C', 'YOR147W', 'YOR350C', 'YPL234C']",EHD3
YDR037W,69,"['YBR076W', 'YBR167C', 'YBR181C', 'YCR053W', 'YCR077C', 'YCR079W', 'YDL013W', 'YDL201W', 'YDL216C', 'YDR005C', 'YDR159W', 'YDR211W', 'YDR283C', 'YDR315C', 'YDR429C', 'YER056C', 'YER074W', 'YER164W', 'YFL007W', 'YFR009W', 'YGL100W', 'YGL148W', 'YGL195W', 'YGL236C', 'YGR083C', 'YGR178C', 'YGR200C', 'YGR231C', 'YHR021C', 'YHR111W', 'YHR178W', 'YIL038C', 'YIL040W', 'YJL124C', 'YJR066W', 'YKL074C', 'YKL110C', 'YKL212W', 'YKR007W', 'YLR131C', 'YLR264W', 'YLR337C', 'YLR384C', 'YLR438C-A', 'YML001W', 'YML014W', 'YMR125W', 'YMR190C', 'YMR267W', 'YNL055C', 'YNL064C', 'YNL147W', 'YNL255C', 'YNR004W', 'YOL004W', 'YOL064C', 'YOR002W', 'YOR006C', 'YOR167C', 'YOR187W', 'YOR241W', 'YOR360C', 'YPL046C', 'YPL047W', 'YPL048W', 'YPL069C', 'YPL090C', 'YPL101W', 'YPR101W']",KRS1
YDR038C,5,"['YDR217C', 'YER177W', 'YFR003C', 'YNL021W', 'YNL330C']",ENA5
YDR039C,9,"['YCR091W', 'YDR213W', 'YDR217C', 'YER177W', 'YFR003C', 'YGL019W', 'YHR030C', 'YKL190W', 'YNL330C']",ENA2
YDR040C,32,"['YBR126C', 'YBR164C', 'YBR235W', 'YCR008W', 'YDL128W', 'YDR217C', 'YDR276C', 'YDR436W', 'YDR456W', 'YDR477W', 'YER177W', 'YFR003C', 'YGL019W', 'YIL154C', 'YJL093C', 'YJL094C', 'YJL165C', 'YKL048C', 'YKR072C', 'YLL010C', 'YLR019W', 'YLR025W', 'YLR138W', 'YLR399C', 'YLR430W', 'YML006C', 'YML016C', 'YML123C', 'YMR077C', 'YNL321W', 'YPL002C', 'YPR005C']",ENA1
