genetic_interaction_id,count,Systematic Name,genetic_interaction
YAL002W,327,"['YBL007C', 'YBL017C', 'YBL058W', 'YBL103C', 'YBR015C', 'YBR023C', 'YBR036C', 'YBR078W', 'YBR092C', 'YBR095C', 'YBR135W', 'YBR164C', 'YBR171W', 'YBR218C', 'YBR231C', 'YBR289W', 'YCL011C', 'YCL043C', 'YCL061C', 'YCR009C', 'YCR016W', 'YCR017C', 'YCR044C', 'YCR101C', 'YDL002C', 'YDL015C', 'YDL033C', 'YDL049C', 'YDL074C', 'YDL077C', 'YDL095W', 'YDL115C', 'YDL145C', 'YDL149W', 'YDL155W', 'YDL185W', 'YDL218W', 'YDL220C', 'YDR045C', 'YDR080W', 'YDR089W', 'YDR092W', 'YDR108W', 'YDR137W', 'YDR146C', 'YDR159W', 'YDR200C', 'YDR207C', 'YDR238C', 'YDR257C', 'YDR276C', 'YDR291W', 'YDR293C', 'YDR334W', 'YDR335W', 'YDR359C', 'YDR363W-A', 'YDR372C', 'YDR388W', 'YDR389W', 'YDR392W', 'YDR414C', 'YDR440W', 'YDR469W', 'YDR477W', 'YDR485C', 'YDR492W', 'YDR508C', 'YEL031W', 'YEL042W', 'YEL043W', 'YEL050C', 'YER016W', 'YER030W', 'YER031C', 'YER068W', 'YER072W', 'YER075C', 'YER083C', 'YER089C', 'YER111C', 'YER122C', 'YER125W', 'YER151C', 'YER155C', 'YER161C', 'YFL001W', 'YFL023W', 'YFL026W', 'YFL031W', 'YFL038C', 'YFR004W', 'YFR009W', 'YFR010W', 'YFR051C', 'YGL005C', 'YGL008C', 'YGL019W', 'YGL020C', 'YGL025C', 'YGL043W', 'YGL045W', 'YGL054C', 'YGL058W', 'YGL061C', 'YGL081W', 'YGL084C', 'YGL110C', 'YGL115W', 'YGL124C', 'YGL137W', 'YGL151W', 'YGL167C', 'YGL195W', 'YGL212W', 'YGR002C', 'YGR078C', 'YGR089W', 'YGR122W', 'YGR135W', 'YGR157W', 'YGR167W', 'YGR206W', 'YGR229C', 'YGR252W', 'YGR270W', 'YGR282C', 'YHL002W', 'YHL020C', 'YHL027W', 'YHL031C', 'YHR030C', 'YHR031C', 'YHR067W', 'YHR081W', 'YHR108W', 'YHR132C', 'YHR138C', 'YHR142W', 'YHR154W', 'YHR167W', 'YHR191C', 'YIL062C', 'YIL076W', 'YIL084C', 'YIL090W', 'YIL110W', 'YIL128W', 'YIL146C', 'YIL160C', 'YIR008C', 'YJL004C', 'YJL012C', 'YJL053W', 'YJL062W', 'YJL092W', 'YJL095W', 'YJL115W', 'YJL148W', 'YJL154C', 'YJL166W', 'YJL176C', 'YJL183W', 'YJR032W', 'YJR035W', 'YJR043C', 'YJR044C', 'YJR075W', 'YJR077C', 'YJR125C', 'YJR139C', 'YJR143C', 'YJR144W', 'YKL004W', 'YKL041W', 'YKL053C-A', 'YKL055C', 'YKL073W', 'YKL092C', 'YKL101W', 'YKL113C', 'YKL119C', 'YKL127W', 'YKL148C', 'YKL171W', 'YKL190W', 'YKL191W', 'YKL213C', 'YKR001C', 'YKR009C', 'YKR014C', 'YKR024C', 'YKR029C', 'YKR052C', 'YKR091W', 'YKR099W', 'YLL002W', 'YLL006W', 'YLL028W', 'YLR022C', 'YLR023C', 'YLR039C', 'YLR046C', 'YLR055C', 'YLR085C', 'YLR087C', 'YLR181C', 'YLR182W', 'YLR200W', 'YLR207W', 'YLR262C', 'YLR314C', 'YLR330W', 'YLR337C', 'YLR350W', 'YLR360W', 'YLR384C', 'YLR418C', 'YML019W', 'YML032C', 'YML041C', 'YML071C', 'YML094W', 'YML097C', 'YML124C', 'YMR003W', 'YMR016C', 'YMR022W', 'YMR023C', 'YMR044W', 'YMR055C', 'YMR060C', 'YMR063W', 'YMR109W', 'YMR149W', 'YMR161W', 'YMR165C', 'YMR179W', 'YMR186W', 'YMR197C', 'YMR224C', 'YMR231W', 'YMR263W', 'YMR267W', 'YMR293C', 'YMR307W', 'YNL021W', 'YNL037C', 'YNL041C', 'YNL051W', 'YNL064C', 'YNL068C', 'YNL097C', 'YNL106C', 'YNL113W', 'YNL169C', 'YNL206C', 'YNL215W', 'YNL216W', 'YNL229C', 'YNL236W', 'YNL262W', 'YNL264C', 'YNL273W', 'YNL287W', 'YNL288W', 'YNL294C', 'YNL297C', 'YNL309W', 'YNL315C', 'YNL323W', 'YNL330C', 'YNR035C', 'YNR051C', 'YOL001W', 'YOL004W', 'YOL006C', 'YOL009C', 'YOL012C', 'YOL018C', 'YOL054W', 'YOL115W', 'YOL129W', 'YOL132W', 'YOL145C', 'YOR014W', 'YOR030W', 'YOR043W', 'YOR061W', 'YOR067C', 'YOR068C', 'YOR069W', 'YOR070C', 'YOR080W', 'YOR089C', 'YOR106W', 'YOR122C', 'YOR132W', 'YOR140W', 'YOR141C', 'YOR228C', 'YOR244W', 'YOR265W', 'YOR273C', 'YOR275C', 'YOR327C', 'YPL015C', 'YPL031C', 'YPL051W', 'YPL055C', 'YPL057C', 'YPL079W', 'YPL084W', 'YPL086C', 'YPL139C', 'YPL175W', 'YPL234C', 'YPL240C', 'YPL262W', 'YPR024W', 'YPR030W', 'YPR119W', 'YPR134W', 'YPR135W', 'YPR148C', 'YPR153W', 'YPR164W']",VPS8
YAL003W,36,"['YBR118W', 'YBR143C', 'YCR077C', 'YDR159W', 'YDR170C', 'YDR172W', 'YDR363W-A', 'YDR439W', 'YGL086W', 'YGL233W', 'YGR081C', 'YHR167W', 'YIL038C', 'YIL040W', 'YJL006C', 'YJL124C', 'YKL057C', 'YLR418C', 'YML014W', 'YML094W', 'YMR190C', 'YNL147W', 'YNR015W', 'YOL004W', 'YOL006C', 'YOL012C', 'YOL072W', 'YOL093W', 'YOR001W', 'YOR006C', 'YOR038C', 'YOR039W', 'YOR046C', 'YOR061W', 'YPL157W', 'YPR101W']",EFB1
YAL005C,35,"['YBL075C', 'YBR101C', 'YCR086W', 'YDL020C', 'YDL229W', 'YER103W', 'YER151C', 'YER161C', 'YFL039C', 'YGL073W', 'YGL141W', 'YGL181W', 'YHR174W', 'YIL030C', 'YJL061W', 'YJR032W', 'YKL166C', 'YLL024C', 'YLL026W', 'YLR200W', 'YLR212C', 'YLR305C', 'YML069W', 'YML103C', 'YMR284W', 'YNL007C', 'YNL064C', 'YNL090W', 'YNL121C', 'YNL189W', 'YNL209W', 'YNL330C', 'YOL115W', 'YOR027W', 'YPR085C']",SSA1
YAL007C,32,"['YAL058W', 'YAR002C-A', 'YBR229C', 'YBR231C', 'YBR245C', 'YCR044C', 'YDL018C', 'YDL099W', 'YDL100C', 'YDL226C', 'YDR100W', 'YDR108W', 'YDR196C', 'YDR310C', 'YEL050C', 'YER083C', 'YER122C', 'YGL020C', 'YHR078W', 'YIL090W', 'YJL034W', 'YJL092W', 'YKR001C', 'YLR208W', 'YLR268W', 'YML128C', 'YNL064C', 'YOL018C', 'YOL111C', 'YOR016C', 'YOR164C', 'YPL172C']",ERP2
YAL009W,71,"['YBL007C', 'YBL088C', 'YBR036C', 'YBR110W', 'YBR164C', 'YBR172C', 'YDL015C', 'YDL115C', 'YDL116W', 'YDL192W', 'YDL226C', 'YDR080W', 'YDR233C', 'YDR320C', 'YDR372C', 'YDR388W', 'YDR456W', 'YDR484W', 'YER083C', 'YER122C', 'YFL005W', 'YGL008C', 'YGL047W', 'YGL054C', 'YGL075C', 'YGL100W', 'YGL247W', 'YGR089W', 'YGR143W', 'YGR175C', 'YHR004C', 'YHR090C', 'YIL090W', 'YIL118W', 'YIR033W', 'YJL004C', 'YJL019W', 'YJL154C', 'YJL174W', 'YJR066W', 'YJR073C', 'YKL042W', 'YKL057C', 'YKR001C', 'YLL031C', 'YLR039C', 'YLR262C', 'YLR372W', 'YLR378C', 'YML031W', 'YML071C', 'YML103C', 'YMR165C', 'YMR218C', 'YMR298W', 'YNL041C', 'YNL169C', 'YNL188W', 'YNL297C', 'YOL018C', 'YOR070C', 'YOR122C', 'YOR311C', 'YPL028W', 'YPL051W', 'YPL057C', 'YPL076W', 'YPL124W', 'YPL195W', 'YPR028W', 'YPR161C']",SPO7
YAL010C,181,"['YAL034W-A', 'YBL031W', 'YBL050W', 'YBL105C', 'YBR131W', 'YBR141C', 'YBR220C', 'YBR238C', 'YCL024W', 'YCR036W', 'YCR063W', 'YCR086W', 'YDL006W', 'YDL013W', 'YDL077C', 'YDL131W', 'YDL133C-A', 'YDL142C', 'YDL157C', 'YDL161W', 'YDL168W', 'YDL180W', 'YDL212W', 'YDL217C', 'YDR080W', 'YDR160W', 'YDR189W', 'YDR200C', 'YDR233C', 'YDR287W', 'YDR411C', 'YDR497C', 'YDR538W', 'YEL018W', 'YEL036C', 'YEL050C', 'YEL061C', 'YER016W', 'YER048C', 'YER086W', 'YER112W', 'YER133W', 'YER150W', 'YFL027C', 'YFL039C', 'YFR011C', 'YFR028C', 'YFR029W', 'YGL058W', 'YGL071W', 'YGL130W', 'YGL212W', 'YGR105W', 'YGR106C', 'YGR132C', 'YGR167W', 'YGR170W', 'YGR181W', 'YGR185C', 'YGR231C', 'YGR238C', 'YGR244C', 'YGR275W', 'YGR286C', 'YHR057C', 'YHR059W', 'YHR083W', 'YHR099W', 'YHR117W', 'YHR167W', 'YHR194W', 'YHR200W', 'YIL040W', 'YIL076W', 'YIR033W', 'YJL084C', 'YJL091C', 'YJL124C', 'YJL180C', 'YJL186W', 'YJL206C', 'YJL208C', 'YJR016C', 'YJR033C', 'YJR070C', 'YJR073C', 'YJR118C', 'YKL004W', 'YKL006W', 'YKL040C', 'YKL053C-A', 'YKL157W', 'YKR016W', 'YKR024C', 'YKR086W', 'YLL001W', 'YLL006W', 'YLL040C', 'YLL042C', 'YLL049W', 'YLR039C', 'YLR091W', 'YLR131C', 'YLR152C', 'YLR168C', 'YLR189C', 'YLR190W', 'YLR193C', 'YLR242C', 'YLR253W', 'YLR320W', 'YLR324W', 'YLR350W', 'YLR372W', 'YLR386W', 'YLR418C', 'YLR432W', 'YML001W', 'YML013W', 'YML042W', 'YML094W', 'YMR001C', 'YMR022W', 'YMR052W', 'YMR055C', 'YMR060C', 'YMR091C', 'YMR096W', 'YMR155W', 'YMR167W', 'YMR203W', 'YMR205C', 'YMR216C', 'YMR241W', 'YMR263W', 'YMR264W', 'YMR272C', 'YNL037C', 'YNL041C', 'YNL051W', 'YNL055C', 'YNL071W', 'YNL079C', 'YNL121C', 'YNL236W', 'YNL249C', 'YNL290W', 'YNR007C', 'YNR013C', 'YOL001W', 'YOL004W', 'YOL018C', 'YOL027C', 'YOL039W', 'YOL043C', 'YOL052C', 'YOL081W', 'YOL108C', 'YOR002W', 'YOR007C', 'YOR038C', 'YOR039W', 'YOR049C', 'YOR070C', 'YOR087W', 'YOR090C', 'YOR106W', 'YOR122C', 'YOR147W', 'YOR164C', 'YOR228C', 'YPL101W', 'YPL103C', 'YPL181W', 'YPL257W', 'YPR020W', 'YPR024W', 'YPR028W', 'YPR083W', 'YPR125W', 'YPR140W']",MDM10
YAL011W,300,"['YAL019W', 'YAL021C', 'YAR002C-A', 'YAR002W', 'YAR003W', 'YBL007C', 'YBL052C', 'YBL058W', 'YBL079W', 'YBL081W', 'YBL086C', 'YBR081C', 'YBR095C', 'YBR103W', 'YBR160W', 'YBR171W', 'YBR175W', 'YBR193C', 'YBR194W', 'YBR201W', 'YBR211C', 'YBR218C', 'YBR231C', 'YBR236C', 'YBR238C', 'YBR245C', 'YBR278W', 'YBR279W', 'YBR283C', 'YCL037C', 'YCL061C', 'YCR033W', 'YCR052W', 'YCR065W', 'YCR077C', 'YCR081W', 'YDL013W', 'YDL074C', 'YDL100C', 'YDL115C', 'YDL116W', 'YDL120W', 'YDL140C', 'YDL192W', 'YDL226C', 'YDR045C', 'YDR088C', 'YDR108W', 'YDR127W', 'YDR137W', 'YDR159W', 'YDR176W', 'YDR189W', 'YDR207C', 'YDR243C', 'YDR245W', 'YDR248C', 'YDR257C', 'YDR289C', 'YDR293C', 'YDR310C', 'YDR318W', 'YDR334W', 'YDR356W', 'YDR359C', 'YDR378C', 'YDR392W', 'YDR432W', 'YDR469W', 'YDR485C', 'YEL003W', 'YEL018W', 'YEL031W', 'YEL036C', 'YEL061C', 'YER007W', 'YER013W', 'YER016W', 'YER031C', 'YER083C', 'YER086W', 'YER092W', 'YER116C', 'YER122C', 'YER140W', 'YER151C', 'YER157W', 'YER171W', 'YER177W', 'YFL024C', 'YFL025C', 'YFL031W', 'YFR037C', 'YGL005C', 'YGL016W', 'YGL020C', 'YGL043W', 'YGL044C', 'YGL054C', 'YGL058W', 'YGL061C', 'YGL070C', 'YGL071W', 'YGL086W', 'YGL112C', 'YGL116W', 'YGL127C', 'YGL137W', 'YGL151W', 'YGL168W', 'YGL173C', 'YGL174W', 'YGL194C', 'YGL195W', 'YGL226C-A', 'YGL244W', 'YGR002C', 'YGR005C', 'YGR006W', 'YGR056W', 'YGR063C', 'YGR078C', 'YGR099W', 'YGR105W', 'YGR106C', 'YGR188C', 'YGR252W', 'YGR270W', 'YGR274C', 'YHR041C', 'YHR066W', 'YHR078W', 'YHR090C', 'YHR099W', 'YHR191C', 'YIL021W', 'YIL039W', 'YIL040W', 'YIL044C', 'YIL084C', 'YIL112W', 'YIL128W', 'YIR005W', 'YIR008C', 'YIR033W', 'YJL030W', 'YJL034W', 'YJL081C', 'YJL090C', 'YJL115W', 'YJL127C', 'YJL148W', 'YJL168C', 'YJL179W', 'YJR006W', 'YJR043C', 'YJR082C', 'YJR118C', 'YJR144W', 'YKL053C-A', 'YKL119C', 'YKL213C', 'YKR001C', 'YKR028W', 'YKR029C', 'YLL002W', 'YLL006W', 'YLR005W', 'YLR015W', 'YLR039C', 'YLR045C', 'YLR052W', 'YLR055C', 'YLR065C', 'YLR085C', 'YLR110C', 'YLR128W', 'YLR153C', 'YLR182W', 'YLR193C', 'YLR200W', 'YLR203C', 'YLR262C', 'YLR268W', 'YLR298C', 'YLR418C', 'YML034W', 'YML041C', 'YML069W', 'YML071C', 'YML094W', 'YML098W', 'YML114C', 'YML124C', 'YML128C', 'YMR005W', 'YMR032W', 'YMR033W', 'YMR055C', 'YMR075W', 'YMR078C', 'YMR089C', 'YMR091C', 'YMR117C', 'YMR123W', 'YMR168C', 'YMR186W', 'YMR198W', 'YMR235C', 'YMR236W', 'YMR263W', 'YMR272C', 'YMR284W', 'YMR293C', 'YMR294W', 'YMR315W', 'YMR316W', 'YNL009W', 'YNL021W', 'YNL041C', 'YNL051W', 'YNL055C', 'YNL056W', 'YNL064C', 'YNL071W', 'YNL087W', 'YNL097C', 'YNL107W', 'YNL136W', 'YNL147W', 'YNL153C', 'YNL155W', 'YNL169C', 'YNL186W', 'YNL199C', 'YNL216W', 'YNL222W', 'YNL307C', 'YNL330C', 'YNR010W', 'YNR026C', 'YNR051C', 'YOL004W', 'YOL012C', 'YOL017W', 'YOL064C', 'YOL072W', 'YOL094C', 'YOL108C', 'YOL111C', 'YOL115W', 'YOL135C', 'YOL145C', 'YOR001W', 'YOR002W', 'YOR026W', 'YOR046C', 'YOR087W', 'YOR106W', 'YOR123C', 'YOR141C', 'YOR154W', 'YOR164C', 'YOR189W', 'YOR191W', 'YOR205C', 'YOR216C', 'YOR244W', 'YOR249C', 'YOR250C', 'YOR297C', 'YOR308C', 'YOR330C', 'YOR349W', 'YPL018W', 'YPL055C', 'YPL116W', 'YPL129W', 'YPL138C', 'YPL150W', 'YPL158C', 'YPL174C', 'YPL181W', 'YPL209C', 'YPL213W', 'YPL214C', 'YPL234C', 'YPL240C', 'YPL241C', 'YPL259C', 'YPR023C', 'YPR024W', 'YPR031W', 'YPR066W', 'YPR070W', 'YPR101W', 'YPR110C', 'YPR133C', 'YPR178W', 'YPR179C']",SWC3
YAL012W,142,"['YAL023C', 'YAR002C-A', 'YBL030C', 'YBL078C', 'YBR038W', 'YBR117C', 'YBR196C', 'YBR213W', 'YBR229C', 'YBR245C', 'YBR265W', 'YBR283C', 'YCR034W', 'YCR037C', 'YCR061W', 'YCR068W', 'YCR083W', 'YDL020C', 'YDL055C', 'YDL067C', 'YDL077C', 'YDL103C', 'YDL192W', 'YDL215C', 'YDR158W', 'YDR162C', 'YDR233C', 'YDR253C', 'YDR293C', 'YDR310C', 'YDR353W', 'YDR354W', 'YDR359C', 'YDR469W', 'YDR531W', 'YER119C', 'YGL040C', 'YGL055W', 'YGL226C-A', 'YGR002C', 'YGR105W', 'YGR122W', 'YGR125W', 'YGR147C', 'YGR155W', 'YGR170W', 'YGR264C', 'YGR267C', 'YHL027W', 'YHR007C', 'YHR020W', 'YHR042W', 'YHR051W', 'YHR068W', 'YHR144C', 'YHR176W', 'YHR178W', 'YHR183W', 'YIL078W', 'YIR017C', 'YJL095W', 'YJL101C', 'YJL121C', 'YJL127C', 'YJL130C', 'YJL139C', 'YJL214W', 'YJL219W', 'YJR011C', 'YJR016C', 'YJR049C', 'YJR073C', 'YJR105W', 'YJR117W', 'YJR118C', 'YJR139C', 'YKL004W', 'YKL060C', 'YKL069W', 'YKL141W', 'YKL182W', 'YKL188C', 'YKL211C', 'YKL212W', 'YKR001C', 'YKR093W', 'YLL043W', 'YLL055W', 'YLL057C', 'YLR024C', 'YLR087C', 'YLR092W', 'YLR195C', 'YLR295C', 'YLR359W', 'YLR378C', 'YML128C', 'YMR011W', 'YMR056C', 'YMR063W', 'YMR067C', 'YMR083W', 'YMR105C', 'YMR161W', 'YMR216C', 'YMR256C', 'YMR264W', 'YMR293C', 'YMR300C', 'YMR316W', 'YNL003C', 'YNL097C', 'YNL219C', 'YNL311C', 'YNL323W', 'YNR006W', 'YNR016C', 'YNR041C', 'YNR057C', 'YNR072W', 'YOL030W', 'YOL031C', 'YOL064C', 'YOR002W', 'YOR030W', 'YOR067C', 'YOR095C', 'YOR202W', 'YOR275C', 'YOR327C', 'YOR335C', 'YOR360C', 'YOR388C', 'YPL028W', 'YPL057C', 'YPL094C', 'YPL117C', 'YPL148C', 'YPR033C', 'YPR074C', 'YPR113W', 'YPR128C']",CYS3
YAL013W,452,"['YAL024C', 'YBL005W', 'YBL008W', 'YBL013W', 'YBL027W', 'YBL058W', 'YBL066C', 'YBL067C', 'YBL079W', 'YBL091C', 'YBL098W', 'YBL102W', 'YBL103C', 'YBR009C', 'YBR010W', 'YBR025C', 'YBR034C', 'YBR057C', 'YBR058C', 'YBR074W', 'YBR078W', 'YBR084W', 'YBR088C', 'YBR103W', 'YBR171W', 'YBR173C', 'YBR175W', 'YBR176W', 'YBR210W', 'YBR215W', 'YBR216C', 'YBR218C', 'YBR221C', 'YBR227C', 'YBR231C', 'YBR238C', 'YBR255W', 'YBR257W', 'YBR258C', 'YBR281C', 'YBR288C', 'YBR289W', 'YCL010C', 'YCL032W', 'YCL037C', 'YCR009C', 'YCR020C-A', 'YCR028C-A', 'YCR031C', 'YCR033W', 'YCR034W', 'YCR043C', 'YCR044C', 'YCR061W', 'YCR063W', 'YCR068W', 'YCR079W', 'YCR086W', 'YDL002C', 'YDL020C', 'YDL029W', 'YDL033C', 'YDL040C', 'YDL042C', 'YDL054C', 'YDL065C', 'YDL070W', 'YDL074C', 'YDL080C', 'YDL081C', 'YDL101C', 'YDL104C', 'YDL113C', 'YDL115C', 'YDL117W', 'YDL119C', 'YDL122W', 'YDL129W', 'YDL136W', 'YDL142C', 'YDL156W', 'YDL157C', 'YDL161W', 'YDL165W', 'YDL175C', 'YDL190C', 'YDL192W', 'YDL215C', 'YDR001C', 'YDR006C', 'YDR007W', 'YDR076W', 'YDR108W', 'YDR121W', 'YDR123C', 'YDR128W', 'YDR146C', 'YDR148C', 'YDR153C', 'YDR159W', 'YDR181C', 'YDR200C', 'YDR205W', 'YDR207C', 'YDR212W', 'YDR244W', 'YDR245W', 'YDR255C', 'YDR265W', 'YDR289C', 'YDR293C', 'YDR295C', 'YDR316W', 'YDR318W', 'YDR334W', 'YDR335W', 'YDR336W', 'YDR338C', 'YDR356W', 'YDR363W-A', 'YDR378C', 'YDR385W', 'YDR388W', 'YDR389W', 'YDR392W', 'YDR393W', 'YDR399W', 'YDR432W', 'YDR435C', 'YDR440W', 'YDR448W', 'YDR463W', 'YDR469W', 'YDR485C', 'YDR496C', 'YDR506C', 'YEL003W', 'YEL031W', 'YEL036C', 'YER013W', 'YER016W', 'YER063W', 'YER065C', 'YER066W', 'YER083C', 'YER107C', 'YER111C', 'YER124C', 'YER128W', 'YER134C', 'YER139C', 'YER150W', 'YER151C', 'YER153C', 'YER155C', 'YER161C', 'YER164W', 'YER179W', 'YFL014W', 'YFL023W', 'YFL036W', 'YFL039C', 'YFL049W', 'YFR004W', 'YFR010W', 'YFR013W', 'YFR036W', 'YFR038W', 'YFR048W', 'YFR052W', 'YGL001C', 'YGL013C', 'YGL015C', 'YGL020C', 'YGL121C', 'YGL127C', 'YGL133W', 'YGL161C', 'YGL162W', 'YGL167C', 'YGL173C', 'YGL194C', 'YGL195W', 'YGL203C', 'YGL211W', 'YGL215W', 'YGL222C', 'YGL226W', 'YGL227W', 'YGL241W', 'YGL244W', 'YGL252C', 'YGL253W', 'YGL257C', 'YGR023W', 'YGR027C', 'YGR028W', 'YGR038W', 'YGR056W', 'YGR072W', 'YGR077C', 'YGR091W', 'YGR092W', 'YGR101W', 'YGR105W', 'YGR110W', 'YGR135W', 'YGR153W', 'YGR174C', 'YGR181W', 'YGR183C', 'YGR200C', 'YGR231C', 'YGR238C', 'YGR248W', 'YGR270W', 'YGR274C', 'YHL023C', 'YHL027W', 'YHR041C', 'YHR043C', 'YHR060W', 'YHR111W', 'YHR133C', 'YHR146W', 'YHR151C', 'YHR154W', 'YHR166C', 'YHR178W', 'YHR200W', 'YHR203C', 'YHR209W', 'YIL007C', 'YIL008W', 'YIL040W', 'YIL046W', 'YIL062C', 'YIL077C', 'YIL084C', 'YIL098C', 'YIL112W', 'YIL152W', 'YIR002C', 'YIR005W', 'YJL019W', 'YJL036W', 'YJL077C', 'YJL091C', 'YJL095W', 'YJL104W', 'YJL115W', 'YJL122W', 'YJL124C', 'YJL163C', 'YJL165C', 'YJL168C', 'YJL176C', 'YJL183W', 'YJL201W', 'YJL203W', 'YJR043C', 'YJR059W', 'YJR073C', 'YJR074W', 'YJR088C', 'YJR095W', 'YJR097W', 'YJR113C', 'YJR133W', 'YJR140C', 'YJR144W', 'YKL032C', 'YKL033W', 'YKL041W', 'YKL069W', 'YKL085W', 'YKL101W', 'YKL110C', 'YKL117W', 'YKL124W', 'YKL129C', 'YKL137W', 'YKL167C', 'YKL168C', 'YKL175W', 'YKL191W', 'YKL198C', 'YKL213C', 'YKL222C', 'YKR028W', 'YKR029C', 'YKR030W', 'YKR034W', 'YKR041W', 'YKR065C', 'YKR067W', 'YKR082W', 'YKR084C', 'YKR096W', 'YKR106W', 'YLL002W', 'YLL006W', 'YLL013C', 'YLL032C', 'YLL041C', 'YLL043W', 'YLR015W', 'YLR023C', 'YLR034C', 'YLR035C', 'YLR039C', 'YLR042C', 'YLR045C', 'YLR052W', 'YLR055C', 'YLR056W', 'YLR072W', 'YLR077W', 'YLR080W', 'YLR085C', 'YLR087C', 'YLR089C', 'YLR150W', 'YLR154C', 'YLR168C', 'YLR181C', 'YLR189C', 'YLR190W', 'YLR191W', 'YLR193C', 'YLR233C', 'YLR257W', 'YLR262C', 'YLR266C', 'YLR268W', 'YLR298C', 'YLR314C', 'YLR324W', 'YLR332W', 'YLR337C', 'YLR342W', 'YLR372W', 'YLR373C', 'YLR384C', 'YLR390W-A', 'YLR393W', 'YLR395C', 'YLR397C', 'YLR418C', 'YLR431C', 'YLR437C', 'YLR438W', 'YLR441C', 'YLR445W', 'YML009C', 'YML021C', 'YML028W', 'YML029W', 'YML030W', 'YML034W', 'YML037C', 'YML041C', 'YML047C', 'YML048W', 'YML057W', 'YML069W', 'YML097C', 'YML103C', 'YML119W', 'YML121W', 'YMR010W', 'YMR027W', 'YMR060C', 'YMR066W', 'YMR080C', 'YMR091C', 'YMR092C', 'YMR100W', 'YMR106C', 'YMR107W', 'YMR111C', 'YMR116C', 'YMR123W', 'YMR127C', 'YMR157C', 'YMR166C', 'YMR189W', 'YMR198W', 'YMR205C', 'YMR216C', 'YMR223W', 'YMR224C', 'YMR230W', 'YMR243C', 'YMR256C', 'YMR272C', 'YMR296C', 'YMR312W', 'YNL051W', 'YNL097C', 'YNL107W', 'YNL147W', 'YNL154C', 'YNL192W', 'YNL197C', 'YNL206C', 'YNL215W', 'YNL229C', 'YNL236W', 'YNL246W', 'YNL250W', 'YNL298W', 'YNL315C', 'YNL330C', 'YOL006C', 'YOL012C', 'YOL045W', 'YOL051W', 'YOL072W', 'YOL108C', 'YOL135C', 'YOR026W', 'YOR038C', 'YOR065W', 'YOR073W', 'YOR089C', 'YOR123C', 'YOR141C', 'YOR207C', 'YOR213C', 'YOR244W', 'YOR254C', 'YOR297C', 'YOR304W', 'YOR308C', 'YPL047W', 'YPL055C', 'YPL086C', 'YPL101W', 'YPL113C', 'YPL144W', 'YPL172C', 'YPL174C', 'YPL214C', 'YPL240C', 'YPR023C', 'YPR031W', 'YPR066W', 'YPR085C', 'YPR105C', 'YPR178W', 'YPR179C']",DEP1
YAL014C,23,"['YBR131W', 'YDR245W', 'YER031C', 'YER083C', 'YER122C', 'YFL027C', 'YFR019W', 'YFR051C', 'YGL137W', 'YGR229C', 'YML097C', 'YMR186W', 'YMR197C', 'YMR307W', 'YNL041C', 'YNL163C', 'YOL004W', 'YOR014W', 'YOR037W', 'YOR069W', 'YOR089C', 'YOR132W', 'YPL240C']",SYN8
